wall_time,cam,rtp_seq,rtsp_unwrap_ms,depay_ms,pay_ms,udpsink_ms,total_sender_ms
16:35:53.179,0,29809,0.011,0.099,0.083,0.074,0.308
16:35:53.184,2,3079,0.014,0.089,0.052,0.175,0.361
16:35:53.186,1,582,0.008,0.080,0.072,0.050,0.369
16:35:54.183,0,30131,0.007,15.781,0.040,0.024,15.894
16:35:55.204,0,30485,0.008,0.085,0.031,0.023,0.179
16:35:55.205,2,3764,0.015,24.577,0.055,0.059,24.727
16:35:56.177,0,30868,0.007,0.057,0.038,0.042,0.185
16:35:57.181,1,2077,0.007,0.117,0.051,0.024,0.229
16:35:57.191,0,31233,0.007,0.055,0.107,0.070,0.431
16:35:57.206,2,4491,0.012,0.123,0.048,0.024,0.252
16:35:58.200,0,31608,0.007,0.074,0.045,0.036,0.295
16:35:59.185,1,2820,0.013,0.089,0.026,0.028,0.181
16:35:59.208,0,31986,0.046,0.193,0.094,0.070,0.558
16:35:59.212,2,5227,0.007,0.121,0.028,0.026,0.250
16:36:00.206,0,32368,0.007,0.092,0.090,0.052,0.378
16:36:01.183,1,3560,0.007,0.077,0.117,0.037,0.382
16:36:01.207,0,32748,0.008,0.131,0.050,0.060,0.287
16:36:01.213,2,5974,0.015,0.143,0.042,0.050,0.332
16:36:02.199,0,33138,0.007,0.045,0.049,0.243,0.377
16:36:03.167,1,4286,0.007,0.025,0.055,0.080,0.305
16:36:03.170,0,33495,0.007,0.025,0.075,0.045,0.290
16:36:03.183,2,6750,0.008,0.087,0.025,0.066,0.211
16:36:04.181,0,33830,0.007,0.034,0.038,0.024,0.245
16:36:05.181,0,34193,0.007,0.033,0.065,0.184,0.332
16:36:06.190,0,34559,0.007,0.278,0.038,0.051,0.444
16:36:07.170,1,5705,0.006,0.078,0.031,0.023,0.165
16:36:07.179,0,34927,0.007,0.037,0.016,0.054,0.136
16:36:07.184,2,8193,0.007,0.036,0.035,0.058,0.179
16:36:08.188,0,35288,0.007,0.055,0.037,0.050,0.188
16:36:09.178,1,6452,0.007,0.054,0.036,0.062,0.293
16:36:09.209,0,35670,0.007,0.071,0.030,0.059,0.219
16:36:09.213,2,8918,0.006,0.049,0.031,0.322,0.440
16:36:10.208,0,36058,0.007,0.066,0.064,0.071,0.231
16:36:11.182,1,7220,0.007,0.085,0.033,0.046,0.215
16:36:11.207,0,36444,0.011,0.129,0.401,0.202,0.777
16:36:11.210,2,9660,0.013,0.092,0.034,0.042,0.230
16:36:12.189,0,36823,0.009,0.043,0.035,0.068,0.188
16:36:13.168,1,7934,0.037,0.063,0.033,0.052,0.224
16:36:13.191,0,37179,0.008,0.034,0.049,0.046,0.182
16:36:13.194,2,10421,0.007,0.060,0.047,0.069,0.217
16:36:14.190,0,37538,0.009,0.057,0.034,0.025,0.160
16:36:15.180,1,8688,0.007,0.040,0.042,0.149,0.295
16:36:15.207,0,37915,0.007,0.050,0.032,0.032,0.144
16:36:15.212,2,11149,0.006,0.064,0.034,0.033,0.179
16:36:16.203,0,38300,0.016,0.070,0.063,0.067,0.425
16:36:17.177,1,9428,0.008,0.045,0.055,0.029,0.171
16:36:17.200,0,38684,0.007,0.049,0.060,0.076,0.213
16:36:17.208,2,11902,0.006,0.046,0.025,0.031,0.133
16:36:18.213,0,39064,0.008,0.072,0.059,0.039,0.239
16:36:19.176,1,10173,0.006,0.040,0.037,0.046,0.186
16:36:19.192,0,39447,0.009,0.030,0.017,0.031,0.118
16:36:19.194,2,12670,0.006,0.035,0.022,0.040,0.128
16:36:20.195,0,39780,0.021,0.136,0.018,0.049,0.290
16:36:21.186,1,10934,0.008,0.040,0.038,0.025,0.142
16:36:21.203,2,13397,0.006,0.080,0.031,0.131,0.275
16:36:21.212,0,40159,0.007,0.051,0.038,0.257,0.398
16:36:22.220,0,40543,0.019,0.068,0.065,0.031,0.237
16:36:23.193,1,11683,0.007,0.064,0.056,0.060,0.307
16:36:23.205,2,14133,0.007,0.093,0.066,0.040,0.258
16:36:23.218,0,40926,0.009,0.109,0.055,0.039,0.276
16:36:24.212,0,41308,0.007,0.153,0.050,0.031,0.271
16:36:25.191,1,12449,0.014,0.102,0.152,0.364,0.696
16:36:25.204,0,41686,0.007,0.093,0.038,0.038,0.222
16:36:25.214,2,14885,0.007,0.104,0.034,0.061,0.241
16:36:26.218,0,42056,0.007,0.060,0.073,0.027,0.243
16:36:27.179,1,13211,0.008,0.031,0.057,0.024,0.152
16:36:27.191,0,42446,0.007,0.037,0.027,0.025,0.119
16:36:27.198,2,15648,0.007,0.064,0.036,0.049,0.191
16:36:28.197,0,42774,0.019,0.077,0.039,0.025,0.287
16:36:29.174,1,13907,0.008,0.027,0.026,0.024,0.106
16:36:29.199,0,43132,0.007,0.054,0.056,0.077,0.227
16:36:29.200,2,16366,0.007,0.043,0.047,0.048,0.187
16:36:30.208,0,43512,0.007,0.069,0.026,0.072,0.198
16:36:31.180,1,14633,0.007,0.044,0.025,0.024,0.129
16:36:31.186,0,43896,0.008,0.046,0.023,0.028,0.122
16:36:31.194,2,17108,0.007,0.040,0.029,0.066,0.174
16:36:32.202,0,44245,0.007,0.067,0.038,0.025,0.176
