wall_time,cam_index,rtp_seq,network_ms
15:15:45.653,0,20977,8159.4701
15:15:45.677,0,21043,8163.3847
15:15:45.685,0,21053,8124.1781
15:15:45.694,0,21061,8125.0942
15:15:45.699,0,21068,8129.0986
15:15:45.722,0,21075,8112.7874
15:15:45.729,0,21081,8070.6264
15:15:45.776,0,21087,8063.3241
15:15:45.825,0,21093,8094.1754
15:15:45.844,0,21099,8072.0485
15:15:45.888,0,21106,8086.3750
15:15:45.929,0,21112,8083.0451
15:15:45.980,0,21118,8091.2872
15:15:46.013,0,21124,8084.5934
15:15:46.045,0,21131,8073.1522
15:15:46.088,0,21137,8081.6471
15:15:46.140,0,21143,8092.2873
15:15:46.172,0,21149,8085.7955
15:15:46.213,0,21155,8084.6360
15:15:46.256,0,21161,8089.2906
15:15:46.288,0,21167,8084.5351
15:15:46.331,0,21173,8080.2497
15:15:46.389,0,21179,8101.4802
15:15:46.413,0,21185,8083.1784
15:15:46.565,0,21191,8194.8695
15:15:46.588,0,21197,8179.2068
15:15:46.592,0,21320,8076.9297
15:15:46.596,0,21330,8080.1286
15:15:46.610,0,21340,8080.0037
15:15:46.665,0,21349,8093.1122
15:15:46.742,0,21358,8126.6260
15:15:46.747,0,21366,8092.3502
15:15:46.765,0,21373,8082.7632
15:15:46.809,0,21381,8081.5054
15:15:46.872,0,21389,8102.1367
15:15:46.891,0,21396,8081.4365
15:15:46.956,0,21404,8105.6285
15:15:46.973,0,21412,8084.0804
15:15:47.015,0,21421,8087.7002
15:15:47.074,0,21428,8093.2839
15:15:47.093,0,21435,8077.9822
15:15:47.124,0,21443,8071.2640
15:15:47.169,0,21452,8080.7753
15:15:47.210,0,21459,8083.9067
15:15:47.267,0,21466,8097.1227
15:15:47.293,0,21474,8073.1549
15:15:47.324,0,21482,8067.8976
15:15:47.369,0,21490,8082.9776
15:15:47.426,0,21499,8098.4963
15:15:47.656,0,21506,8288.9060
15:15:47.675,0,21515,8263.1783
15:15:47.678,0,21681,8037.1763
15:15:47.697,0,21710,8055.6997
15:15:47.701,0,21718,8054.7642
15:15:47.707,0,21726,8052.4688
15:15:47.733,0,21734,8044.9643
15:15:47.766,0,21743,8037.0791
15:15:47.822,0,21750,8054.0256
15:15:47.850,0,21759,8033.7348
15:15:47.890,0,21767,8025.7105
15:15:47.941,0,21776,8059.7895
15:15:47.971,0,21785,8037.4971
15:15:48.012,0,21793,8044.1463
15:15:48.052,0,21801,8043.1077
15:15:48.084,0,21809,8032.9142
15:15:48.133,0,21818,8047.0668
15:15:48.170,0,21826,8044.9438
15:15:48.211,0,21835,8042.2988
15:15:48.253,0,21844,8034.7462
15:15:48.291,0,21852,8040.1399
15:15:48.330,0,21859,8046.9155
15:15:48.374,0,21866,8048.3465
15:15:48.415,0,21874,8047.8029
15:15:48.517,0,21883,8087.5999
15:15:48.532,0,22064,7953.2223
15:15:48.538,0,22074,7959.0654
15:15:48.565,0,22084,7984.0288
15:15:48.613,0,22092,8023.0274
15:15:48.659,0,22100,8048.2885
15:15:48.702,0,22108,8051.8377
15:15:48.726,0,22116,8034.2855
15:15:48.771,0,22124,8049.9052
15:15:48.818,0,22132,8051.4149
15:15:48.863,0,22141,8053.6608
15:15:48.887,0,22150,8035.8722
15:15:48.931,0,22158,8039.2001
15:15:48.972,0,22166,8050.0645
15:15:49.016,0,22173,8049.1300
15:15:49.054,0,22182,8042.6599
15:15:49.114,0,22189,8065.4086
15:15:49.131,0,22198,8033.9016
15:15:49.173,0,22205,8042.6333
15:15:49.220,0,22214,8050.6745
15:15:49.252,0,22222,8044.1202
15:15:49.316,0,22230,8056.2526
15:15:49.335,0,22237,8044.8312
15:15:49.375,0,22244,8054.4296
15:15:49.428,0,22252,8058.3590
15:15:49.675,0,22261,8265.5555
15:15:49.692,0,22443,8144.3433
15:15:49.696,0,22453,8067.9352
15:15:49.699,0,22463,8070.1186
15:15:49.703,0,22473,8013.2857
15:15:49.706,0,22481,7997.4161
15:15:49.732,0,22489,8013.4686
15:15:49.741,0,22496,8021.0866
15:15:49.788,0,22504,8061.7409
15:15:49.810,0,22513,8042.0245
15:15:49.855,0,22520,8040.5936
15:15:49.906,0,22527,8055.6196
15:15:49.925,0,22535,8042.8173
15:15:49.971,0,22543,8044.3183
15:15:50.015,0,22551,8041.3973
15:15:50.060,0,22559,8050.7755
