abs_time,cam,rtp_seq
1777726052.342945,1,26097
1777726052.343063,1,26098
1777726052.343252,1,26099
1777726052.343272,1,26100
1777726052.343287,1,26101
1777726052.343300,1,26102
1777726052.343312,1,26103
1777726052.343325,1,26104
1777726052.343335,1,26105
1777726052.343345,1,26106
1777726052.343356,1,26107
1777726052.343369,1,26108
1777726052.343381,1,26109
1777726052.343393,1,26110
1777726052.343405,1,26111
1777726052.343417,1,26112
1777726052.343428,1,26113
1777726052.343439,1,26114
1777726052.343452,1,26115
1777726052.343467,1,26116
1777726052.343479,1,26117
1777726052.343490,1,26118
1777726052.343502,1,26119
1777726052.343513,1,26120
1777726052.343525,1,26121
1777726052.343536,1,26122
1777726052.343546,1,26123
1777726052.343558,1,26124
1777726052.343569,1,26125
1777726052.343580,1,26126
1777726052.343591,1,26127
1777726052.343602,1,26128
1777726052.343614,1,26129
1777726052.343626,1,26130
1777726052.343638,1,26131
1777726052.343649,1,26132
1777726052.343660,1,26133
1777726052.343674,1,26134
1777726052.343686,1,26135
1777726052.343696,1,26136
1777726052.343708,1,26137
1777726052.343720,1,26138
1777726052.343732,1,26139
1777726052.343743,1,26140
1777726052.343756,1,26141
1777726052.343768,1,26142
1777726052.343778,1,26143
1777726052.343788,1,26144
1777726052.343799,1,26145
1777726052.343811,1,26146
1777726052.343822,1,26147
1777726052.343832,1,26148
1777726052.343843,1,26149
1777726052.343853,1,26150
1777726052.343868,1,26151
1777726052.343879,1,26152
1777726052.343890,1,26153
1777726052.343902,1,26154
1777726052.343913,1,26155
1777726052.343928,1,26156
1777726052.343940,1,26157
1777726052.343951,1,26158
1777726052.343962,1,26159
1777726052.343973,1,26160
1777726052.343986,1,26161
1777726052.343997,1,26162
1777726052.344007,1,26163
1777726052.344019,1,26164
1777726052.344030,1,26165
1777726052.344040,1,26166
1777726052.344052,1,26167
1777726052.344063,1,26168
1777726052.344073,1,26169
1777726052.344082,1,26170
1777726052.344092,1,26171
1777726052.344102,1,26172
1777726052.344112,1,26173
1777726052.344125,1,26174
1777726052.344138,1,26175
1777726052.344148,1,26176
1777726052.344194,1,26177
1777726052.344205,1,26178
