wall_time,cam_index,decoder_ms
15:15:45.676,0,23.0428
15:15:53.729,2,24.6992
15:15:55.689,1,23.1342
15:15:55.691,2,1961.3576
15:15:55.694,0,10017.4497
15:15:55.728,1,6.6117
15:15:55.729,0,10044.3199
15:15:55.735,1,5.0667
15:15:55.736,0,10041.9886
15:15:55.741,2,2005.5649
15:15:55.742,0,10043.6859
15:15:55.747,1,11.1107
15:15:55.747,2,2006.6658
15:15:55.755,1,6.1534
15:15:55.755,2,2003.9963
15:15:55.761,2,1958.4804
15:15:55.761,1,5.9056
15:15:55.767,2,1934.6827
15:15:55.779,0,10056.9116
15:15:55.791,1,3.7169
15:15:55.797,2,1925.1284
15:15:55.835,0,10106.3315
15:15:55.842,1,6.2210
15:15:55.842,2,1915.8636
15:15:55.859,0,10082.8797
15:15:55.865,1,5.0047
15:15:55.874,2,1925.9275
15:15:55.915,0,10090.1147
15:15:55.918,1,4.0571
15:15:55.919,2,1930.2994
15:15:55.931,0,10087.4653
15:15:55.960,1,4.1551
15:15:55.963,2,1925.3072
15:15:55.975,0,10086.1698
15:15:55.988,2,1915.9230
15:15:55.993,1,4.4026
15:15:56.016,0,10086.9544
15:15:56.023,1,3.9860
15:15:56.034,2,1929.3599
15:15:56.085,0,10105.1106
15:15:56.088,1,5.8849
15:15:56.088,2,1917.9145
15:15:56.099,0,10085.6608
15:15:56.112,1,4.1116
15:15:56.117,2,1925.5631
15:15:56.136,0,10090.5051
15:15:56.150,2,1912.7645
15:15:56.156,1,5.5606
15:15:56.184,0,10095.0859
15:15:56.189,1,3.9109
15:15:56.195,2,1925.6685
15:15:56.219,0,10078.9812
15:15:56.239,1,3.8133
15:15:56.242,2,1930.9301
15:15:56.257,0,10084.8205
15:15:56.272,1,3.8724
15:15:56.278,2,1927.2343
15:15:56.300,0,10087.0408
15:15:56.308,2,1916.9556
15:15:56.313,1,5.4484
15:15:56.332,0,10075.6225
15:15:56.348,1,4.8291
15:15:56.352,2,1910.0390
15:15:56.403,0,10114.9751
15:15:56.404,1,4.7766
15:15:56.407,2,1937.4729
15:15:56.419,0,10087.9573
15:15:56.431,1,3.6325
15:15:56.436,2,1898.9665
15:15:56.479,2,1907.9303
15:15:56.479,1,3.1432
15:15:56.509,1,4.2201
15:15:56.551,2,1967.1187
15:15:56.589,1,3.3264
