wall_time,cam,rtp_seq,pay_ms,udpsink_ms,total_ms
18:44:46.846,1,2157,0.083,0.199,0.409
18:44:46.899,0,10578,0.084,0.049,0.190
18:44:46.908,2,13029,0.074,0.061,0.185
18:44:47.919,0,10859,0.067,0.124,0.342
18:44:48.891,1,2896,0.076,0.035,0.195
18:44:48.912,0,11200,0.111,0.108,0.406
18:44:48.936,2,13622,0.055,0.046,0.152
18:44:49.922,0,11564,0.064,0.054,0.291
18:44:50.897,1,3597,0.060,0.068,0.261
18:44:50.929,0,11931,0.044,0.065,0.168
18:44:50.944,2,14319,0.045,0.024,0.141
18:44:51.920,0,12307,0.042,0.028,0.139
18:44:52.893,1,4320,0.060,0.047,0.151
18:44:52.924,0,12675,0.110,0.120,0.499
18:44:52.942,2,15043,0.043,0.057,0.146
18:44:53.930,0,13046,0.110,0.036,0.235
18:44:54.906,1,5069,0.032,0.057,0.125
18:44:54.919,0,13428,0.036,0.143,0.220
18:44:54.946,2,15772,0.056,0.051,0.165
18:44:55.924,0,13794,0.039,0.133,0.296
18:44:56.909,1,5809,0.117,0.171,0.515
18:44:56.926,0,14170,0.049,0.082,0.297
18:44:56.945,2,16513,0.037,0.030,0.145
18:44:57.925,0,14547,0.039,0.224,0.307
18:44:58.908,0,14907,0.035,0.028,0.104
18:44:58.908,1,6574,0.069,0.080,0.242
18:44:58.920,2,17257,0.035,0.052,0.124
18:44:59.917,0,15262,0.041,0.031,0.117
18:45:00.900,1,7334,0.027,0.026,0.081
18:45:00.922,2,17934,0.039,0.146,0.233
18:45:00.926,0,15625,0.030,0.165,0.253
18:45:01.921,0,15993,0.047,0.036,0.220
18:45:02.911,1,8044,0.048,0.027,0.138
18:45:02.929,0,16371,0.035,0.026,0.103
18:45:02.936,2,18651,0.045,0.060,0.142
18:45:03.929,0,16749,0.028,0.136,0.192
18:45:04.884,1,8776,0.077,0.059,0.444
18:45:04.919,0,17125,0.033,0.035,0.112
18:45:04.946,2,19396,0.026,0.038,0.089
18:45:05.925,0,17502,0.045,0.049,0.127
