wall_time,cam,rtp_seq,pipeline_ms
12:57:41.165,2,10466,0.270
12:57:41.177,1,25079,0.195
12:57:41.179,0,33631,0.223
12:57:41.209,2,10479,0.321
12:57:41.219,1,25093,0.371
12:57:41.219,0,33643,0.210
12:57:41.252,2,10493,0.515
12:57:41.261,1,25107,0.592
12:57:41.262,0,33654,0.248
12:57:41.293,1,25120,1.273
12:57:41.294,0,33664,0.509
12:57:41.294,2,10506,0.430
12:57:41.325,2,10519,0.153
12:57:41.338,1,25132,0.294
12:57:41.339,0,33674,0.452
12:57:41.370,2,10532,0.261
12:57:41.379,1,25145,0.201
12:57:41.380,0,33687,0.382
12:57:41.411,2,10544,0.559
12:57:41.420,1,25156,0.263
12:57:41.422,0,33698,0.494
12:57:41.452,1,25168,0.237
12:57:41.454,0,33710,0.359
12:57:41.454,2,10556,0.988
12:57:41.485,2,10569,0.326
12:57:41.497,1,25181,0.239
12:57:41.499,0,33722,0.334
12:57:41.530,2,10581,0.505
12:57:41.538,1,25192,0.200
12:57:41.540,0,33733,0.458
12:57:41.572,2,10594,0.632
12:57:41.580,1,25203,0.240
12:57:41.583,0,33745,0.701
12:57:41.612,1,25215,0.240
12:57:41.614,0,33757,0.209
12:57:41.615,2,10606,0.747
12:57:41.644,2,10618,0.239
12:57:41.657,1,25227,0.305
12:57:41.659,0,33767,0.363
12:57:41.690,2,10631,0.647
12:57:41.698,1,25238,0.220
12:57:41.716,0,33858,0.919
12:57:41.732,2,10643,0.736
12:57:41.738,0,33868,0.288
12:57:41.741,1,25250,0.204
12:57:41.773,1,25264,0.238
12:57:41.774,2,10657,0.316
12:57:41.780,0,33881,0.278
12:57:41.805,2,10669,0.300
12:57:41.818,1,25276,0.335
12:57:41.821,0,33894,0.579
12:57:41.849,2,10681,0.343
12:57:41.858,1,25287,0.196
12:57:41.862,0,33905,0.572
12:57:41.892,2,10694,0.607
12:57:41.893,0,33916,0.382
12:57:41.901,1,25301,0.371
12:57:41.933,1,25313,0.266
12:57:41.935,2,10708,0.587
12:57:41.938,0,33927,0.678
12:57:41.965,2,10719,0.165
12:57:41.977,1,25325,0.213
12:57:41.980,0,33939,0.395
12:57:42.011,2,10732,0.501
12:57:42.018,1,25337,0.304
12:57:42.022,0,33950,0.357
12:57:42.052,2,10745,0.206
12:57:42.054,0,33962,0.367
12:57:42.061,1,25350,0.662
12:57:42.094,2,10757,0.798
12:57:42.096,1,25363,0.443
12:57:42.099,0,33973,0.523
12:57:42.125,2,10771,0.395
12:57:42.138,1,25376,0.468
12:57:42.140,0,33985,0.413
12:57:42.170,2,10783,0.772
12:57:42.179,1,25389,0.383
12:57:42.182,0,33997,0.597
12:57:42.212,2,10796,0.638
12:57:42.214,0,34008,0.302
12:57:42.221,1,25402,0.211
12:57:42.253,1,25414,0.485
12:57:42.254,2,10809,0.351
12:57:42.259,0,34019,0.512
12:57:42.285,2,10821,0.255
12:57:42.298,1,25427,0.340
12:57:42.300,0,34031,0.516
12:57:42.329,2,10833,0.318
12:57:42.339,1,25441,0.357
12:57:42.342,0,34043,0.306
12:57:42.372,2,10846,0.494
12:57:42.374,0,34055,0.285
12:57:42.381,1,25453,0.284
12:57:42.413,1,25466,0.290
12:57:42.414,2,10860,0.314
12:57:42.419,0,34066,0.364
12:57:42.446,2,10873,0.233
12:57:42.458,1,25478,0.297
12:57:42.460,0,34077,0.570
12:57:42.490,2,10885,0.215
12:57:42.500,1,25492,0.863
12:57:42.502,0,34088,0.401
12:57:42.532,2,10898,0.194
12:57:42.534,0,34099,0.346
12:57:42.541,1,25504,0.157
12:57:42.573,1,25517,0.487
12:57:42.573,2,10911,0.458
12:57:42.579,0,34110,0.705
12:57:42.605,2,10924,0.319
12:57:42.619,1,25530,0.216
12:57:42.620,0,34122,0.527
12:57:42.649,2,10936,0.182
12:57:42.660,1,25544,0.308
12:57:42.663,0,34135,0.468
12:57:42.711,2,11037,1.307
12:57:42.723,1,25664,1.414
12:57:42.724,0,34237,1.029
12:57:42.733,2,11050,1.036
12:57:42.746,1,25675,2.701
12:57:42.766,0,34248,26.415
12:57:42.773,2,11062,0.451
12:57:42.783,0,34261,0.615
12:57:42.787,1,25689,0.573
12:57:42.815,2,11075,0.948
12:57:42.815,0,34274,1.071
12:57:42.818,1,25702,0.358
12:57:42.846,2,11089,0.358
12:57:42.859,1,25712,0.661
12:57:42.860,0,34285,0.714
12:57:42.891,2,11101,0.318
12:57:42.900,0,34296,0.205
12:57:42.900,1,25725,0.489
12:57:42.932,2,11114,0.594
12:57:42.941,1,25738,0.299
12:57:42.942,0,34308,0.160
12:57:42.973,1,25749,0.685
12:57:42.974,0,34320,0.170
12:57:42.975,2,11128,0.748
12:57:43.006,2,11142,0.262
12:57:43.018,1,25762,0.501
12:57:43.018,0,34331,0.222
12:57:43.052,2,11154,0.597
12:57:43.059,1,25774,0.332
12:57:43.061,0,34344,0.508
12:57:43.092,2,11166,0.390
12:57:43.102,1,25787,0.802
12:57:43.102,0,34356,0.295
12:57:43.133,1,25799,0.410
12:57:43.134,2,11179,0.342
12:57:43.135,0,34366,0.239
12:57:43.165,2,11192,0.278
12:57:43.177,1,25811,0.329
12:57:43.179,0,34377,0.267
12:57:43.211,2,11205,0.517
12:57:43.220,1,25824,0.649
12:57:43.220,0,34387,0.227
12:57:43.253,2,11219,0.674
12:57:43.262,1,25838,0.369
12:57:43.262,0,34398,0.258
12:57:43.294,1,25852,0.888
12:57:43.295,0,34409,0.277
12:57:43.296,2,11232,0.718
12:57:43.326,2,11244,0.643
12:57:43.338,0,34420,0.344
12:57:43.339,1,25866,0.238
12:57:43.371,2,11257,1.027
12:57:43.380,1,25880,0.431
12:57:43.380,0,34431,0.238
12:57:43.412,2,11271,0.227
12:57:43.422,1,25893,0.297
12:57:43.422,0,34443,0.249
12:57:43.453,1,25903,0.270
12:57:43.454,0,34454,0.154
12:57:43.454,2,11284,0.321
12:57:43.486,2,11297,0.215
12:57:43.498,1,25914,0.441
12:57:43.499,0,34466,0.288
12:57:43.532,2,11309,0.311
12:57:43.539,1,25926,0.190
12:57:43.540,0,34477,0.278
12:57:43.572,2,11321,0.218
12:57:43.582,1,25940,0.331
12:57:43.582,0,34487,0.231
12:57:43.613,1,25951,0.198
12:57:43.614,0,34499,0.253
12:57:43.615,2,11335,0.261
12:57:43.645,2,11347,0.165
12:57:43.659,1,25964,0.186
12:57:43.659,0,34510,0.230
12:57:43.690,2,11360,0.441
12:57:43.700,1,25977,0.170
12:57:43.732,2,11372,0.207
12:57:43.734,0,34628,1.021
12:57:43.742,1,25990,0.156
12:57:43.751,0,34636,10.918
12:57:43.773,1,26001,0.136
12:57:43.774,2,11384,0.256
12:57:43.782,0,34649,0.489
12:57:43.806,2,11397,0.146
12:57:43.818,1,26014,0.203
12:57:43.823,0,34662,0.359
12:57:43.850,2,11411,0.216
12:57:43.855,0,34673,0.487
12:57:43.859,1,26028,0.156
12:57:43.892,2,11424,0.327
12:57:43.899,0,34685,0.430
12:57:43.902,1,26040,0.314
12:57:43.934,1,26051,0.483
12:57:43.934,2,11436,0.156
12:57:43.941,0,34697,0.576
12:57:43.965,2,11447,0.131
12:57:43.978,1,26064,0.538
12:57:43.982,0,34707,0.427
12:57:44.012,2,11460,0.175
12:57:44.014,0,34718,0.489
12:57:44.020,1,26077,0.193
12:57:44.053,2,11474,0.313
12:57:44.059,0,34729,0.376
12:57:44.062,1,26090,0.298
12:57:44.093,1,26101,0.258
12:57:44.095,2,11486,0.209
12:57:44.100,0,34740,0.314
12:57:44.126,2,11498,0.259
12:57:44.138,1,26113,0.345
12:57:44.142,0,34750,0.122
12:57:44.172,2,11512,0.367
12:57:44.174,0,34761,0.143
12:57:44.179,1,26124,0.407
12:57:44.213,2,11525,0.331
12:57:44.219,0,34772,0.123
12:57:44.221,1,26135,0.295
12:57:44.254,1,26146,0.216
12:57:44.254,2,11538,0.628
12:57:44.260,0,34782,0.233
12:57:44.286,2,11551,0.495
12:57:44.298,1,26157,0.254
12:57:44.303,0,34794,0.156
12:57:44.330,2,11563,0.143
12:57:44.334,0,34805,0.168
12:57:44.340,1,26170,0.168
12:57:44.373,2,11576,0.146
12:57:44.379,0,34816,0.138
12:57:44.382,1,26182,0.254
12:57:44.414,1,26194,0.435
12:57:44.415,2,11588,0.313
12:57:44.421,0,34827,0.139
12:57:44.446,2,11602,0.269
12:57:44.458,1,26206,0.637
12:57:44.462,0,34836,0.115
12:57:44.491,2,11615,0.606
12:57:44.494,0,34848,0.149
12:57:44.500,1,26218,0.737
12:57:44.534,2,11629,0.684
12:57:44.540,0,34859,0.136
12:57:44.543,1,26231,0.516
12:57:44.574,1,26244,0.709
12:57:44.575,2,11642,0.432
12:57:44.580,0,34870,0.133
12:57:44.606,2,11654,0.582
12:57:44.619,1,26258,0.552
12:57:44.622,0,34880,0.127
12:57:44.651,2,11667,0.695
12:57:44.654,0,34891,0.277
12:57:44.661,1,26272,0.705
12:57:44.722,1,26377,1.106
12:57:44.726,2,11791,1.293
12:57:44.728,0,35003,1.169
12:57:44.740,1,26388,0.258
12:57:44.775,2,11805,39.281
12:57:44.778,2,11819,0.475
12:57:44.782,1,26400,0.326
12:57:44.787,0,35026,38.189
12:57:44.813,1,26412,0.305
12:57:44.821,0,35038,40.952
12:57:44.821,2,11830,0.502
12:57:44.851,2,11841,0.484
12:57:44.858,1,26425,0.244
12:57:44.861,0,35048,40.684
12:57:44.892,2,11853,0.401
12:57:44.900,1,26436,0.191
12:57:44.903,0,35058,42.085
12:57:44.933,2,11865,0.391
12:57:44.942,1,26448,0.176
12:57:44.945,0,35069,42.600
12:57:44.974,1,26461,0.328
12:57:44.975,2,11878,0.339
12:57:44.980,0,35081,35.527
12:57:45.007,2,11891,0.443
12:57:45.019,1,26475,0.264
12:57:45.021,0,35093,41.442
12:57:45.052,2,11903,0.326
12:57:45.060,1,26487,0.262
12:57:45.063,0,35102,42.411
12:57:45.093,2,11915,0.219
12:57:45.095,0,35112,32.060
12:57:45.102,1,26500,0.223
12:57:45.134,1,26512,0.302
12:57:45.135,2,11928,0.305
12:57:45.139,0,35124,44.883
12:57:45.166,2,11941,0.358
12:57:45.178,1,26524,0.267
12:57:45.181,0,35136,42.408
12:57:45.212,2,11954,0.257
12:57:45.220,1,26536,0.260
12:57:45.223,0,35146,42.137
12:57:45.253,2,11966,0.295
12:57:45.255,0,35156,31.969
12:57:45.262,1,26548,0.286
12:57:45.294,1,26561,0.348
12:57:45.295,2,11977,0.621
12:57:45.299,0,35168,44.846
12:57:45.327,2,11991,0.428
12:57:45.339,1,26574,0.213
12:57:45.341,0,35179,42.450
12:57:45.372,2,12004,0.407
