wall_time,cam,rtp_seq,pipeline_ms,total_ms
11:29:16.492,0,21873,2.130,2.130
11:29:16.504,1,22380,2.248,2.248
11:29:16.505,2,22183,3.114,3.114
11:29:16.513,0,21874,2.130,0.089
11:29:16.513,0,21875,2.130,0.116
11:29:16.513,0,21876,2.130,0.136
11:29:16.513,0,21877,2.130,0.148
11:29:16.513,0,21878,2.130,0.158
11:29:16.513,0,21879,2.130,0.167
11:29:16.513,0,21880,2.130,0.177
11:29:16.513,0,21881,2.130,0.187
11:29:16.513,0,21882,2.130,0.196
11:29:16.513,0,21883,2.130,0.205
11:29:16.513,0,21884,0.214,0.214
11:29:16.523,2,22184,3.114,0.159
11:29:16.523,2,22185,3.114,0.204
11:29:16.523,2,22186,3.114,0.231
11:29:16.523,2,22187,3.114,0.259
11:29:16.523,2,22188,3.114,0.283
11:29:16.523,2,22189,3.114,0.307
11:29:16.523,2,22190,3.114,0.330
11:29:16.523,2,22191,3.114,0.357
11:29:16.523,2,22192,3.114,0.381
11:29:16.523,2,22193,3.114,0.405
11:29:16.523,2,22194,3.114,0.428
11:29:16.523,2,22195,0.451,0.451
11:29:16.528,1,22381,2.248,0.208
11:29:16.528,1,22382,2.248,0.242
11:29:16.528,1,22383,2.248,0.256
11:29:16.528,1,22384,2.248,0.266
11:29:16.528,1,22385,2.248,0.274
11:29:16.528,1,22386,2.248,0.283
11:29:16.528,1,22387,2.248,0.292
11:29:16.528,1,22388,2.248,0.302
11:29:16.528,1,22389,2.248,0.310
11:29:16.528,1,22390,0.319,0.319
11:29:16.554,0,21885,0.214,0.196
11:29:16.554,0,21886,0.214,0.217
11:29:16.554,0,21887,0.214,0.228
11:29:16.554,0,21888,0.214,0.239
11:29:16.554,0,21889,0.214,0.250
11:29:16.554,0,21890,0.214,0.260
11:29:16.554,0,21891,0.214,0.271
11:29:16.554,0,21892,0.214,0.283
11:29:16.554,0,21893,0.214,0.298
11:29:16.554,0,21894,0.214,0.310
11:29:16.554,0,21895,0.322,0.322
11:29:16.565,2,22196,0.451,0.267
11:29:16.565,2,22197,0.451,0.305
11:29:16.565,2,22198,0.451,0.328
11:29:16.565,2,22199,0.451,0.346
11:29:16.565,2,22200,0.451,0.364
11:29:16.565,2,22201,0.451,0.382
11:29:16.565,2,22202,0.451,0.399
11:29:16.565,2,22203,0.451,0.417
11:29:16.565,2,22204,0.451,0.434
11:29:16.565,2,22205,0.451,0.451
11:29:16.569,1,22391,0.319,0.223
11:29:16.569,1,22392,0.319,0.264
11:29:16.569,1,22393,0.319,0.285
11:29:16.569,1,22394,0.319,0.305
11:29:16.569,1,22395,0.319,0.324
11:29:16.569,1,22396,0.319,0.344
11:29:16.569,1,22397,0.319,0.363
11:29:16.569,1,22398,0.319,0.383
11:29:16.569,1,22399,0.319,0.402
11:29:16.569,1,22400,0.319,0.421
11:29:16.569,1,22401,0.319,0.443
11:29:16.569,1,22402,0.319,0.462
11:29:16.569,1,22403,0.480,0.480
11:29:16.586,0,21896,0.322,0.140
11:29:16.586,0,21897,0.322,0.169
11:29:16.586,0,21898,0.322,0.190
11:29:16.586,0,21899,0.322,0.209
