wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
14:03:00.991,0,9329,42.160,1
14:03:01.028,0,9393,13.204,1
14:03:01.043,1,14228,7.274,2
14:03:01.048,2,31231,15.503,2
14:03:01.059,0,9455,7.443,0
14:03:01.075,2,31319,8.759,0
14:03:01.081,1,14317,6.699,0
14:03:01.098,0,9496,10.195,0
14:03:01.106,2,31358,7.706,0
14:03:01.114,1,14352,7.384,0
14:03:01.143,0,9526,9.987,0
14:03:01.147,2,31396,6.883,0
14:03:01.156,1,14389,6.503,0
14:03:01.170,0,9568,5.177,0
14:03:01.194,2,31433,7.299,0
14:03:01.198,1,14423,6.974,0
14:03:01.213,0,9599,5.493,0
14:03:01.231,1,14464,7.385,0
14:03:01.234,2,31470,6.633,0
14:03:01.259,0,9630,7.589,0
14:03:01.264,2,31507,5.635,0
14:03:01.272,1,14502,6.225,0
14:03:01.300,0,9671,7.945,0
14:03:01.313,2,31543,8.712,0
14:03:01.320,1,14541,9.155,0
14:03:01.330,0,9711,6.233,0
14:03:01.352,2,31582,6.465,0
14:03:01.358,1,14581,6.355,0
14:03:01.372,0,9748,6.017,0
14:03:01.391,1,14618,6.697,0
14:03:01.393,2,31618,6.577,0
14:03:01.418,0,9783,7.257,0
14:03:01.424,2,31659,5.931,0
14:03:01.433,1,14657,7.144,0
14:03:01.459,0,9820,6.946,0
14:03:01.466,2,31697,5.569,0
14:03:01.477,1,14697,6.559,0
14:03:01.496,0,9975,12.147,0
14:03:01.511,2,31737,6.900,0
14:03:01.519,1,14738,6.810,0
14:03:01.532,0,10000,6.059,0
14:03:01.592,2,31893,4.945,1
14:03:01.605,0,10047,15.068,0
14:03:01.606,1,14915,15.643,1
14:03:01.615,0,10077,4.840,0
14:03:01.626,2,31944,7.287,0
14:03:01.638,1,14969,6.140,0
14:03:01.667,0,10114,13.409,0
14:03:01.669,2,31976,8.175,0
14:03:01.680,1,15003,7.337,0
14:03:01.707,0,10152,9.209,0
14:03:01.711,1,15040,6.094,0
14:03:01.714,2,32008,7.972,0
14:03:01.743,0,10196,11.250,0
14:03:01.750,2,32044,10.463,0
14:03:01.753,1,15076,6.312,0
14:03:01.784,0,10233,11.981,0
14:03:01.790,2,32081,9.211,0
14:03:01.801,1,15114,10.693,0
14:03:01.822,0,10269,9.367,0
14:03:01.836,2,32114,10.701,0
14:03:01.839,1,15152,7.265,0
14:03:01.864,0,10303,9.010,0
14:03:01.871,1,15191,6.748,0
14:03:01.874,2,32152,7.972,0
14:03:01.894,0,10335,8.261,0
14:03:01.909,2,32185,10.546,0
14:03:01.913,1,15231,6.070,0
14:03:01.934,0,10375,6.465,0
14:03:01.951,2,32226,10.312,0
14:03:01.958,1,15271,6.497,0
14:03:01.979,0,10414,7.345,0
14:03:01.995,2,32267,9.920,0
14:03:01.999,1,15311,6.314,0
14:03:02.020,0,10453,7.317,0
14:03:02.032,1,15351,5.870,0
14:03:02.034,2,32301,8.335,0
14:03:02.054,0,10488,9.412,0
14:03:02.069,2,32342,10.753,0
14:03:02.075,1,15391,6.674,0
14:03:02.098,0,10617,11.007,0
14:03:02.111,2,32376,10.280,0
14:03:02.119,1,15431,7.082,0
14:03:02.141,0,10640,9.114,0
14:03:02.192,2,32503,6.805,1
14:03:02.209,1,15557,12.036,1
14:03:02.219,0,10672,6.247,1
14:03:02.233,2,32555,6.015,0
14:03:02.237,1,15608,5.695,0
14:03:02.251,0,10731,4.934,0
14:03:02.266,2,32582,6.503,0
14:03:02.279,1,15638,7.194,0
14:03:02.295,0,10768,7.679,0
14:03:02.312,2,32614,6.850,0
14:03:02.318,1,15676,5.106,0
14:03:02.341,0,10806,8.309,0
14:03:02.350,1,15711,6.003,0
14:03:02.353,2,32649,7.016,0
14:03:02.383,0,10840,10.033,0
14:03:02.387,2,32683,7.810,0
14:03:02.391,1,15748,4.940,0
14:03:02.413,0,10872,6.737,0
14:03:02.428,2,32715,7.459,0
14:03:02.437,1,15789,6.386,0
14:03:02.455,0,10912,7.000,0
14:03:02.473,2,32752,8.354,0
14:03:02.479,1,15825,6.160,0
14:03:02.499,0,10951,6.751,0
14:03:02.514,1,15860,9.785,0
14:03:02.514,2,32790,8.390,0
14:03:02.541,0,10987,8.200,0
14:03:02.547,2,32825,7.609,0
14:03:02.554,1,15895,6.615,0
14:03:02.574,0,11023,7.961,0
14:03:02.588,2,32861,6.727,0
14:03:02.597,1,15935,6.273,0
14:03:02.614,0,11058,6.658,0
14:03:02.633,2,32895,7.357,0
14:03:02.638,1,15971,5.640,0
14:03:02.659,0,11093,7.489,0
14:03:02.673,1,16007,7.560,0
14:03:02.673,2,32930,7.246,0
14:03:02.704,0,11224,11.175,0
14:03:02.708,2,32964,8.990,0
14:03:02.712,1,16046,5.120,0
14:03:02.732,0,11246,6.533,0
14:03:02.809,2,33084,19.757,1
14:03:02.824,1,16173,13.852,1
14:03:02.833,2,33130,5.326,0
14:03:02.839,1,16226,7.342,0
14:03:02.840,0,11272,15.621,1
14:03:02.862,0,11332,5.995,0
14:03:02.865,2,33154,6.100,0
14:03:02.883,1,16256,10.410,0
14:03:02.910,0,11366,11.531,0
14:03:02.912,2,33184,10.239,0
14:03:02.921,1,16289,6.854,0
14:03:02.940,0,11401,9.354,0
14:03:02.952,1,16323,6.972,0
14:03:02.954,2,33215,7.451,0
14:03:02.982,0,11433,9.770,0
14:03:02.989,2,33248,9.850,0
14:03:02.996,1,16360,8.589,0
14:03:03.023,0,11471,10.235,0
14:03:03.029,2,33281,7.070,0
14:03:03.036,1,16398,5.031,0
14:03:03.067,0,11507,12.367,0
14:03:03.076,2,33321,9.751,0
14:03:03.081,1,16433,8.136,0
14:03:03.093,0,11541,6.721,0
14:03:03.105,2,33355,6.083,0
14:03:03.110,1,16472,4.961,0
14:03:03.136,0,11581,7.296,0
14:03:03.148,2,33388,6.536,0
14:03:03.153,1,16511,6.163,0
14:03:03.182,0,11619,8.250,0
14:03:03.191,2,33422,5.644,0
14:03:03.197,1,16546,5.921,0
14:03:03.213,0,11654,7.478,0
14:03:03.240,2,33454,13.101,0
14:03:03.243,1,16581,9.461,0
14:03:03.256,0,11689,8.040,0
14:03:03.269,2,33495,10.297,0
14:03:03.272,1,16617,7.130,0
14:03:03.304,0,11816,12.502,0
14:03:03.309,2,33530,7.177,0
14:03:03.315,1,16657,6.820,0
14:03:03.343,0,11839,9.536,0
14:03:03.393,2,33656,3.824,1
14:03:03.416,1,16785,11.060,1
14:03:03.428,0,11865,5.649,1
14:03:03.437,2,33704,5.755,0
14:03:03.439,1,16836,5.623,0
14:03:03.459,0,11920,5.448,0
14:03:03.472,2,33732,7.164,0
14:03:03.473,1,16863,7.623,0
14:03:03.504,0,11954,9.660,0
14:03:03.513,2,33764,7.383,0
14:03:03.518,1,16895,7.733,0
14:03:03.533,0,11988,6.732,0
14:03:03.557,2,33796,9.190,0
14:03:03.560,1,16929,7.059,0
14:03:03.577,0,12026,8.180,0
14:03:03.587,2,33830,7.427,0
14:03:03.591,1,16962,6.197,0
14:03:03.624,0,12059,10.832,0
14:03:03.629,2,33866,7.603,0
14:03:03.633,1,16995,6.153,0
14:03:03.663,0,12094,9.639,0
14:03:03.675,2,33905,8.119,0
14:03:03.679,1,17032,7.060,0
14:03:03.693,0,12132,6.473,0
14:03:03.706,2,33939,6.272,0
14:03:03.718,1,17068,5.591,0
14:03:03.735,0,12167,6.864,0
14:03:03.749,2,33974,7.255,0
14:03:03.752,1,17108,7.234,0
14:03:03.782,0,12201,9.452,0
14:03:03.798,2,34006,10.892,0
14:03:03.798,1,17142,10.655,0
14:03:03.823,0,12241,9.705,0
14:03:03.828,2,34043,8.058,0
14:03:03.838,1,17185,6.832,0
14:03:03.855,0,12280,8.805,0
14:03:03.869,2,34078,7.744,0
14:03:03.883,1,17225,10.086,0
14:03:03.900,0,12402,11.707,0
14:03:03.914,2,34114,8.873,0
14:03:03.914,1,17261,8.777,0
14:03:03.942,0,12423,9.385,0
14:03:04.001,2,34237,15.566,1
14:03:04.026,0,12449,6.262,1
14:03:04.028,1,17381,18.351,1
14:03:04.030,2,34285,9.135,0
14:03:04.041,1,17432,5.536,0
14:03:04.062,0,12509,9.935,0
14:03:04.079,1,17464,12.456,0
14:03:04.080,2,34312,13.711,0
14:03:04.104,0,12542,10.606,0
14:03:04.117,2,34344,9.814,0
14:03:04.117,1,17496,8.956,0
14:03:04.143,0,12577,9.208,0
14:03:04.148,2,34376,7.952,0
14:03:04.166,1,17532,12.468,0
14:03:04.174,0,12611,7.438,0
14:03:04.190,2,34409,8.513,0
14:03:04.192,1,17568,7.236,0
14:03:04.216,0,12649,7.777,0
14:03:04.237,1,17603,9.796,0
14:03:04.237,2,34443,9.772,0
14:03:04.263,0,12685,10.178,0
14:03:04.268,2,34480,7.601,0
14:03:04.281,1,17637,9.249,0
14:03:04.307,0,12721,12.496,0
14:03:04.315,2,34517,13.081,0
14:03:04.322,1,17673,8.266,0
14:03:04.336,0,12757,9.116,0
14:03:04.354,1,17706,7.829,0
14:03:04.358,2,34553,10.940,0
14:03:04.380,0,12794,11.436,0
14:03:04.401,1,17746,13.254,0
14:03:04.402,2,34587,13.122,0
14:03:04.423,0,12830,9.918,0
14:03:04.430,2,34626,9.648,0
14:03:04.443,1,17788,10.055,0
14:03:04.466,0,12867,12.187,0
14:03:04.472,2,34663,9.662,0
14:03:04.475,1,17823,8.834,0
14:03:04.497,0,12992,10.926,0
14:03:04.521,1,17863,12.522,0
14:03:04.522,2,34698,13.762,0
14:03:04.538,0,13014,9.379,0
14:03:04.603,2,34826,13.126,1
14:03:04.628,1,17987,14.390,1
14:03:04.632,1,18011,0.189,0
14:03:04.635,2,34871,7.543,0
14:03:04.637,0,13041,12.774,1
14:03:04.661,0,13099,5.588,0
14:03:04.676,2,34900,7.589,0
14:03:04.685,1,18066,10.341,0
14:03:04.696,0,13133,7.759,0
14:03:04.714,1,18099,8.079,0
14:03:04.718,2,34932,7.701,0
14:03:04.741,0,13171,9.750,0
14:03:04.753,2,34967,10.341,0
14:03:04.761,1,18134,8.895,0
14:03:04.786,0,13204,11.143,0
14:03:04.793,2,35003,6.728,0
14:03:04.800,1,18170,5.648,0
14:03:04.814,0,13240,6.599,0
14:03:04.834,1,18207,7.948,0
14:03:04.837,2,35038,9.436,0
14:03:04.856,0,13275,6.861,0
14:03:04.868,2,35072,8.165,0
14:03:04.879,1,18243,7.292,0
14:03:04.906,0,13313,10.630,0
14:03:04.914,2,35116,11.179,0
14:03:04.921,1,18284,6.655,0
14:03:04.935,0,13351,7.819,0
14:03:04.955,1,18322,9.013,0
14:03:04.956,2,35151,7.835,0
14:03:04.977,0,13390,8.058,0
14:03:04.988,2,35186,7.738,0
14:03:04.996,1,18359,7.686,0
14:03:05.024,0,13428,9.526,0
14:03:05.029,2,35220,6.918,0
14:03:05.040,1,18396,7.116,0
14:03:05.053,0,13464,6.309,0
14:03:05.077,2,35254,10.791,0
14:03:05.077,1,18434,11.148,0
14:03:05.098,0,13583,8.784,0
14:03:05.117,1,18471,9.065,0
14:03:05.117,2,35288,9.514,0
14:03:05.142,0,13603,8.113,0
14:03:05.200,2,35401,11.521,1
14:03:05.209,1,18586,13.678,1
14:03:05.223,0,13630,7.461,1
14:03:05.229,2,35445,7.435,0
14:03:05.233,1,18634,5.374,0
14:03:05.255,0,13690,6.097,0
14:03:05.270,2,35472,7.114,0
14:03:05.280,1,18664,7.646,0
14:03:05.305,0,13724,10.125,0
14:03:05.314,2,35500,6.804,0
14:03:05.322,1,18698,7.583,0
14:03:05.346,0,13759,10.553,0
14:03:05.349,2,35535,8.179,0
14:03:05.353,1,18733,6.927,0
14:03:05.376,0,13793,8.124,0
14:03:05.389,2,35571,6.888,0
14:03:05.395,1,18768,7.293,0
14:03:05.416,0,13825,7.009,0
14:03:05.437,2,35607,9.122,0
14:03:05.439,1,18803,6.769,0
14:03:05.461,0,13864,7.428,0
14:03:05.467,2,35641,6.275,0
14:03:05.481,1,18840,8.324,0
14:03:05.496,0,13903,8.515,0
14:03:05.515,1,18876,9.412,0
14:03:05.515,2,35679,12.805,0
14:03:05.546,0,13939,13.001,0
14:03:05.559,1,18912,9.572,0
14:03:05.559,2,35716,10.303,0
14:03:05.587,0,13974,12.513,0
14:03:05.589,2,35752,8.875,0
14:03:05.601,1,18955,9.153,0
14:03:05.620,0,14010,12.902,0
14:03:05.631,2,35786,8.940,0
14:03:05.642,1,18989,8.265,0
14:03:05.659,0,14045,10.289,0
14:03:05.679,1,19029,12.576,0
14:03:05.679,2,35820,12.680,0
14:03:05.710,0,14162,17.554,0
14:03:05.716,1,19069,6.697,0
14:03:05.720,2,35854,10.563,0
14:03:05.742,0,14185,7.856,0
14:03:05.809,2,35978,19.447,1
14:03:05.824,1,19196,18.363,1
14:03:05.828,0,14212,7.496,1
14:03:05.830,2,36024,8.065,0
14:03:05.833,1,19242,6.889,0
14:03:05.859,0,14273,6.437,0
14:03:05.872,2,36052,6.375,0
14:03:05.877,1,19270,9.258,0
14:03:05.903,0,14308,8.981,0
14:03:05.917,2,36079,9.896,0
14:03:05.921,1,19303,9.359,0
14:03:05.946,0,14338,10.234,0
14:03:05.950,2,36112,9.789,0
