wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
12:26:53.863,2,16788,3.906,1
12:26:53.891,2,16840,7.101,0
12:26:53.910,0,13632,5.263,1
12:26:53.917,1,14880,12.264,1
12:26:53.934,2,16875,6.309,0
12:26:53.952,1,14914,5.721,0
12:26:53.952,0,13663,5.082,0
12:26:53.963,2,16908,5.177,0
12:26:53.984,0,13696,5.997,0
12:26:53.984,1,14945,6.313,0
12:26:54.004,2,16949,5.517,0
12:26:54.023,0,13725,4.652,0
12:26:54.028,1,14978,5.532,0
12:26:54.044,2,16973,4.864,0
12:26:54.063,0,13764,4.135,0
12:26:54.070,1,15024,5.987,0
12:26:54.086,2,17013,5.109,0
12:26:54.106,0,13797,4.754,0
12:26:54.111,1,15053,4.817,0
12:26:54.118,2,17042,5.435,0
12:26:54.137,0,13838,4.785,0
12:26:54.142,1,15086,4.211,0
12:26:54.162,2,17069,4.929,0
12:26:54.185,0,13867,6.796,0
12:26:54.191,1,15118,8.131,0
12:26:54.205,2,17097,5.319,0
12:26:54.224,0,13902,5.378,0
12:26:54.248,2,17124,5.789,0
12:26:54.267,0,13932,5.860,0
12:26:54.280,2,17150,6.793,0
12:26:54.298,0,13964,5.579,0
12:26:54.323,2,17178,5.660,0
12:26:54.343,0,13996,4.468,0
12:26:54.364,2,17211,4.631,0
12:26:54.383,0,14030,4.225,0
12:26:54.407,2,17240,4.351,0
12:26:54.425,0,14068,4.084,0
12:26:54.437,2,17271,4.774,0
12:26:54.457,0,14104,4.082,0
12:26:54.481,2,17303,4.299,0
12:26:54.502,0,14137,4.154,0
12:26:54.523,2,17334,4.256,0
12:26:54.544,0,14170,4.500,0
12:26:54.566,2,17373,4.259,0
12:26:54.585,0,14201,3.969,0
12:26:54.598,2,17401,4.928,0
12:26:54.617,0,14234,3.960,0
12:26:54.642,2,17428,4.505,0
12:26:54.662,0,14278,4.133,0
12:26:54.685,2,17471,4.901,0
12:26:54.703,0,14315,4.165,0
12:26:54.727,2,17503,4.276,0
12:26:54.745,0,14349,3.986,0
12:26:54.762,2,17535,4.921,0
12:26:54.778,0,14381,4.953,0
12:26:54.804,2,17566,4.448,0
12:26:54.823,0,14413,4.123,0
12:26:54.847,2,17596,4.707,0
12:26:54.866,0,14450,4.501,0
12:26:54.878,2,17624,4.720,0
12:26:54.906,0,14485,4.141,0
12:26:54.923,2,17656,4.882,0
12:26:54.938,0,14521,4.683,0
12:26:54.964,2,17687,4.814,0
12:26:54.982,0,14552,3.998,0
12:26:55.009,2,17872,6.989,0
12:26:55.024,0,14587,4.407,0
12:26:55.037,2,17891,4.084,0
12:26:55.068,0,14790,6.984,0
12:26:55.081,2,17911,3.982,0
12:26:55.097,0,14810,3.818,0
12:26:55.123,2,17938,4.191,0
12:26:55.144,0,14834,5.096,0
12:26:55.165,2,17967,4.262,0
12:26:55.183,0,14866,4.410,0
12:26:55.206,2,18000,4.196,0
12:26:55.226,0,14898,4.642,0
12:26:55.237,2,18032,4.254,0
12:26:55.257,0,14933,3.952,0
12:26:55.282,2,18065,4.419,0
12:26:55.302,0,14972,3.994,0
12:26:55.325,2,18097,5.210,0
12:26:55.343,0,15002,3.928,0
12:26:55.367,2,18136,4.961,0
12:26:55.386,0,15033,5.063,0
12:26:55.398,2,18170,5.020,0
12:26:55.418,0,15073,4.742,0
12:26:55.443,2,18203,5.263,0
12:26:55.462,0,15120,4.377,0
12:26:55.483,2,18232,3.866,0
12:26:55.503,0,15148,3.866,0
12:26:55.527,2,18264,4.312,0
12:26:55.546,0,15180,4.126,0
12:26:55.557,2,18294,4.193,0
12:26:55.577,0,15210,4.142,0
12:26:55.603,2,18327,4.237,0
12:26:55.623,0,15243,3.952,0
