wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
11:15:19.675,1,32517,8.912,1
11:15:19.688,0,27571,8.325,1
11:15:19.694,2,20961,6.852,1
11:15:19.713,1,32546,5.949,0
11:15:19.725,0,27600,4.378,0
11:15:19.734,2,20989,5.020,0
11:15:19.755,1,32572,6.404,0
11:15:19.766,0,27621,4.527,0
11:15:19.769,2,21013,6.066,0
11:15:19.784,1,32590,4.400,0
11:15:19.801,0,27641,4.255,0
11:15:19.812,2,21040,5.991,0
11:15:19.830,1,32618,4.504,0
11:15:19.844,0,27668,5.417,0
11:15:19.852,2,21061,5.677,0
11:15:19.870,1,32649,4.568,0
11:15:19.885,0,27689,4.639,0
11:15:19.896,2,21089,7.194,0
11:15:19.912,1,32668,3.748,0
11:15:19.927,2,21114,5.794,0
11:15:19.927,0,27711,5.694,0
11:15:19.944,1,32693,4.368,0
11:15:19.958,0,27739,4.251,0
11:15:19.971,2,21135,4.955,0
11:15:19.990,1,32713,5.088,0
11:15:20.003,0,27757,4.158,0
11:15:20.012,2,21157,4.949,0
11:15:20.031,1,32734,4.815,0
11:15:20.045,0,27783,4.549,0
11:15:20.054,2,21186,5.048,0
11:15:20.074,1,32762,5.361,0
11:15:20.086,2,21213,5.888,0
11:15:20.086,0,27804,5.226,0
11:15:20.107,1,32786,4.203,0
11:15:20.118,0,27822,4.585,0
11:15:20.130,2,21236,4.453,0
11:15:20.149,1,32807,3.787,0
11:15:20.165,0,27845,5.169,0
11:15:20.171,2,21261,3.865,0
11:15:20.191,1,32831,4.124,0
11:15:20.205,0,27868,4.336,0
11:15:20.213,2,21281,4.364,0
11:15:20.232,1,32852,4.018,0
11:15:20.246,2,21305,5.506,0
11:15:20.247,0,27891,4.737,0
11:15:20.264,1,32876,3.630,0
11:15:20.280,0,27912,3.873,0
11:15:20.291,2,21326,4.764,0
11:15:20.309,1,32899,3.749,0
11:15:20.323,0,27944,4.012,0
11:15:20.332,2,21348,4.711,0
11:15:20.350,1,32924,4.210,0
11:15:20.364,0,27969,4.193,0
11:15:20.374,2,21372,5.260,0
11:15:20.393,1,32948,4.329,0
11:15:20.405,0,27989,3.740,0
11:15:20.410,2,21398,6.593,0
11:15:20.424,1,32972,4.216,0
11:15:20.440,0,28012,3.872,0
11:15:20.451,2,21421,4.694,0
11:15:20.469,1,32994,3.747,0
11:15:20.483,0,28035,3.796,0
11:15:20.491,2,21444,4.665,0
11:15:20.510,1,33016,4.115,0
11:15:20.525,0,28060,4.644,0
11:15:20.533,2,21472,4.168,0
11:15:20.552,1,33041,4.245,0
11:15:20.567,2,21494,5.785,0
11:15:20.567,0,28081,5.233,0
11:15:20.584,1,33064,4.209,0
11:15:20.602,0,28105,4.906,0
11:15:20.612,2,21520,5.326,0
11:15:20.629,1,33088,3.806,0
11:15:20.644,0,28126,4.203,0
11:15:20.652,2,21545,4.705,0
11:15:20.669,1,33110,3.721,0
11:15:20.684,0,28149,3.542,0
11:15:20.694,2,21568,5.032,0
11:15:20.712,1,33133,3.683,0
11:15:20.726,0,28171,4.546,0
11:15:20.729,2,21591,5.951,0
11:15:20.744,1,33158,4.350,0
11:15:20.761,0,28195,4.422,0
11:15:20.771,2,21615,4.982,0
11:15:20.789,1,33182,3.956,0
11:15:20.803,0,28218,3.756,0
11:15:20.813,2,21639,3.947,0
11:15:20.832,1,33319,5.551,0
11:15:20.849,2,21757,9.221,0
11:15:20.849,0,28347,9.355,0
11:15:20.872,1,33334,3.503,0
11:15:20.887,0,28362,4.661,0
11:15:20.892,2,21773,6.445,0
11:15:20.904,1,33352,4.125,0
11:15:20.919,0,28378,4.695,0
11:15:20.933,2,21789,5.498,0
11:15:20.949,1,33371,3.940,0
11:15:20.964,0,28398,4.870,0
11:15:20.973,2,21806,4.565,0
11:15:20.990,1,33394,4.177,0
11:15:21.007,0,28418,6.082,0
11:15:21.007,2,21826,6.065,0
11:15:21.033,1,33421,4.332,0
11:15:21.047,0,28442,5.015,0
11:15:21.052,2,21850,5.992,0
11:15:21.064,1,33443,3.875,0
11:15:21.079,0,28463,4.954,0
11:15:21.093,2,21871,5.367,0
11:15:21.110,1,33469,4.389,0
11:15:21.124,0,28482,4.660,0
11:15:21.135,2,21892,4.887,0
11:15:21.150,1,33490,3.707,0
11:15:21.165,0,28502,5.055,0
11:15:21.171,2,21920,6.784,0
11:15:21.192,1,33510,3.876,0
11:15:21.208,0,28522,5.135,0
11:15:21.212,2,21950,6.101,0
11:15:21.224,1,33531,3.601,0
11:15:21.238,0,28541,4.079,0
11:15:21.252,2,21973,5.386,0
11:15:21.270,1,33554,4.310,0
11:15:21.283,0,28567,3.777,0
11:15:21.294,2,21998,5.010,0
11:15:21.310,1,33576,3.917,0
11:15:21.327,2,22020,6.232,0
11:15:21.327,0,28589,6.738,0
11:15:21.352,1,33599,3.805,0
11:15:21.368,0,28612,5.885,0
11:15:21.372,2,22042,5.105,0
11:15:21.384,1,33622,3.831,0
11:15:21.400,0,28631,5.528,0
11:15:21.412,2,22064,4.795,0
11:15:21.430,1,33644,4.035,0
11:15:21.445,0,28653,5.396,0
