wall_time,cam_index,latency_ms
12:43:57.755,0,0.0931
12:43:57.803,0,0.1881
12:43:57.816,1,0.1209
12:43:57.819,2,0.0554
12:43:57.820,0,0.0126
12:43:57.839,1,0.0189
12:43:57.848,2,0.0197
12:43:57.854,0,0.0217
12:43:57.872,2,0.0228
12:43:57.880,1,0.0267
12:43:57.896,0,0.0303
12:43:57.913,2,0.0811
12:43:57.921,1,0.0239
12:43:57.937,0,0.0213
12:43:57.951,1,0.0254
12:43:57.954,2,0.0211
12:43:57.978,0,0.0233
12:43:57.986,2,0.0222
12:43:57.996,1,0.0205
12:43:58.010,0,0.0234
12:43:58.030,2,0.0305
12:43:58.038,1,0.0292
12:43:58.055,0,0.0284
12:43:58.072,2,0.0231
12:43:58.080,1,0.0234
12:43:58.096,0,0.0230
12:43:58.111,1,0.0208
12:43:58.114,2,0.0223
12:43:58.138,0,0.0233
12:43:58.147,2,0.0251
12:43:58.155,1,0.0232
12:43:58.171,0,0.0242
12:43:58.191,2,0.0229
12:43:58.198,1,0.0222
12:43:58.215,0,0.0311
12:43:58.233,2,0.0296
12:43:58.240,1,0.0244
12:43:58.256,0,0.0152
12:43:58.271,1,0.0147
12:43:58.275,2,0.0240
12:43:58.299,0,0.0300
12:43:58.307,2,0.0209
12:43:58.316,1,0.0277
12:43:58.331,0,0.0301
12:43:58.352,2,0.0257
12:43:58.358,1,0.0233
12:43:58.375,0,0.0580
12:43:58.394,2,0.0274
12:43:58.400,1,0.0258
12:43:58.416,0,0.0254
12:43:58.432,1,0.0274
12:43:58.434,2,0.0235
12:43:58.458,0,0.0229
12:43:58.475,2,0.0265
12:43:58.477,1,0.0242
12:43:58.491,0,0.0294
12:43:58.507,2,0.0296
12:43:58.518,1,0.0241
12:43:58.535,0,0.0319
12:43:58.552,2,0.0188
12:43:58.559,1,0.0243
12:43:58.576,0,0.0251
12:43:58.591,1,0.0556
12:43:58.593,2,0.0227
12:43:58.618,0,0.0264
12:43:58.635,2,0.0229
12:43:58.636,1,0.0539
12:43:58.650,0,0.0230
12:43:58.667,2,0.0216
12:43:58.678,1,0.0277
12:43:58.701,0,0.0268
12:43:58.711,2,0.0226
12:43:58.719,1,0.0278
12:43:58.742,0,0.0216
12:43:58.753,2,0.0227
12:43:58.760,1,0.0278
12:43:58.791,1,0.0229
12:43:58.792,0,0.1069
12:43:58.795,2,0.0239
12:43:58.819,0,0.0212
12:43:58.827,2,0.0560
12:43:58.836,1,0.0223
12:43:58.860,0,0.0235
12:43:58.871,2,0.0299
12:43:58.878,1,0.0268
12:43:58.901,0,0.0259
12:43:58.914,2,0.0256
12:43:58.920,1,0.0226
12:43:58.934,0,0.0240
12:43:58.951,1,0.0244
12:43:58.955,2,0.0218
12:43:58.976,0,0.0239
12:43:58.987,2,0.0215
12:43:58.996,1,0.0265
12:43:59.016,0,0.0223
12:43:59.031,2,0.0166
12:43:59.038,1,0.0205
12:43:59.059,0,0.0269
12:43:59.073,2,0.0225
12:43:59.080,1,0.0182
12:43:59.091,0,0.0245
12:43:59.112,1,0.0252
12:43:59.115,2,0.0236
12:43:59.136,0,0.0255
12:43:59.147,2,0.0258
12:43:59.157,1,0.0692
12:43:59.177,0,0.0395
12:43:59.192,2,0.0236
12:43:59.198,1,0.0198
12:43:59.218,0,0.0247
12:43:59.234,2,0.0197
12:43:59.241,1,0.0204
12:43:59.250,0,0.0228
12:43:59.271,1,0.0261
12:43:59.276,2,0.0253
12:43:59.296,0,0.0248
12:43:59.307,2,0.0236
12:43:59.316,1,0.0665
12:43:59.336,0,0.0525
12:43:59.352,2,0.0251
12:43:59.358,1,0.0256
12:43:59.379,0,0.0511
12:43:59.394,2,0.0280
12:43:59.400,1,0.0381
12:43:59.410,0,0.0239
12:43:59.432,1,0.0206
12:43:59.434,2,0.0233
12:43:59.456,0,0.0238
12:43:59.475,2,0.0852
12:43:59.476,1,0.0246
12:43:59.497,0,0.0246
12:43:59.507,2,0.0269
12:43:59.518,1,0.0236
12:43:59.538,0,0.0250
12:43:59.552,2,0.0236
12:43:59.560,1,0.0234
12:43:59.571,0,0.0636
12:43:59.592,1,0.0552
12:43:59.593,2,0.0251
12:43:59.616,0,0.0356
12:43:59.635,2,0.0241
12:43:59.637,1,0.0216
12:43:59.657,0,0.0266
12:43:59.668,2,0.0234
12:43:59.679,1,0.0225
12:43:59.699,0,0.0253
12:43:59.714,2,0.0238
12:43:59.721,1,0.0533
12:43:59.730,0,0.0264
12:43:59.752,1,0.0270
12:43:59.754,2,0.0235
12:43:59.784,0,0.0543
12:43:59.808,2,0.1469
12:43:59.810,1,0.0777
12:43:59.825,0,0.0228
12:43:59.834,2,0.0354
12:43:59.842,1,0.0240
12:43:59.866,0,0.0232
12:43:59.874,2,0.0233
12:43:59.883,1,0.0241
12:43:59.897,0,0.0255
12:43:59.916,2,0.0393
12:43:59.917,1,0.0260
12:43:59.937,0,0.0237
12:43:59.948,2,0.0258
12:43:59.959,1,0.0431
12:43:59.978,0,0.0242
12:43:59.993,2,0.0293
12:44:00.000,1,0.0385
12:44:00.019,0,0.0189
12:44:00.034,2,0.0301
12:44:00.041,1,0.0269
12:44:00.051,0,0.0280
12:44:00.072,1,0.0232
12:44:00.076,2,0.0308
12:44:00.096,0,0.0279
12:44:00.108,2,0.0246
12:44:00.118,1,0.0267
12:44:00.137,0,0.0555
12:44:00.153,2,0.0319
12:44:00.159,1,0.0820
12:44:00.179,0,0.0257
12:44:00.194,2,0.0264
12:44:00.200,1,0.0260
12:44:00.211,0,0.0251
12:44:00.232,1,0.0307
12:44:00.237,2,0.0353
12:44:00.257,0,0.0641
12:44:00.271,2,0.0523
12:44:00.277,1,0.0247
12:44:00.298,0,0.0272
12:44:00.312,2,0.0270
12:44:00.319,1,0.0236
12:44:00.339,0,0.0250
12:44:00.354,2,0.0272
12:44:00.361,1,0.0247
12:44:00.371,0,0.0247
12:44:00.392,1,0.0235
12:44:00.396,2,0.0218
12:44:00.416,0,0.0261
12:44:00.428,2,0.0251
12:44:00.437,1,0.0305
12:44:00.457,0,0.0237
12:44:00.473,2,0.0224
12:44:00.479,1,0.0212
12:44:00.499,0,0.0267
12:44:00.514,2,0.0303
12:44:00.521,1,0.0558
12:44:00.531,0,0.0265
12:44:00.552,1,0.0266
12:44:00.555,2,0.0200
12:44:00.576,0,0.0241
12:44:00.588,2,0.0242
12:44:00.597,1,0.0252
12:44:00.617,0,0.0254
12:44:00.634,2,0.0222
12:44:00.641,1,0.0263
12:44:00.659,0,0.0263
12:44:00.674,2,0.0246
12:44:00.681,1,0.0254
12:44:00.691,0,0.0233
12:44:00.712,1,0.0317
12:44:00.716,2,0.0282
12:44:00.736,0,0.0549
12:44:00.748,2,0.0552
12:44:00.758,1,0.0272
12:44:00.788,0,0.0410
12:44:00.793,2,0.0254
12:44:00.799,1,0.0394
12:44:00.815,0,0.0159
12:44:00.834,2,0.0240
12:44:00.841,1,0.0537
12:44:00.856,0,0.0300
12:44:00.872,1,0.0266
12:44:00.876,2,0.0377
12:44:00.897,0,0.0158
12:44:00.908,2,0.0229
12:44:00.917,1,0.0239
12:44:00.939,0,0.0286
12:44:00.954,2,0.0265
12:44:00.959,1,0.0245
12:44:00.971,0,0.0265
12:44:00.994,2,0.0242
12:44:01.001,1,0.0254
12:44:01.016,0,0.0294
12:44:01.032,1,0.0227
12:44:01.036,2,0.0227
12:44:01.058,0,0.0253
12:44:01.068,2,0.0243
12:44:01.077,1,0.0260
12:44:01.099,0,0.0268
12:44:01.114,2,0.0242
12:44:01.119,1,0.0240
12:44:01.140,0,0.0246
12:44:01.155,2,0.0252
12:44:01.161,1,0.0235
12:44:01.172,0,0.0232
12:44:01.192,1,0.0226
12:44:01.196,2,0.0249
12:44:01.217,0,0.0249
12:44:01.228,2,0.0362
12:44:01.237,1,0.0306
12:44:01.258,0,0.0227
12:44:01.273,2,0.0412
12:44:01.279,1,0.0530
12:44:01.299,0,0.0251
12:44:01.314,2,0.0311
12:44:01.321,1,0.0290
12:44:01.331,0,0.0257
12:44:01.353,1,0.0259
