wall_time,cam,rtp_seq,pipeline_ms
12:50:01.568,0,17594,118.447
12:50:01.593,2,20123,0.355
12:50:01.609,1,11249,43.214
12:50:01.609,0,17605,118.340
12:50:01.638,2,20136,0.586
12:50:01.640,1,11260,31.481
12:50:01.651,0,17614,128.386
12:50:01.680,2,20148,0.382
12:50:01.683,0,17624,115.517
12:50:01.685,1,11272,45.486
12:50:01.721,2,20161,0.314
12:50:01.727,1,11285,42.888
12:50:01.729,0,17634,119.401
12:50:01.757,2,20173,0.380
12:50:01.769,0,17645,118.469
12:50:01.770,1,11298,43.455
12:50:01.800,2,20187,0.567
12:50:01.801,1,11311,31.744
12:50:01.811,0,17656,128.487
12:50:01.840,2,20199,0.413
12:50:01.843,0,17667,115.075
12:50:01.846,1,11324,46.109
12:50:01.882,2,20212,0.322
12:50:01.888,1,11336,42.540
12:50:01.889,0,17676,119.850
12:50:01.914,2,20224,0.445
12:50:01.929,1,11350,42.397
12:50:01.929,0,17685,118.310
12:50:01.960,2,20236,1.017
12:50:01.960,1,11363,32.143
12:50:01.971,0,17694,128.480
12:50:02.000,2,20249,0.823
12:50:02.003,0,17704,114.498
12:50:02.005,1,11375,44.701
12:50:02.042,2,20262,0.655
12:50:02.047,1,11388,43.188
12:50:02.048,0,17714,119.223
12:50:02.074,2,20274,0.484
12:50:02.089,1,11400,42.803
12:50:02.120,2,20287,0.779
12:50:02.120,1,11413,31.374
12:50:02.132,0,17846,161.228
12:50:02.156,0,17857,152.833
12:50:02.160,2,20299,0.605
12:50:02.164,1,11424,44.386
12:50:02.170,0,17867,122.167
12:50:02.202,2,20312,0.454
12:50:02.206,1,11435,42.158
12:50:02.212,0,17877,80.759
12:50:02.234,2,20323,0.463
12:50:02.243,0,17887,110.851
12:50:02.249,1,11447,42.459
12:50:02.279,2,20336,0.725
12:50:02.280,1,11461,31.732
12:50:02.288,0,17898,118.281
12:50:02.320,2,20349,0.320
12:50:02.326,1,11472,45.732
12:50:02.329,0,17909,118.120
12:50:02.362,2,20362,0.259
12:50:02.366,1,11483,40.881
12:50:02.371,0,17919,128.529
12:50:02.393,2,20373,0.265
12:50:02.403,0,17929,115.274
12:50:02.409,1,11494,42.369
12:50:02.439,2,20384,0.672
12:50:02.440,1,11507,31.976
12:50:02.448,0,17939,118.776
12:50:02.480,2,20397,0.221
12:50:02.485,1,11520,44.827
12:50:02.489,0,17949,117.970
12:50:02.522,2,20410,0.365
12:50:02.527,1,11533,41.908
12:50:02.531,0,17958,128.566
12:50:02.554,2,20423,0.234
12:50:02.563,0,17969,115.548
12:50:02.569,1,11545,42.322
12:50:02.598,2,20435,0.197
12:50:02.600,1,11557,31.250
12:50:02.609,0,17979,119.379
12:50:02.640,2,20446,0.260
12:50:02.646,1,11568,45.763
12:50:02.649,0,17988,118.020
12:50:02.682,2,20459,0.200
12:50:02.686,1,11579,40.709
12:50:02.691,0,17998,128.099
12:50:02.714,2,20472,0.208
12:50:02.724,0,18008,115.436
12:50:02.729,1,11591,42.542
12:50:02.759,2,20484,0.274
12:50:02.761,1,11605,31.917
12:50:02.769,0,18018,119.623
12:50:02.800,2,20497,0.223
12:50:02.805,1,11618,45.100
12:50:02.810,0,18030,118.435
12:50:02.842,2,20509,0.260
12:50:02.847,1,11631,42.060
12:50:02.852,0,18041,128.102
12:50:02.874,2,20522,0.201
12:50:02.883,0,18052,114.855
12:50:02.889,1,11644,42.443
12:50:02.920,2,20534,0.313
12:50:02.921,1,11657,31.310
12:50:02.928,0,18062,118.284
12:50:02.960,2,20546,0.341
12:50:02.966,1,11667,45.409
12:50:02.969,0,18071,117.798
12:50:03.002,2,20560,0.340
12:50:03.007,1,11678,41.105
12:50:03.012,0,18081,128.419
12:50:03.034,2,20572,0.187
12:50:03.043,0,18090,115.719
12:50:03.049,1,11689,42.343
12:50:03.111,2,20696,1.625
12:50:03.112,1,11810,63.495
12:50:03.124,0,18221,154.826
12:50:03.137,2,20708,12.422
12:50:03.150,1,11823,38.882
12:50:03.158,2,20722,0.535
12:50:03.176,1,11836,41.253
12:50:03.200,2,20735,0.449
12:50:03.207,1,11848,31.171
12:50:03.208,0,18241,196.219
12:50:03.212,0,18251,169.056
12:50:03.243,2,20747,0.796
12:50:03.248,1,11861,41.515
12:50:03.253,0,18261,130.195
12:50:03.275,2,20759,0.608
12:50:03.284,0,18271,153.732
12:50:03.289,1,11874,41.472
12:50:03.320,2,20772,0.586
12:50:03.330,0,18280,158.663
12:50:03.330,1,11887,41.598
12:50:03.360,1,11899,30.609
12:50:03.361,2,20784,0.664
12:50:03.370,0,18290,158.283
12:50:03.402,2,20796,0.275
12:50:03.405,1,11910,44.888
12:50:03.412,0,18301,159.715
12:50:03.434,2,20809,0.215
12:50:03.444,0,18310,159.989
12:50:03.447,1,11922,42.136
12:50:03.480,2,20823,0.859
12:50:03.489,0,18321,160.455
12:50:03.489,1,11935,42.723
12:50:03.521,2,20834,0.503
12:50:03.521,1,11947,31.365
12:50:03.530,0,18331,159.961
12:50:03.562,2,20846,0.302
12:50:03.565,1,11958,44.893
12:50:03.572,0,18341,159.955
12:50:03.594,2,20859,0.263
12:50:03.604,0,18352,160.713
12:50:03.607,1,11970,42.440
12:50:03.639,2,20871,0.446
12:50:03.648,1,11984,41.292
12:50:03.649,0,18361,159.923
12:50:03.680,2,20883,0.401
12:50:03.690,1,11996,41.442
12:50:03.690,0,18372,160.545
12:50:03.721,1,12009,31.504
12:50:03.722,2,20895,0.426
12:50:03.732,0,18381,160.239
12:50:03.755,2,20908,0.701
12:50:03.764,0,18392,160.203
12:50:03.766,1,12022,44.964
12:50:03.798,2,20919,0.325
12:50:03.807,1,12035,41.980
12:50:03.809,0,18401,160.113
12:50:03.840,2,20931,0.230
12:50:03.849,1,12046,42.118
12:50:03.850,0,18411,160.401
12:50:03.880,1,12057,31.390
12:50:03.882,2,20943,0.236
12:50:03.892,0,18422,160.555
12:50:03.915,2,20957,0.284
12:50:03.924,0,18432,160.280
12:50:03.925,1,12069,45.119
12:50:03.960,2,20970,0.275
12:50:03.968,1,12082,42.445
12:50:03.969,0,18443,160.190
12:50:04.001,2,20982,0.352
12:50:04.010,1,12094,42.309
12:50:04.010,0,18453,160.544
12:50:04.041,1,12107,31.858
12:50:04.042,2,20994,0.294
12:50:04.053,0,18463,160.523
12:50:04.075,2,21006,0.629
12:50:04.086,1,12118,44.895
12:50:04.120,2,21018,0.806
12:50:04.121,0,18594,196.823
12:50:04.127,1,12128,42.186
12:50:04.139,0,18605,170.512
12:50:04.161,2,21030,0.231
12:50:04.170,1,12138,42.780
12:50:04.179,0,18613,169.083
12:50:04.201,1,12148,31.475
12:50:04.203,2,21043,0.417
12:50:04.210,0,18625,158.156
12:50:04.235,2,21056,0.426
12:50:04.246,1,12160,45.518
12:50:04.250,0,18633,130.628
12:50:04.279,2,21068,0.255
12:50:04.288,1,12174,42.792
12:50:04.291,0,18643,152.956
12:50:04.321,2,21080,0.427
12:50:04.329,1,12187,41.295
12:50:04.333,0,18653,153.722
12:50:04.362,2,21092,0.264
12:50:04.364,0,18662,154.149
12:50:04.370,1,12198,41.338
12:50:04.394,2,21104,0.156
12:50:04.401,1,12209,31.811
12:50:04.405,0,18671,155.594
12:50:04.438,2,21118,0.266
12:50:04.446,1,12223,45.661
12:50:04.451,0,18681,159.582
12:50:04.480,2,21131,0.168
12:50:04.488,1,12236,42.561
12:50:04.492,0,18691,159.960
12:50:04.522,2,21142,0.259
12:50:04.524,0,18701,160.222
