wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
17:49:55.570,0,31639,6.686,5
17:49:55.580,1,15367,4.626,5
17:49:55.591,2,25930,15.107,5
17:49:55.621,0,31690,15.838,0
17:49:55.646,1,15415,28.308,0
17:49:55.654,0,31701,17.452,0
17:49:55.659,2,25981,8.515,1
17:49:55.688,0,31720,7.080,0
17:49:55.691,1,15432,39.604,0
17:49:55.718,1,15447,22.019,0
17:49:55.725,2,26016,26.596,0
17:49:55.739,1,15462,2.535,0
17:49:55.743,0,31749,20.032,0
17:49:55.746,2,26029,8.092,0
17:49:55.784,1,15489,6.017,0
17:49:55.785,0,31779,20.197,0
17:49:55.789,2,26061,10.010,0
17:49:55.807,0,31790,9.580,0
17:49:55.827,1,15517,15.368,0
17:49:55.831,2,26085,19.260,0
17:49:55.870,0,31815,28.738,0
17:49:55.884,1,15545,29.177,0
17:49:55.887,2,26111,30.777,0
17:49:55.914,0,31827,29.106,0
17:49:55.931,2,26123,33.580,0
17:49:55.934,1,15559,36.131,0
17:49:55.960,0,31841,3.452,1
17:49:55.976,1,15573,4.303,1
17:49:55.978,2,26138,7.038,1
17:49:56.107,0,32028,21.983,2
17:49:56.114,1,15760,17.172,2
17:49:56.118,2,26317,19.616,2
17:49:56.145,1,15777,14.119,0
17:49:56.146,0,32047,20.329,0
17:49:56.158,2,26335,26.181,0
17:49:56.169,0,32058,12.503,0
17:49:56.181,2,26350,6.113,0
17:49:56.200,1,15804,25.237,0
17:49:56.221,0,32084,20.042,0
17:49:56.244,2,26379,26.588,0
17:49:56.245,1,15817,27.411,0
17:49:56.274,0,32096,28.564,0
17:49:56.287,1,15830,28.325,0
17:49:56.296,2,26393,3.909,1
17:49:56.322,0,32108,5.102,1
17:49:56.323,1,15842,31.332,0
17:49:56.365,1,15855,30.220,0
17:49:56.369,2,26422,34.259,0
17:49:56.387,0,32136,24.559,0
17:49:56.408,1,15868,29.838,0
17:49:56.409,2,26437,32.288,0
17:49:56.432,0,32150,29.233,0
17:49:56.453,2,26450,32.358,0
17:49:56.454,1,15880,34.330,0
17:49:56.478,0,32163,32.638,0
