wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
13:12:03.209,1,24520,0.204,0
13:12:03.240,2,10851,0.397,0
13:12:03.246,0,20849,0.419,0
13:12:03.250,1,24532,0.169,0
13:12:03.282,1,24544,0.294,0
13:12:03.283,2,10864,0.327,0
13:12:03.288,0,20860,0.447,0
13:12:03.314,2,10876,0.260,0
13:12:03.320,0,20870,0.385,0
13:12:03.328,1,24557,0.236,0
13:12:03.359,2,10888,0.217,0
13:12:03.366,0,20880,0.643,0
13:12:03.369,1,24569,0.220,0
13:12:03.401,2,10902,0.654,0
13:12:03.406,0,20890,0.567,0
13:12:03.410,1,24580,0.186,0
13:12:03.442,1,24593,0.339,0
13:12:03.443,2,10915,0.365,0
13:12:03.448,0,20902,0.438,0
13:12:03.474,2,10929,0.424,0
13:12:03.480,0,20913,0.855,0
13:12:03.488,1,24606,0.490,0
13:12:03.520,2,10942,0.412,0
13:12:03.526,0,20925,0.580,0
13:12:03.529,1,24619,0.666,0
13:12:03.561,2,10954,0.672,0
13:12:03.566,0,20937,0.787,0
13:12:03.570,1,24631,0.166,0
13:12:03.602,1,24644,0.239,0
13:12:03.603,2,10966,0.540,0
13:12:03.608,0,20947,0.300,0
13:12:03.635,2,10979,0.364,0
13:12:03.641,0,20958,0.519,0
13:12:03.648,1,24656,0.351,0
13:12:03.679,2,10992,0.486,0
13:12:03.685,0,20967,0.208,0
13:12:03.688,1,24669,0.189,0
13:12:03.720,2,11004,0.368,0
13:12:03.726,0,20977,0.216,0
13:12:03.732,1,24682,0.727,0
13:12:03.763,1,24694,0.237,0
13:12:03.763,2,11017,0.445,0
13:12:03.768,0,20987,0.568,0
13:12:03.796,2,11032,0.953,0
13:12:03.800,0,20998,0.363,0
13:12:03.807,1,24707,0.232,0
13:12:03.839,2,11046,0.457,0
13:12:03.844,0,21009,0.288,0
13:12:03.848,1,24718,0.190,0
13:12:03.881,2,11060,0.255,0
13:12:03.886,0,21019,0.221,0
13:12:03.891,1,24731,0.205,0
13:12:03.922,1,24743,0.183,0
13:12:03.923,2,11073,0.291,0
13:12:03.930,0,21031,0.188,0
13:12:03.954,2,11084,0.213,0
13:12:03.965,0,21042,0.302,0
13:12:03.967,1,24756,0.231,0
13:12:03.999,2,11095,0.299,0
13:12:04.009,1,24768,0.563,0
13:12:04.041,0,21160,1.908,0
13:12:04.041,2,11107,0.268,0
13:12:04.050,1,24780,0.585,0
13:12:04.067,0,21171,17.434,0
13:12:04.082,1,24793,0.752,0
13:12:04.083,2,11119,0.291,0
13:12:04.090,0,21182,0.333,0
13:12:04.114,2,11133,0.370,0
13:12:04.127,1,24806,0.465,0
13:12:04.131,0,21195,0.320,0
13:12:04.160,2,11147,0.347,0
13:12:04.165,0,21206,0.513,0
13:12:04.169,1,24819,0.398,0
13:12:04.201,2,11160,0.668,0
13:12:04.206,0,21216,0.653,0
13:12:04.210,1,24830,0.535,0
13:12:04.243,2,11172,0.360,0
13:12:04.246,0,21226,0.503,0
13:12:04.251,1,24843,0.585,0
13:12:04.275,2,11184,0.510,0
13:12:04.283,1,24856,0.761,0
13:12:04.288,0,21235,0.401,0
13:12:04.320,2,11197,1.143,0
13:12:04.321,0,21246,0.742,0
13:12:04.327,1,24869,0.372,0
13:12:04.361,2,11208,0.418,0
13:12:04.366,0,21257,0.454,0
13:12:04.369,1,24881,0.414,0
13:12:04.403,2,11220,0.332,0
13:12:04.406,0,21268,0.490,0
13:12:04.411,1,24894,0.619,0
13:12:04.435,2,11234,0.689,0
13:12:04.443,1,24907,0.473,0
13:12:04.448,0,21278,0.521,0
13:12:04.480,2,11247,1.086,0
13:12:04.480,0,21287,0.126,0
13:12:04.488,1,24919,0.397,0
13:12:04.521,2,11260,0.517,0
13:12:04.525,0,21298,0.141,0
13:12:04.529,1,24932,0.584,0
13:12:04.563,1,24945,0.321,0
13:12:04.564,2,11273,0.755,0
13:12:04.566,0,21307,0.119,0
13:12:04.595,2,11286,0.377,0
13:12:04.608,1,24958,0.226,0
13:12:04.609,0,21319,0.226,0
13:12:04.639,2,11298,0.255,0
13:12:04.640,0,21328,0.276,0
13:12:04.649,1,24970,0.311,0
13:12:04.681,2,11312,0.165,0
13:12:04.685,0,21339,0.196,0
13:12:04.691,1,24984,0.390,0
13:12:04.723,1,24997,0.220,0
13:12:04.724,2,11323,0.737,0
13:12:04.726,0,21349,0.356,0
13:12:04.755,2,11336,0.573,0
13:12:04.769,1,25011,0.598,0
13:12:04.769,0,21360,0.460,0
13:12:04.801,0,21369,0.646,0
13:12:04.801,2,11350,0.945,0
13:12:04.809,1,25025,0.254,0
13:12:04.841,2,11364,0.715,0
13:12:04.845,0,21379,0.304,0
13:12:04.851,1,25038,0.248,0
13:12:04.883,1,25050,0.237,0
13:12:04.883,2,11378,0.634,0
13:12:04.889,0,21389,0.257,0
13:12:04.915,2,11391,0.486,0
13:12:04.927,1,25064,0.203,0
13:12:04.930,0,21401,0.331,0
13:12:04.960,0,21410,0.261,0
13:12:04.960,2,11403,0.642,0
13:12:04.969,1,25075,0.159,0
13:12:05.021,2,11504,1.720,0
13:12:05.035,0,21529,1.578,0
13:12:05.036,1,25197,2.339,0
13:12:05.040,2,11514,0.857,0
13:12:05.055,0,21539,0.436,0
13:12:05.081,2,11527,0.558,0
13:12:05.086,0,21551,0.399,0
13:12:05.124,2,11541,0.572,0
13:12:05.124,1,25222,30.086,1
13:12:05.127,0,21562,0.771,0
13:12:05.127,1,25235,0.348,0
13:12:05.155,2,11556,0.544,0
13:12:05.169,1,25247,0.790,0
13:12:05.169,0,21573,0.749,0
13:12:05.200,2,11570,0.986,0
13:12:05.200,0,21582,0.922,0
13:12:05.210,1,25260,0.491,0
13:12:05.242,0,21592,0.587,0
13:12:05.242,2,11582,1.274,0
