wall_time,cam_index,frame_in,frame_out,full_ms,skipped
19:56:14.675,0,6,1,14.7778,2
19:56:14.677,2,6,1,16.5057,1
19:56:14.684,1,5,1,10.1632,3
19:56:14.689,0,7,2,3.3436,0
19:56:14.692,2,7,2,3.9886,0
19:56:14.733,1,6,2,20.5614,0
19:56:14.733,0,8,3,12.8039,0
19:56:14.734,2,8,3,2.5025,0
19:56:14.758,1,7,3,17.7170,0
19:56:14.768,0,9,4,13.6080,0
19:56:14.772,2,9,4,6.7173,0
19:56:14.803,0,10,5,17.4879,0
19:56:14.806,1,8,4,6.9717,0
19:56:14.810,2,10,5,6.7215,0
19:56:14.849,1,9,5,17.9381,0
19:56:14.850,2,11,6,3.9352,0
19:56:14.852,0,11,6,10.6525,0
19:56:14.888,1,10,6,18.2790,0
19:56:14.891,0,12,7,15.3982,0
19:56:14.891,2,12,7,2.0294,0
19:56:14.921,1,11,7,18.6165,0
19:56:14.922,0,13,8,2.9905,0
19:56:14.931,2,13,8,9.5549,0
19:56:14.961,0,14,9,16.9018,0
19:56:14.964,1,12,8,4.4034,0
19:56:14.965,2,14,9,4.4522,0
19:56:15.015,0,15,10,25.1660,0
19:56:15.016,1,13,9,23.7993,0
19:56:15.017,2,15,10,6.5369,0
19:56:15.048,1,14,10,11.8958,0
19:56:15.050,0,16,11,19.9475,0
19:56:15.052,2,16,11,3.4955,0
19:56:15.082,1,15,11,19.0157,0
19:56:15.087,0,17,12,7.2384,0
19:56:15.096,2,17,12,10.9881,0
19:56:15.122,0,18,13,17.1736,0
19:56:15.123,1,16,12,3.7862,0
19:56:15.124,2,18,13,2.6870,0
19:56:15.167,1,17,13,18.0216,0
19:56:15.169,0,19,14,13.0058,0
19:56:15.170,2,19,14,3.4839,0
19:56:15.208,0,20,15,18.6448,0
19:56:15.210,1,18,14,3.7481,0
19:56:15.212,2,20,15,3.2862,0
19:56:15.238,1,19,15,12.4980,0
19:56:15.244,0,21,16,8.1726,0
19:56:15.252,2,21,16,10.6889,0
19:56:15.285,0,22,17,21.0286,0
19:56:15.289,2,22,17,4.6494,0
19:56:15.289,1,20,16,7.9601,0
19:56:15.326,1,21,17,18.7198,0
19:56:15.327,0,23,18,2.9959,0
19:56:15.329,2,23,18,2.4318,0
19:56:15.365,1,22,18,18.2672,0
19:56:15.370,2,24,19,3.4719,0
19:56:15.370,0,24,19,5.2293,0
19:56:15.410,1,23,19,19.8497,0
19:56:15.413,0,25,20,4.2349,0
19:56:15.413,2,25,20,2.8060,0
19:56:15.438,1,24,20,13.2379,0
19:56:15.443,0,26,21,7.3452,0
19:56:15.450,2,26,21,9.9409,0
19:56:15.488,1,25,21,21.1699,0
