wall_time,cam_index,rtp_seq,depay_ms,dropped
17:41:59.901,0,11069,0.8464,0
17:41:59.905,0,11079,0.1871,0
17:41:59.910,0,11088,0.6777,0
17:41:59.915,0,11098,0.4433,0
17:41:59.944,0,11106,0.1504,0
17:41:59.988,0,11115,2.2300,0
17:42:00.018,0,11123,0.1834,0
17:42:00.059,0,11133,0.2212,0
17:42:00.105,0,11142,1.8476,0
17:42:00.146,0,11151,1.4773,0
17:42:00.189,0,11161,2.4920,0
17:42:00.220,0,11169,0.1402,0
17:42:00.274,0,11178,5.6454,0
17:42:00.304,0,11188,0.1688,0
17:42:00.347,0,11197,0.1555,0
17:42:00.378,0,11206,0.1332,0
17:42:00.423,0,11213,0.1678,0
17:42:00.464,0,11221,0.1595,0
17:42:00.507,0,11229,0.2223,0
17:42:00.540,0,11238,0.1421,0
17:42:00.584,0,11247,0.1913,0
17:42:00.626,0,11256,0.2039,0
17:42:00.666,0,11265,0.1360,0
17:42:00.725,0,11273,0.3771,0
17:42:00.829,0,11282,19.6372,0
17:42:00.843,0,11438,0.1696,0
17:42:00.845,0,11448,0.1593,0
17:42:00.899,0,11459,0.3632,0
17:42:00.909,0,11467,0.1778,0
17:42:00.939,0,11477,0.1491,0
17:42:00.991,0,11486,0.5726,0
17:42:01.025,0,11495,0.1755,0
17:42:01.067,0,11504,0.1522,0
17:42:01.101,0,11512,2.0148,0
17:42:01.144,0,11521,0.4051,0
17:42:01.184,0,11531,0.1377,0
17:42:01.228,0,11538,1.3296,0
17:42:01.259,0,11548,0.9993,0
17:42:01.303,0,11557,0.1498,0
17:42:01.345,0,11565,0.2303,0
17:42:01.386,0,11575,0.1331,0
17:42:01.419,0,11582,0.9671,0
17:42:01.466,0,11592,1.8781,0
17:42:01.505,0,11600,0.1757,0
17:42:01.551,0,11609,1.6423,0
17:42:01.579,0,11619,0.9268,0
17:42:01.624,0,11629,0.1790,0
17:42:01.666,0,11638,0.1643,0
17:42:01.709,0,11647,2.3615,0
17:42:01.873,0,11657,23.1156,0
17:42:01.890,0,11832,0.1413,0
17:42:01.892,0,11842,0.1471,0
17:42:01.894,0,11852,0.1079,0
17:42:01.907,0,11860,0.2832,0
17:42:01.940,0,11869,1.4239,0
17:42:01.986,0,11878,0.1742,0
17:42:02.030,0,11887,4.7379,0
17:42:02.067,0,11895,0.1987,0
17:42:02.100,0,11903,0.7843,0
