wall_time,cam_index,rtp_seq,depay_ms,dropped
13:58:41.304,0,19362,0.2862,0
13:58:41.307,0,19372,0.1688,0
13:58:41.314,0,19382,0.6657,0
13:58:41.358,0,19392,3.5530,0
13:58:41.396,0,19401,0.5002,0
13:58:41.437,0,19410,0.6034,0
13:58:41.482,0,19419,0.5016,0
13:58:41.510,0,19428,0.4705,0
13:58:41.558,0,19437,1.4872,0
13:58:41.599,0,19446,2.1084,0
13:58:41.638,0,19454,1.6557,0
13:58:41.682,0,19462,0.4915,0
13:58:41.711,0,19471,3.0642,0
13:58:41.769,0,19481,0.4725,0
13:58:41.798,0,19490,3.2284,0
13:58:41.840,0,19500,2.8648,0
13:58:41.886,0,19509,3.2647,0
13:58:41.912,0,19518,3.3347,0
13:58:41.959,0,19527,5.3822,0
13:58:41.999,0,19536,3.4106,0
13:58:42.039,0,19545,1.7690,0
13:58:42.084,0,19554,2.1992,0
13:58:42.115,0,19563,1.4560,0
13:58:42.159,0,19572,0.1528,0
13:58:42.330,0,19582,18.8942,0
13:58:42.345,0,19736,0.7572,0
13:58:42.347,0,19746,0.1630,0
13:58:42.350,0,19756,0.1523,0
13:58:42.358,0,19765,0.1611,0
13:58:42.391,0,19774,0.4713,0
13:58:42.433,0,19783,0.4990,0
13:58:42.478,0,19792,2.9808,0
13:58:42.558,0,19800,0.9375,0
13:58:42.560,0,19809,0.2887,0
13:58:42.594,0,19818,4.8654,0
13:58:42.641,0,19827,3.0698,0
13:58:42.684,0,19837,0.6936,0
13:58:42.721,0,19846,1.5428,0
13:58:42.754,0,19854,2.0991,0
13:58:42.799,0,19863,3.6928,0
13:58:42.836,0,19872,1.3516,0
13:58:42.880,0,19881,1.1234,0
13:58:42.911,0,19890,2.6298,0
13:58:42.954,0,19898,3.0530,0
13:58:43.004,0,19907,5.6208,0
13:58:43.044,0,19916,0.3420,0
13:58:43.083,0,19924,2.1909,0
13:58:43.110,0,19935,1.8404,0
13:58:43.152,0,19943,1.8052,0
13:58:43.267,0,19951,42.0507,0
13:58:43.280,0,20083,0.1768,0
13:58:43.283,0,20094,0.1596,0
13:58:43.318,0,20105,0.7504,0
13:58:43.361,0,20116,0.5095,0
13:58:43.394,0,20125,4.1309,0
13:58:43.436,0,20135,3.0999,0
13:58:43.479,0,20144,1.7478,0
13:58:43.519,0,20153,2.7160,0
13:58:43.558,0,20163,0.7238,0
13:58:43.591,0,20172,0.5865,0
13:58:43.633,0,20183,0.4874,0
13:58:43.675,0,20191,0.5162,0
13:58:43.721,0,20200,4.0480,0
13:58:43.761,0,20209,4.0204,0
13:58:43.790,0,20217,3.1340,0
13:58:43.834,0,20225,1.3821,0
13:58:43.876,0,20234,2.0426,0
13:58:43.918,0,20242,2.4671,0
13:58:43.959,0,20252,1.6222,0
13:58:43.989,0,20262,1.5037,0
13:58:44.034,0,20270,1.6296,0
13:58:44.081,0,20278,3.3552,0
13:58:44.119,0,20287,2.7652,0
13:58:44.159,0,20296,2.7162,0
13:58:44.328,0,20307,42.1780,0
13:58:44.339,0,20423,0.3166,0
13:58:44.342,0,20434,0.1345,0
13:58:44.344,0,20443,0.1499,0
13:58:44.357,0,20454,0.5806,0
13:58:44.399,0,20465,1.6568,0
13:58:44.442,0,20475,0.6956,0
13:58:44.472,0,20485,0.5774,0
13:58:44.516,0,20495,3.2933,0
13:58:44.556,0,20505,1.7431,0
13:58:44.598,0,20513,2.9991,0
13:58:44.645,0,20524,1.9795,0
13:58:44.670,0,20535,2.9463,0
13:58:44.716,0,20544,2.4120,0
13:58:44.756,0,20554,1.7507,0
13:58:44.803,0,20563,3.3436,0
13:58:44.833,0,20574,4.9674,0
13:58:44.878,0,20584,4.7979,0
13:58:44.916,0,20595,1.7347,0
13:58:44.960,0,20605,0.2003,0
13:58:44.991,0,20615,2.9751,0
13:58:45.038,0,20626,5.4741,0
13:58:45.077,0,20636,0.1764,0
