wall_time,cam_index,full_ms,skipped
17:06:02.460,2,37.8885,4
17:06:02.463,1,20.1615,1
17:06:02.469,1,0.1159,0
17:06:02.471,2,0.0738,0
17:06:02.474,0,13.9981,0
17:06:02.493,1,0.1017,0
17:06:02.494,0,0.0548,0
17:06:02.521,2,0.0453,0
17:06:02.526,1,0.0819,0
17:06:02.552,2,0.0804,0
17:06:02.554,0,36.9653,0
17:06:02.592,0,0.0839,1
17:06:02.617,1,0.0579,1
17:06:02.669,2,61.3965,0
17:06:02.697,0,45.9360,0
17:06:02.725,2,55.7039,0
17:06:02.732,1,59.1641,0
17:06:02.746,0,48.1063,0
17:06:02.746,2,18.2657,0
17:06:02.771,1,38.8964,0
17:06:02.793,2,46.8906,0
17:06:02.801,0,55.2334,0
17:06:02.816,2,22.2746,0
17:06:02.826,1,54.5822,0
17:06:02.857,0,56.2472,0
17:06:02.874,1,48.0396,0
17:06:02.915,0,0.0804,1
17:06:02.942,1,0.0662,1
17:06:02.986,0,41.5805,0
17:06:03.008,1,36.0447,0
17:06:03.026,0,39.7090,0
17:06:03.046,2,0.1687,1
17:06:03.075,2,14.4443,0
17:06:03.109,2,34.0725,0
17:06:03.156,2,46.6837,0
17:06:03.205,2,49.5465,0
17:06:03.217,1,208.4614,0
17:06:03.221,1,4.0232,0
17:06:03.229,0,0.1405,1
17:06:03.253,1,32.0289,0
17:06:03.266,0,32.6812,0
17:06:03.274,2,68.2595,0
17:06:03.293,1,39.7276,0
17:06:03.309,0,42.0284,0
17:06:03.324,2,50.4872,0
17:06:03.342,1,48.8453,0
17:06:03.348,0,39.2299,0
17:06:03.351,2,26.1804,0
17:06:03.378,1,35.6737,0
17:06:03.400,0,51.9099,0
17:06:03.409,2,58.5978,0
17:06:03.430,1,0.1186,1
17:06:03.453,0,53.0425,0
17:06:03.459,2,46.6378,0
17:06:03.490,1,0.1070,0
17:06:03.508,2,49.0491,0
17:06:03.512,0,58.3459,0
17:06:03.541,2,32.7740,0
17:06:03.553,1,0.0758,0
17:06:03.555,0,43.1545,0
17:06:03.573,2,32.5264,0
17:06:03.591,0,36.3632,0
17:06:03.623,1,48.9522,0
17:06:03.623,2,49.2787,0
17:06:03.641,0,49.7206,0
17:06:03.663,1,39.9336,0
17:06:03.674,0,32.6956,0
17:06:03.699,1,36.3884,0
17:06:03.712,0,0.2023,1
17:06:03.762,1,62.8435,0
17:06:03.808,1,45.7646,0
17:06:03.828,0,0.0816,1
17:06:03.859,2,236.3519,0
17:06:03.884,2,24.1050,0
17:06:03.909,2,25.4456,0
17:06:03.955,2,0.0676,1
17:06:03.991,2,0.0506,0
17:06:04.036,1,227.4640,0
17:06:04.051,1,15.4109,0
17:06:04.071,0,16.9278,0
17:06:04.073,1,0.0634,1
17:06:04.074,2,39.9623,0
17:06:04.109,0,0.0949,1
17:06:04.120,2,45.8162,0
17:06:04.151,1,39.2022,0
17:06:04.163,2,43.4873,0
17:06:04.182,0,0.1268,1
17:06:04.185,1,33.9480,0
17:06:04.218,0,0.0666,0
17:06:04.219,2,0.5916,1
17:06:04.220,1,34.7464,0
17:06:04.241,0,0.1533,0
17:06:04.279,1,0.0568,1
17:06:04.307,2,47.0095,0
17:06:04.329,1,0.1200,0
17:06:04.341,0,48.0435,0
17:06:04.342,2,34.8269,0
17:06:04.365,1,0.0667,0
17:06:04.386,0,44.8794,0
17:06:04.390,2,0.0752,1
17:06:04.413,1,0.0784,0
17:06:04.435,0,0.2586,1
17:06:04.507,1,0.0964,1
17:06:04.523,0,41.3742,0
17:06:04.573,0,49.6296,0
17:06:04.587,1,44.1004,0
17:06:04.619,0,45.5460,0
17:06:04.655,2,221.3263,0
17:06:04.682,2,27.2368,0
17:06:04.726,2,43.8779,0
17:06:04.772,2,45.8055,0
17:06:04.798,2,25.6987,0
17:06:04.814,1,227.2296,0
17:06:04.827,0,207.6563,0
17:06:04.836,2,0.0457,1
17:06:04.841,1,26.2498,0
17:06:04.846,0,0.0461,1
17:06:04.868,1,0.0774,1
17:06:04.877,0,0.0633,0
17:06:04.887,2,0.1318,0
17:06:04.934,2,1.8647,0
17:06:04.957,1,45.3235,0
17:06:04.957,0,0.0944,1
17:06:04.998,1,0.3760,1
17:06:05.048,2,50.7625,0
17:06:05.053,0,0.2314,1
17:06:05.083,2,34.8362,0
17:06:05.088,1,33.6454,0
17:06:05.113,2,28.8870,0
17:06:05.138,1,49.7978,0
17:06:05.150,0,0.0535,1
17:06:05.166,2,0.0499,1
17:06:05.176,1,38.1759,0
17:06:05.191,0,0.0539,0
17:06:05.218,2,0.0765,0
17:06:05.221,1,44.4453,0
17:06:05.279,1,55.9609,0
17:06:05.289,0,46.6920,0
17:06:05.326,1,46.9053,0
17:06:05.335,0,45.9779,0
17:06:05.368,1,0.1093,1
17:06:05.375,0,39.3005,0
17:06:05.413,0,38.7523,0
17:06:05.416,1,0.1158,0
17:06:05.443,2,179.5665,0
17:06:05.480,2,0.1224,1
17:06:05.552,2,39.7620,0
17:06:05.598,2,45.8786,0
17:06:05.633,2,35.8111,0
17:06:05.647,0,233.2078,0
17:06:05.657,1,20.7707,0
17:06:05.672,0,0.0750,1
17:06:05.677,2,0.0877,1
17:06:05.689,1,0.0981,1
17:06:05.701,0,0.0727,0
17:06:05.763,1,47.2443,0
17:06:05.764,2,33.7600,0
17:06:05.773,0,0.1880,1
17:06:05.792,1,0.1834,1
17:06:05.813,2,49.0878,0
17:06:05.836,2,0.0797,1
17:06:05.852,0,41.6184,0
17:06:05.869,1,0.1127,1
17:06:05.888,0,36.6229,0
