wall_time,cam_index,full_ms,skipped
11:41:43.555,0,10.3085,32
11:41:43.557,2,14.4189,5
11:41:43.559,1,15.1122,1
11:41:43.581,1,13.9973,0
11:41:43.584,0,6.4688,0
11:41:43.597,2,2.5743,0
11:41:43.611,1,17.1470,7
11:41:43.616,0,7.5105,5
11:41:43.644,1,15.2064,3
11:41:43.645,2,15.4993,6
11:41:43.726,2,2.3899,7
11:41:43.726,0,83.4760,5
11:41:43.726,1,2.9595,3
11:41:43.730,0,0.5585,4
11:41:43.750,0,2.3138,7
11:41:43.765,1,16.8503,5
11:41:43.765,2,3.1362,6
11:41:43.831,1,7.8187,5
11:41:43.837,2,18.9462,7
11:41:43.949,2,2.6812,4
11:41:43.949,1,3.0594,4
11:41:43.953,2,2.6231,5
11:41:43.954,1,2.8582,4
11:41:43.956,0,5.5934,27
11:41:43.957,1,2.8390,0
11:41:43.962,0,4.9775,2
11:41:43.964,0,2.1065,3
11:41:43.993,0,17.8244,3
11:41:43.995,2,6.3183,3
11:41:44.030,1,2.6351,8
11:41:44.046,2,4.0815,8
11:41:44.046,0,3.5335,9
11:41:44.106,2,2.2759,3
11:41:44.106,0,2.0801,6
11:41:44.108,1,3.8900,5
11:41:44.120,0,1.8904,3
11:41:44.252,2,3.4179,4
11:41:44.252,1,0.0800,7
11:41:44.253,0,3.5704,6
11:41:44.256,1,2.4736,2
11:41:44.259,0,3.7768,7
11:41:44.262,0,2.7506,1
11:41:44.266,0,2.9634,3
11:41:44.359,0,2.5656,4
11:41:44.362,0,2.9468,1
11:41:44.401,0,3.2001,7
11:41:44.433,2,7.2282,23
11:41:44.436,0,8.1136,6
11:41:44.439,2,1.5480,2
11:41:44.463,1,4.8519,25
11:41:44.587,1,1.4284,0
11:41:44.588,2,2.7619,5
11:41:44.591,1,3.0980,1
11:41:44.596,2,3.1049,1
11:41:44.597,1,3.6052,4
11:41:44.600,2,2.8530,4
11:41:44.624,1,4.0901,5
11:41:44.626,0,7.8021,22
11:41:44.629,0,2.7560,1
11:41:44.641,2,3.1628,6
11:41:44.659,0,15.4941,4
11:41:44.661,1,17.6686,4
11:41:44.682,0,12.2054,5
11:41:44.683,2,4.8591,7
11:41:44.740,1,45.3126,6
11:41:44.741,0,3.4873,3
11:41:44.741,2,3.6469,6
11:41:44.755,0,2.9069,5
