frame.time_epoch,rtp.seq,rtp.timestamp
1771851191.813976601,12832,690532723
1771851191.814034619,12833,690532723
1771851191.814043380,12834,690532723
1771851191.814052937,12835,690532723
1771851191.814067686,12836,690532723
1771851191.814073547,12837,690532723
1771851191.814079449,12838,690532723
1771851191.814092802,12839,690532723
1771851191.814098184,12840,690532723
1771851191.814104070,12841,690532723
1771851191.814121561,12842,690532723
1771851191.814127917,12843,690532723
1771851191.814132726,12844,690532723
1771851191.814146627,12845,690532723
1771851191.814150586,12846,690532723
1771851191.814155511,12847,690532723
1771851191.814160041,12848,690532723
1771851191.814174424,12849,690532723
1771851191.814179594,12850,690532723
1771851191.814184604,12851,690532723
1771851191.814194611,12852,690532723
1771851191.814199522,12853,690532723
1771851191.814214555,12854,690532723
1771851191.814219663,12855,690532723
1771851191.814224106,12856,690532723
1771851191.814229498,12857,690532723
1771851191.814233811,12858,690532723
1771851191.814247623,12859,690532723
1771851191.814253378,12860,690532723
1771851191.814258300,12861,690532723
1771851191.814262769,12862,690532723
1771851191.843400805,12863,690560445
1771851191.843431810,12864,690560445
1771851191.843440343,12865,690560445
1771851191.843447935,12866,690560445
1771851191.843461379,12867,690560445
1771851191.843466680,12868,690560445
1771851191.843477549,12869,690560445
1771851191.843482589,12870,690560445
1771851191.843493082,12871,690560445
1771851191.843498478,12872,690560445
1771851191.843508025,12873,690560445
1771851191.879524293,12874,690563679
1771851191.879642125,12875,690563679
1771851191.879659453,12876,690563679
1771851191.879697329,12877,690563679
1771851191.879711834,12878,690563679
1771851191.879748167,12879,690563679
1771851191.879762072,12880,690563679
1771851191.879803259,12881,690563679
1771851191.879818555,12882,690563679
1771851191.879832013,12883,690563679
1771851191.879872554,12884,690563679
1771851191.879886720,12885,690563679
1771851191.879899650,12886,690563679
1771851191.879924951,12887,690563679
1771851191.879931074,12888,690563679
1771851191.879937238,12889,690563679
1771851191.879951298,12890,690563679
1771851191.879957522,12891,690563679
1771851191.879963190,12892,690563679
1771851191.910273879,12893,690566582
1771851191.910306711,12894,690566582
1771851191.910312632,12895,690566582
1771851191.910323393,12896,690566582
1771851191.910328952,12897,690566582
1771851191.910340060,12898,690566582
1771851191.910344997,12899,690566582
1771851191.910356978,12900,690566582
1771851191.910361640,12901,690566582
1771851191.910366672,12902,690566582
1771851191.910378446,12903,690566582
1771851191.910383159,12904,690566582
1771851191.910387616,12905,690566582
1771851191.910399599,12906,690566582
1771851191.910404451,12907,690566582
1771851191.910409295,12908,690566582
1771851191.910421141,12909,690566582
1771851191.910425779,12910,690566582
