12832,1771851191.813976601,1771851191.838925932,24.9493
12833,1771851191.814034619,1771851191.838926863,24.8921
12834,1771851191.814043380,1771851191.838926970,24.8837
12835,1771851191.814052937,1771851191.838927068,24.8742
12836,1771851191.814067686,1771851191.838927167,24.8597
12837,1771851191.814073547,1771851191.838927267,24.8537
12838,1771851191.814079449,1771851191.838927367,24.8477
12839,1771851191.814092802,1771851191.838927465,24.8346
12840,1771851191.814098184,1771851191.839079013,24.9808
12841,1771851191.814104070,1771851191.839079169,24.9751
12842,1771851191.814121561,1771851191.839079285,24.9579
12843,1771851191.814127917,1771851191.839079388,24.9515
12844,1771851191.814132726,1771851191.839079486,24.9467
12845,1771851191.814146627,1771851191.839079587,24.9331
12846,1771851191.814150586,1771851191.839079716,24.929
12847,1771851191.814155511,1771851191.839079813,24.9243
12848,1771851191.814160041,1771851191.839169868,25.0099
12849,1771851191.814174424,1771851191.839169964,24.9956
12850,1771851191.814179594,1771851191.839170054,24.9903
12851,1771851191.814184604,1771851191.839170140,24.9856
12852,1771851191.814194611,1771851191.839170225,24.9755
12853,1771851191.814199522,1771851191.839170312,24.9708
12854,1771851191.814214555,1771851191.839170399,24.956
12855,1771851191.814219663,1771851191.839170485,24.9507
12856,1771851191.814224106,1771851191.839225285,25.0013
12857,1771851191.814229498,1771851191.839225884,24.9963
12858,1771851191.814233811,1771851191.839225998,24.9922
12859,1771851191.814247623,1771851191.839226088,24.9784
12860,1771851191.814253378,1771851191.839292704,25.0394
12861,1771851191.814258300,1771851191.839292821,25.0344
12862,1771851191.814262769,1771851191.839292919,25.0301
12863,1771851191.843400805,1771851191.839293005,-4.10771
12864,1771851191.843431810,1771851191.839293090,-4.13871
12865,1771851191.843440343,1771851191.839293178,-4.14705
12866,1771851191.843447935,1771851191.839293267,-4.15468
12867,1771851191.843461379,1771851191.839293353,-4.16803
12868,1771851191.843466680,1771851191.839378531,-4.08816
12869,1771851191.843477549,1771851191.839379046,-4.09842
12870,1771851191.843482589,1771851191.839379161,-4.10342
12871,1771851191.843493082,1771851191.839379291,-4.11367
12872,1771851191.843498478,1771851191.839379421,-4.11916
12873,1771851191.843508025,1771851191.839379510,-4.12846
12874,1771851191.879524293,1771851191.855038771,-24.4853
12875,1771851191.879642125,1771851191.855039544,-24.6024
