frame.time_epoch,rtp.seq,rtp.timestamp
1771851191.838925932,12832,690532723
1771851191.838926863,12833,690532723
1771851191.838926970,12834,690532723
1771851191.838927068,12835,690532723
1771851191.838927167,12836,690532723
1771851191.838927267,12837,690532723
1771851191.838927367,12838,690532723
1771851191.838927465,12839,690532723
1771851191.839079013,12840,690532723
1771851191.839079169,12841,690532723
1771851191.839079285,12842,690532723
1771851191.839079388,12843,690532723
1771851191.839079486,12844,690532723
1771851191.839079587,12845,690532723
1771851191.839079716,12846,690532723
1771851191.839079813,12847,690532723
1771851191.839169868,12848,690532723
1771851191.839169964,12849,690532723
1771851191.839170054,12850,690532723
1771851191.839170140,12851,690532723
1771851191.839170225,12852,690532723
1771851191.839170312,12853,690532723
1771851191.839170399,12854,690532723
1771851191.839170485,12855,690532723
1771851191.839225285,12856,690532723
1771851191.839225884,12857,690532723
1771851191.839225998,12858,690532723
1771851191.839226088,12859,690532723
1771851191.839292704,12860,690532723
1771851191.839292821,12861,690532723
1771851191.839292919,12862,690532723
1771851191.839293005,12863,690560445
1771851191.839293090,12864,690560445
1771851191.839293178,12865,690560445
1771851191.839293267,12866,690560445
1771851191.839293353,12867,690560445
1771851191.839378531,12868,690560445
1771851191.839379046,12869,690560445
1771851191.839379161,12870,690560445
1771851191.839379291,12871,690560445
1771851191.839379421,12872,690560445
1771851191.839379510,12873,690560445
1771851191.855038771,12874,690563679
1771851191.855039544,12875,690563679
1771851191.855740192,12876,690563679
1771851191.855740484,12877,690563679
1771851191.855740551,12878,690563679
1771851191.855740610,12879,690563679
1771851191.855740668,12880,690563679
1771851191.855740725,12881,690563679
1771851191.855740782,12882,690563679
1771851191.855740842,12883,690563679
1771851191.857997122,12884,690563679
1771851191.857997405,12885,690563679
1771851191.857997474,12886,690563679
1771851191.857997531,12887,690563679
1771851191.857997589,12888,690563679
1771851191.857997648,12889,690563679
1771851191.857997706,12890,690563679
1771851191.857997762,12891,690563679
1771851191.858038484,12892,690563679
1771851191.890075411,12893,690566582
1771851191.890076040,12894,690566582
1771851191.890076097,12895,690566582
1771851191.890076150,12896,690566582
1771851191.890076204,12897,690566582
1771851191.890076258,12898,690566582
1771851191.890076310,12899,690566582
1771851191.890076363,12900,690566582
1771851191.890164866,12901,690566582
1771851191.890165014,12902,690566582
1771851191.890165074,12903,690566582
1771851191.890165128,12904,690566582
1771851191.890165180,12905,690566582
1771851191.890165234,12906,690566582
1771851191.890165301,12907,690566582
1771851191.890165355,12908,690566582
1771851191.890195291,12909,690566582
1771851191.890195604,12910,690566582
1771851191.890195659,12911,690566582
1771851191.929399932,12912,690569438
1771851191.929400440,12913,690569438
1771851191.929400489,12914,690569438
1771851191.929400540,12915,690569438
1771851191.929400589,12916,690569438
1771851191.929400639,12917,690569438
1771851191.929400688,12918,690569438
1771851191.929400736,12919,690569438
1771851191.929478845,12920,690569438
1771851191.929478917,12921,690569438
1771851191.929478965,12922,690569438
1771851191.929479014,12923,690569438
1771851191.929479063,12924,690569438
1771851191.929479114,12925,690569438
1771851191.929479163,12926,690569438
1771851191.929479212,12927,690569438
1771851191.929532738,12928,690569438
1771851191.957917647,12929,690572682
1771851191.957918146,12930,690572682
1771851191.957918192,12931,690572682
1771851191.957918239,12932,690572682
1771851191.957918285,12933,690572682
1771851191.957918331,12934,690572682
1771851191.957918377,12935,690572682
1771851191.957918423,12936,690572682
1771851191.957996879,12937,690572682
1771851191.957996981,12938,690572682
1771851191.957997027,12939,690572682
1771851191.957997075,12940,690572682
1771851191.957997119,12941,690572682
1771851191.957997165,12942,690572682
1771851191.957997212,12943,690572682
1771851191.957997258,12944,690572682
1771851191.958024000,12945,690572682
1771851191.958024280,12946,690572682
1771851191.958024327,12947,690572682
1771851191.988863660,12948,690575582
1771851191.988864341,12949,690575582
1771851191.988864390,12950,690575582
1771851191.988864440,12951,690575582
1771851191.988864490,12952,690575582
1771851191.988864540,12953,690575582
1771851191.988864589,12954,690575582
1771851191.988864639,12955,690575582
1771851191.988942312,12956,690575582
1771851191.988942604,12957,690575582
1771851191.988942653,12958,690575582
1771851191.988942703,12959,690575582
1771851191.988942752,12960,690575582
1771851191.988942801,12961,690575582
1771851191.988942850,12962,690575582
1771851191.993353181,12963,690575582
1771851191.993353978,12964,690575582
1771851192.019811524,12965,690578437
1771851192.019816153,12966,690578437
1771851192.019816198,12967,690578437
1771851192.019816244,12968,690578437
1771851192.019816291,12969,690578437
1771851192.019816337,12970,690578437
1771851192.019816383,12971,690578437
1771851192.019816429,12972,690578437
1771851192.019917520,12973,690578437
1771851192.019917644,12974,690578437
1771851192.019917704,12975,690578437
1771851192.019917751,12976,690578437
1771851192.019917796,12977,690578437
1771851192.019917843,12978,690578437
1771851192.019917889,12979,690578437
1771851192.019917937,12980,690578437
1771851192.019982887,12981,690578437
1771851192.019983053,12982,690578437
1771851192.019983099,12983,690578437
1771851192.061783799,12984,690581682
1771851192.061784753,12985,690581682
1771851192.061784827,12986,690581682
1771851192.061784897,12987,690581682
1771851192.061784967,12988,690581682
1771851192.061785034,12989,690581682
1771851192.061785105,12990,690581682
1771851192.061785172,12991,690581682
1771851192.061895292,12992,690581682
1771851192.061895393,12993,690581682
1771851192.061895462,12994,690581682
1771851192.061895532,12995,690581682
1771851192.061895601,12996,690581682
1771851192.061895671,12997,690581682
1771851192.061895741,12998,690581682
1771851192.061895809,12999,690581682
1771851192.061930559,13000,690581682
1771851192.061931002,13001,690581682
1771851192.088407950,13002,690584580
1771851192.088408967,13003,690584580
1771851192.088409026,13004,690584580
1771851192.088409078,13005,690584580
1771851192.088409132,13006,690584580
1771851192.088409186,13007,690584580
1771851192.088409238,13008,690584580
1771851192.088409292,13009,690584580
1771851192.088491345,13010,690584580
1771851192.088491677,13011,690584580
1771851192.088491741,13012,690584580
1771851192.088491795,13013,690584580
1771851192.088491850,13014,690584580
1771851192.088491903,13015,690584580
1771851192.125861429,13016,690587437
1771851192.125862474,13017,690587437
1771851192.125862588,13018,690587437
1771851192.125862705,13019,690587437
1771851192.125862823,13020,690587437
1771851192.125862938,13021,690587437
1771851192.125863050,13022,690587437
1771851192.125863167,13023,690587437
1771851192.126014974,13024,690587437
