Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/24/2026 	_x86_64_	(16 CPU)

10:54:40 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:54:41 AM     all     10.18      0.00      2.47      0.00      0.00      0.00      0.70      0.00      0.00     86.65
10:54:42 AM     all     11.32      0.00      1.40      0.00      0.00      0.00      0.45      0.00      0.00     86.83
10:54:43 AM     all     11.06      0.00      1.45      0.00      0.00      0.00      0.63      0.00      0.00     86.85
10:54:44 AM     all     10.52      0.00      1.39      0.06      0.00      0.00      0.44      0.00      0.00     87.59
10:54:45 AM     all     10.61      0.00      1.01      0.00      0.00      0.00      0.51      0.00      0.00     87.87
10:54:46 AM     all      9.16      0.00      1.02      0.00      0.00      0.00      0.38      0.00      0.00     89.44
10:54:47 AM     all     10.55      0.00      1.19      0.00      0.00      0.00      0.63      0.00      0.00     87.63
10:54:48 AM     all     10.14      0.00      1.14      0.00      0.00      0.00      0.57      0.00      0.00     88.15
10:54:49 AM     all     10.64      0.00      1.20      0.00      0.00      0.00      0.57      0.00      0.00     87.59
10:54:50 AM     all     10.77      0.00      1.33      0.13      0.00      0.00      0.38      0.00      0.00     87.40
10:54:51 AM     all     10.16      0.00      0.83      0.00      0.00      0.00      0.57      0.00      0.00     88.44
10:54:52 AM     all     10.09      0.00      1.32      0.00      0.00      0.00      0.44      0.00      0.00     88.15
10:54:53 AM     all     10.42      0.00      1.33      0.00      0.00      0.00      0.57      0.00      0.00     87.69
10:54:54 AM     all      9.87      0.00      1.21      0.00      0.00      0.00      0.51      0.00      0.00     88.41
10:54:55 AM     all     11.50      0.00      1.33      0.13      0.00      0.00      0.38      0.00      0.00     86.66
10:54:56 AM     all     10.23      0.00      1.14      0.00      0.00      0.00      0.57      0.00      0.00     88.06
10:54:57 AM     all     10.31      0.00      1.08      0.00      0.00      0.00      0.51      0.00      0.00     88.11
10:54:58 AM     all     10.28      0.00      1.33      0.00      0.00      0.00      0.38      0.00      0.00     88.01
10:54:59 AM     all     11.07      0.00      1.52      0.00      0.00      0.00      0.63      0.00      0.00     86.78
10:55:00 AM     all     10.25      0.00      1.40      0.13      0.00      0.00      0.38      0.00      0.00     87.84
10:55:01 AM     all     10.20      0.00      1.27      0.00      0.00      0.00      0.44      0.00      0.00     88.09
10:55:02 AM     all      9.09      0.00      1.21      0.06      0.00      0.00      0.51      0.00      0.00     89.13
