Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/15/2026 	_x86_64_	(16 CPU)

06:51:37 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:51:38 PM     0     75856   72.00   10.00    0.00    0.00   82.00     4  python3
06:51:39 PM     0     75856   63.00    8.00    0.00    0.00   71.00     4  python3
06:51:40 PM     0     75856   71.00    8.00    0.00    0.00   79.00     4  python3
06:51:41 PM     0     75856   68.00    4.00    0.00    0.00   72.00     4  python3
06:51:42 PM     0     75856   71.00    7.00    0.00    0.00   78.00     4  python3
06:51:43 PM     0     75856   64.00    6.00    0.00    0.00   70.00     4  python3
06:51:44 PM     0     75856   67.00    8.00    0.00    0.00   75.00     4  python3
06:51:45 PM     0     75856   62.00    6.00    0.00    0.00   68.00     4  python3
06:51:46 PM     0     75856   70.00    7.00    0.00    0.00   77.00     4  python3
06:51:47 PM     0     75856   64.00    7.00    0.00    0.00   71.00     4  python3
06:51:48 PM     0     75856   73.00    5.00    0.00    0.00   78.00     4  python3
06:51:49 PM     0     75856   67.00    7.00    0.00    0.00   74.00     4  python3
06:51:50 PM     0     75856   76.00    5.00    0.00    0.00   81.00     4  python3
06:51:51 PM     0     75856   71.00    7.00    0.00    0.00   78.00     4  python3
06:51:52 PM     0     75856   73.00    6.00    0.00    0.00   79.00     4  python3
06:51:53 PM     0     75856   71.00    5.00    0.00    0.00   76.00     4  python3
06:51:54 PM     0     75856   70.00    9.00    0.00    0.00   79.00     4  python3
06:51:55 PM     0     75856   67.00    6.00    0.00    0.00   73.00     4  python3
06:51:56 PM     0     75856   70.00    9.00    0.00    0.00   79.00     4  python3
06:51:57 PM     0     75856   69.00    4.00    0.00    0.00   73.00     4  python3
06:51:58 PM     0     75856   70.00    6.00    0.00    0.00   76.00     4  python3
06:51:59 PM     0     75856   70.00    4.00    0.00    0.00   74.00     4  python3
06:52:00 PM     0     75856   74.00    7.00    0.00    0.00   81.00     4  python3
06:52:01 PM     0     75856   66.00    6.00    0.00    0.00   72.00     4  python3
06:52:02 PM     0     75856   74.00    7.00    0.00    0.00   81.00     4  python3
06:52:03 PM     0     75856   66.00    5.00    0.00    0.00   71.00     4  python3
06:52:04 PM     0     75856   70.00    9.00    0.00    0.00   79.00     4  python3
06:52:05 PM     0     75856   65.00    6.00    0.00    0.00   71.00     4  python3
06:52:06 PM     0     75856   74.00    8.00    0.00    0.00   82.00     4  python3
06:52:07 PM     0     75856   67.00    6.00    0.00    0.00   73.00     4  python3
06:52:08 PM     0     75856   73.00    9.00    0.00    0.00   82.00     4  python3
06:52:09 PM     0     75856   66.00    5.00    0.00    0.00   71.00     4  python3
06:52:10 PM     0     75856   72.00    8.00    0.00    0.00   80.00     4  python3
06:52:11 PM     0     75856   66.00    7.00    0.00    0.00   73.00     4  python3
06:52:12 PM     0     75856   73.00    7.00    0.00    0.00   80.00     4  python3
06:52:13 PM     0     75856   71.00    4.00    0.00    0.00   75.00     4  python3
06:52:14 PM     0     75856   76.00    6.00    0.00    0.00   82.00     4  python3
06:52:15 PM     0     75856   73.00    7.00    0.00    0.00   80.00     4  python3
06:52:16 PM     0     75856   77.00    9.00    0.00    0.00   86.00     4  python3
06:52:17 PM     0     75856   76.00    6.00    0.00    0.00   82.00     4  python3
06:52:18 PM     0     75856   73.00    6.00    0.00    0.00   79.00     4  python3
06:52:19 PM     0     75856   70.00    6.00    0.00    0.00   76.00     4  python3
06:52:20 PM     0     75856   70.00    7.00    0.00    0.00   77.00     4  python3
06:52:21 PM     0     75856   71.00    5.00    0.00    0.00   76.00     4  python3
06:52:22 PM     0     75856   73.00    5.00    0.00    0.00   78.00     4  python3
06:52:23 PM     0     75856   69.00    6.00    0.00    0.00   75.00     4  python3
06:52:24 PM     0     75856   74.00    6.00    0.00    0.00   80.00     4  python3
06:52:25 PM     0     75856   68.00    5.00    0.00    0.00   73.00     4  python3
06:52:26 PM     0     75856   72.00    7.00    0.00    0.00   79.00     4  python3
06:52:27 PM     0     75856   70.00    7.00    0.00    0.00   77.00     4  python3
06:52:28 PM     0     75856   76.00    7.00    0.00    0.00   83.00     4  python3
06:52:29 PM     0     75856   69.00    6.00    0.00    0.00   75.00     4  python3
06:52:30 PM     0     75856   74.00    8.00    0.00    0.00   82.00     4  python3
06:52:31 PM     0     75856   64.00    8.00    0.00    0.00   72.00     4  python3
06:52:32 PM     0     75856   73.00    8.00    0.00    0.00   81.00     4  python3
06:52:33 PM     0     75856   66.00    6.00    0.00    0.00   72.00     4  python3
06:52:34 PM     0     75856   72.00    9.00    0.00    0.00   81.00     4  python3
06:52:35 PM     0     75856   68.00    4.00    0.00    0.00   72.00     4  python3
06:52:36 PM     0     75856   69.00   10.00    0.00    0.00   79.00     4  python3
06:52:37 PM     0     75856   63.00    5.00    0.00    0.00   68.00     4  python3
06:52:38 PM     0     75856   69.00    5.00    0.00    0.00   74.00     4  python3
06:52:39 PM     0     75856   61.00    7.00    0.00    0.00   68.00     4  python3
06:52:40 PM     0     75856   71.00    7.00    0.00    0.00   78.00     4  python3
06:52:41 PM     0     75856   63.00    5.00    0.00    0.00   68.00     4  python3
06:52:42 PM     0     75856   70.00    6.00    0.00    0.00   76.00     4  python3
06:52:43 PM     0     75856   63.00    6.00    0.00    0.00   69.00     4  python3
06:52:44 PM     0     75856   70.00    5.00    0.00    0.00   75.00     4  python3
06:52:45 PM     0     75856   64.00    6.00    0.00    0.00   70.00     4  python3
06:52:46 PM     0     75856   72.00    4.00    0.00    0.00   76.00     4  python3
06:52:47 PM     0     75856   69.00    7.00    0.00    0.00   76.00     4  python3
06:52:48 PM     0     75856   76.00    5.00    0.00    0.00   81.00     4  python3
06:52:49 PM     0     75856   66.00    6.00    0.00    0.00   72.00     4  python3
06:52:50 PM     0     75856   70.30    6.93    0.00    0.00   77.23     4  python3
06:52:51 PM     0     75856   70.00    6.00    0.00    0.00   76.00     4  python3
06:52:52 PM     0     75856   73.00    6.00    0.00    0.00   79.00     4  python3
06:52:53 PM     0     75856   64.00    8.00    0.00    0.00   72.00     4  python3
06:52:54 PM     0     75856   72.00    9.00    0.00    0.00   81.00     4  python3
06:52:55 PM     0     75856   65.00    6.00    0.00    0.00   71.00     4  python3
06:52:56 PM     0     75856   72.00    8.00    0.00    0.00   80.00     4  python3
06:52:57 PM     0     75856   65.00    6.00    0.00    0.00   71.00     4  python3
06:52:58 PM     0     75856   73.00    9.00    0.00    0.00   82.00     4  python3
06:52:59 PM     0     75856   66.00    7.00    0.00    0.00   73.00     4  python3
06:53:00 PM     0     75856   77.00    5.00    0.00    0.00   82.00     4  python3
