Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/14/2026 	_x86_64_	(16 CPU)

01:52:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:52:25 PM     0     59778   64.00   13.00    0.00    0.00   77.00     6  python3
01:52:26 PM     0     59778   62.00    8.00    0.00    0.00   70.00     6  python3
01:52:27 PM     0     59778   67.33    7.92    0.00    0.00   75.25     6  python3
01:52:28 PM     0     59778   66.00    6.00    0.00    0.00   72.00     6  python3
01:52:29 PM     0     59778   71.00    6.00    0.00    0.00   77.00     6  python3
01:52:30 PM     0     59778   67.00    7.00    0.00    0.00   74.00     6  python3
01:52:31 PM     0     59778   73.00    6.00    0.00    0.00   79.00     6  python3
01:52:32 PM     0     59778   66.00    6.00    0.00    0.00   72.00     6  python3
01:52:33 PM     0     59778   71.00    7.00    0.00    0.00   78.00     6  python3
01:52:34 PM     0     59778   69.00    6.00    0.00    0.00   75.00     6  python3
01:52:35 PM     0     59778   70.00    6.00    0.00    0.00   76.00     6  python3
01:52:36 PM     0     59778   64.00    6.00    0.00    0.00   70.00     6  python3
01:52:37 PM     0     59778   70.00    7.00    0.00    0.00   77.00     6  python3
01:52:38 PM     0     59778   63.00    9.00    0.00    0.00   72.00     6  python3
01:52:39 PM     0     59778   71.00    7.00    0.00    0.00   78.00     6  python3
01:52:40 PM     0     59778   62.00    7.00    0.00    0.00   69.00     6  python3
01:52:41 PM     0     59778   69.00    6.00    0.00    0.00   75.00     6  python3
01:52:42 PM     0     59778   66.00    6.00    0.00    0.00   72.00     6  python3
01:52:43 PM     0     59778   69.00    6.00    0.00    0.00   75.00     6  python3
01:52:44 PM     0     59778   66.00    7.00    0.00    0.00   73.00     6  python3
01:52:45 PM     0     59778   70.00    6.00    0.00    0.00   76.00     6  python3
01:52:46 PM     0     59778   67.00    6.00    0.00    0.00   73.00     6  python3
01:52:47 PM     0     59778   71.00    8.00    0.00    0.00   79.00     6  python3
01:52:48 PM     0     59778   67.00    7.00    0.00    0.00   74.00     6  python3
01:52:49 PM     0     59778   75.00    7.00    0.00    0.00   82.00     6  python3
01:52:50 PM     0     59778   68.00    7.00    0.00    0.00   75.00     6  python3
01:52:51 PM     0     59778   71.00    8.00    0.00    0.00   79.00     6  python3
01:52:52 PM     0     59778   79.00    6.00    0.00    0.00   85.00     6  python3
01:52:53 PM     0     59778   79.00    6.00    0.00    0.00   85.00     6  python3
01:52:54 PM     0     59778   77.00    6.00    0.00    0.00   83.00     6  python3
01:52:55 PM     0     59778   72.00    7.00    0.00    0.00   79.00     6  python3
01:52:56 PM     0     59778   71.00    7.00    0.00    0.00   78.00     6  python3
01:52:57 PM     0     59778   73.00    8.00    0.00    0.00   81.00     6  python3
01:52:58 PM     0     59778   66.00    6.00    0.00    0.00   72.00     6  python3
01:52:59 PM     0     59778   73.00    8.00    0.00    0.00   81.00     6  python3
01:53:00 PM     0     59778   68.00    6.00    0.00    0.00   74.00     6  python3
01:53:01 PM     0     59778   69.00    6.00    0.00    0.00   75.00     6  python3
01:53:02 PM     0     59778   67.00    8.00    0.00    0.00   75.00     6  python3
01:53:03 PM     0     59778   57.00    6.00    0.00    0.00   63.00     6  python3
01:53:04 PM     0     59778   39.00    6.00    0.00    0.00   45.00     6  python3
01:53:05 PM     0     59778   46.00    4.00    0.00    0.00   50.00     6  python3
01:53:06 PM     0     59778   41.00    4.00    0.00    0.00   45.00     6  python3
01:53:07 PM     0     59778   47.00    5.00    0.00    0.00   52.00     6  python3
01:53:08 PM     0     59778   42.00    4.00    0.00    0.00   46.00     6  python3
01:53:09 PM     0     59778   46.00    4.00    0.00    0.00   50.00     6  python3
01:53:10 PM     0     59778   43.00    5.00    0.00    0.00   48.00     6  python3
01:53:11 PM     0     59778   44.00    5.00    0.00    0.00   49.00     6  python3
01:53:12 PM     0     59778   41.00    5.00    0.00    0.00   46.00     6  python3
01:53:13 PM     0     59778   43.00    6.00    0.00    0.00   49.00     6  python3
01:53:14 PM     0     59778   44.00    3.00    0.00    0.00   47.00     6  python3
01:53:15 PM     0     59778   44.00    6.00    0.00    0.00   50.00     6  python3
01:53:16 PM     0     59778   41.00    4.00    0.00    0.00   45.00     6  python3
01:53:17 PM     0     59778   44.00    6.00    0.00    0.00   50.00     6  python3
01:53:18 PM     0     59778   41.00    4.00    0.00    0.00   45.00     6  python3
01:53:19 PM     0     59778   44.00    5.00    0.00    0.00   49.00     6  python3
01:53:20 PM     0     59778   41.00    6.00    0.00    0.00   47.00     6  python3
01:53:21 PM     0     59778   45.00    5.00    0.00    0.00   50.00     6  python3
01:53:22 PM     0     59778   41.00    5.00    0.00    0.00   46.00     6  python3
01:53:23 PM     0     59778   45.00    5.00    0.00    0.00   50.00     6  python3
01:53:24 PM     0     59778   41.00    4.00    0.00    0.00   45.00     6  python3
01:53:25 PM     0     59778   47.00    5.00    0.00    0.00   52.00     6  python3
01:53:26 PM     0     59778   42.00    4.00    0.00    0.00   46.00     6  python3
01:53:27 PM     0     59778   48.00    3.00    0.00    0.00   51.00     6  python3
01:53:28 PM     0     59778   45.00    5.00    0.00    0.00   50.00     6  python3
01:53:29 PM     0     59778   46.00    4.00    0.00    0.00   50.00     6  python3
01:53:30 PM     0     59778   41.00    3.00    0.00    0.00   44.00     6  python3
01:53:31 PM     0     59778   45.00    6.00    0.00    0.00   51.00     6  python3
01:53:32 PM     0     59778   41.00    4.00    0.00    0.00   45.00     6  python3
01:53:33 PM     0     59778   44.00    5.00    0.00    0.00   49.00     6  python3
01:53:34 PM     0     59778   40.00    6.00    0.00    0.00   46.00     6  python3
01:53:35 PM     0     59778   45.00    5.00    0.00    0.00   50.00     6  python3
01:53:36 PM     0     59778   41.00    4.00    0.00    0.00   45.00     6  python3
01:53:37 PM     0     59778   46.00    5.00    0.00    0.00   51.00     6  python3
01:53:38 PM     0     59778   43.00    2.00    0.00    0.00   45.00     6  python3
01:53:39 PM     0     59778   45.00    5.00    0.00    0.00   50.00     6  python3
01:53:40 PM     0     59778   42.00    3.00    0.00    0.00   45.00     6  python3
01:53:41 PM     0     59778   47.00    3.00    0.00    0.00   50.00     6  python3
01:53:42 PM     0     59778   42.00    5.00    0.00    0.00   47.00     6  python3
01:53:43 PM     0     59778   47.00    4.00    0.00    0.00   51.00     6  python3
01:53:44 PM     0     59778   42.00    5.00    0.00    0.00   47.00     6  python3
01:53:45 PM     0     59778   47.00    4.00    0.00    0.00   51.00     6  python3
01:53:46 PM     0     59778   42.00    5.00    0.00    0.00   47.00     6  python3
01:53:47 PM     0     59778   46.00    5.00    0.00    0.00   51.00     6  python3
01:53:48 PM     0     59778   43.00    4.00    0.00    0.00   47.00     6  python3
01:53:49 PM     0     59778   47.00    5.00    0.00    0.00   52.00     6  python3
01:53:50 PM     0     59778   44.00    4.00    0.00    0.00   48.00     6  python3
01:53:51 PM     0     59778   48.00    4.00    0.00    0.00   52.00     6  python3
01:53:52 PM     0     59778   43.00    4.00    0.00    0.00   47.00     6  python3

Average:        0     59778   54.87    5.58    0.00    0.00   60.45     -  python3
