Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/18/2026 	_x86_64_	(16 CPU)

02:03:24 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:03:25 PM     all      6.16      0.00      1.40      0.00      0.00      0.00      0.32      0.00      0.00     92.13
02:03:26 PM     all      5.58      0.00      1.19      0.00      0.00      0.00      0.13      0.00      0.00     93.10
02:03:27 PM     all      5.79      0.00      1.08      0.00      0.00      0.00      0.25      0.00      0.00     92.88
02:03:28 PM     all      5.25      0.00      0.57      0.00      0.00      0.00      0.19      0.00      0.00     93.99
02:03:29 PM     all      5.85      0.00      1.08      0.13      0.00      0.00      0.19      0.00      0.00     92.75
02:03:30 PM     all      5.33      0.00      0.63      0.38      0.00      0.00      0.13      0.00      0.00     93.52
02:03:31 PM     all      7.20      0.00      1.39      0.06      0.00      0.00      0.25      0.00      0.00     91.10
02:03:32 PM     all      5.07      0.00      0.89      0.00      0.00      0.00      0.19      0.00      0.00     93.85
02:03:33 PM     all      5.88      0.00      0.51      0.00      0.00      0.00      0.19      0.00      0.00     93.42
02:03:34 PM     all      4.62      0.00      0.63      0.00      0.00      0.00      0.19      0.00      0.00     94.56
02:03:35 PM     all      5.36      0.00      1.01      0.06      0.00      0.00      0.32      0.00      0.00     93.26
02:03:36 PM     all      5.23      0.00      0.44      0.00      0.00      0.00      0.19      0.00      0.00     94.14
02:03:37 PM     all      5.42      0.00      0.82      0.00      0.00      0.00      0.13      0.00      0.00     93.63
02:03:38 PM     all      5.25      0.00      0.63      0.00      0.00      0.00      0.06      0.00      0.00     94.06
02:03:39 PM     all      5.63      0.00      0.76      0.00      0.00      0.00      0.13      0.00      0.00     93.49
02:03:40 PM     all      5.37      0.00      0.57      0.00      0.00      0.00      0.19      0.00      0.00     93.87
02:03:41 PM     all      5.51      0.00      0.63      0.06      0.00      0.00      0.13      0.00      0.00     93.66
02:03:42 PM     all      5.24      0.00      0.76      0.00      0.00      0.00      0.13      0.00      0.00     93.87
02:03:43 PM     all      4.72      0.00      0.57      0.00      0.00      0.00      0.19      0.00      0.00     94.52
02:03:44 PM     all      5.23      0.00      0.57      0.00      0.00      0.00      0.25      0.00      0.00     93.95
02:03:45 PM     all      5.56      0.00      1.01      0.00      0.00      0.00      0.25      0.00      0.00     93.18
02:03:46 PM     all      5.13      0.00      0.57      0.19      0.00      0.00      0.19      0.00      0.00     93.92
02:03:47 PM     all      5.77      0.00      0.82      0.00      0.00      0.00      0.25      0.00      0.00     93.16
02:03:48 PM     all      5.20      0.00      0.63      0.00      0.00      0.00      0.06      0.00      0.00     94.11
02:03:49 PM     all      6.17      0.00      0.88      0.00      0.00      0.00      0.31      0.00      0.00     92.63
02:03:50 PM     all      6.19      0.00      0.95      0.00      0.00      0.00      0.19      0.00      0.00     92.67
02:03:51 PM     all      6.84      0.00      1.14      0.06      0.00      0.00      0.19      0.00      0.00     91.77
02:03:52 PM     all      7.78      0.00      1.08      0.00      0.00      0.00      0.25      0.00      0.00     90.89
02:03:53 PM     all      6.30      0.00      1.01      0.00      0.00      0.00      0.44      0.00      0.00     92.25
02:03:54 PM     all      5.32      0.00      1.20      0.00      0.00      0.00      0.13      0.00      0.00     93.35
02:03:55 PM     all      5.89      0.00      0.63      0.00      0.00      0.00      0.13      0.00      0.00     93.35
02:03:56 PM     all      5.48      0.00      0.76      0.00      0.00      0.00      0.06      0.00      0.00     93.70
02:03:57 PM     all      5.99      0.00      0.76      0.06      0.00      0.00      0.19      0.00      0.00     93.00
02:03:58 PM     all      4.63      0.00      0.63      0.00      0.00      0.00      0.19      0.00      0.00     94.54
02:03:59 PM     all      5.79      0.00      0.88      0.00      0.00      0.00      0.06      0.00      0.00     93.26
02:04:00 PM     all      5.49      0.00      0.38      0.50      0.00      0.00      0.13      0.00      0.00     93.50
02:04:01 PM     all      5.89      0.00      0.63      0.00      0.00      0.00      0.13      0.00      0.00     93.35
02:04:02 PM     all      5.67      0.00      0.76      0.00      0.00      0.00      0.13      0.00      0.00     93.44
02:04:03 PM     all      5.50      0.00      0.38      0.00      0.00      0.00      0.13      0.00      0.00     94.00
02:04:04 PM     all      4.68      0.00      0.70      0.00      0.00      0.00      0.25      0.00      0.00     94.37
02:04:05 PM     all      5.26      0.00      0.76      0.06      0.00      0.00      0.13      0.00      0.00     93.79
02:04:06 PM     all      7.61      0.00      1.82      0.00      0.00      0.00      0.31      0.00      0.00     90.26
02:04:07 PM     all      5.99      0.00      0.63      0.06      0.00      0.00      0.13      0.00      0.00     93.19
02:04:08 PM     all      5.30      0.00      0.32      0.00      0.00      0.00      0.19      0.00      0.00     94.20
02:04:09 PM     all      5.62      0.00      0.76      0.00      0.00      0.00      0.13      0.00      0.00     93.50
02:04:10 PM     all      5.29      0.00      0.44      0.00      0.00      0.00      0.19      0.00      0.00     94.08
02:04:11 PM     all      5.35      0.00      0.64      0.13      0.00      0.00      0.19      0.00      0.00     93.70
