Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/24/2026 	_x86_64_	(16 CPU)

11:10:40 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:10:41 AM     all      8.72      0.00      1.83      0.00      0.00      0.00      0.51      0.00      0.00     88.94
11:10:42 AM     all      7.62      0.00      1.07      0.00      0.00      0.00      0.44      0.00      0.00     90.87
11:10:43 AM     all      7.39      0.00      1.33      0.00      0.00      0.00      0.63      0.00      0.00     90.66
11:10:44 AM     all      7.47      0.00      0.95      0.19      0.00      0.00      0.57      0.00      0.00     90.82
11:10:45 AM     all      7.19      0.00      1.07      0.00      0.00      0.00      0.50      0.00      0.00     91.24
11:10:46 AM     all      6.83      0.00      0.95      0.00      0.00      0.00      0.32      0.00      0.00     91.91
11:10:47 AM     all      6.76      0.00      0.88      0.00      0.00      0.00      0.57      0.00      0.00     91.78
11:10:48 AM     all      7.18      0.00      0.76      0.00      0.00      0.00      0.38      0.00      0.00     91.68
11:10:49 AM     all      6.96      0.00      0.82      0.25      0.00      0.00      0.38      0.00      0.00     91.59
11:10:50 AM     all      6.72      0.00      1.07      0.00      0.00      0.00      0.38      0.00      0.00     91.84
11:10:51 AM     all      7.13      0.00      0.57      0.00      0.00      0.00      0.44      0.00      0.00     91.86
11:10:52 AM     all      6.82      0.00      0.88      0.00      0.00      0.00      0.44      0.00      0.00     91.85
11:10:53 AM     all      7.57      0.00      0.95      0.00      0.00      0.00      0.38      0.00      0.00     91.10
11:10:54 AM     all      7.49      0.00      0.95      0.13      0.00      0.00      0.51      0.00      0.00     90.93
11:10:55 AM     all      7.19      0.00      0.76      0.00      0.00      0.00      0.44      0.00      0.00     91.61
11:10:56 AM     all      7.21      0.00      0.95      0.00      0.00      0.00      0.44      0.00      0.00     91.40
11:10:57 AM     all      7.00      0.00      0.76      0.00      0.00      0.00      0.57      0.00      0.00     91.67
11:10:58 AM     all      6.51      0.00      0.82      0.00      0.00      0.00      0.44      0.00      0.00     92.23
11:10:59 AM     all      7.25      0.00      0.95      0.06      0.00      0.00      0.44      0.00      0.00     91.30
11:11:00 AM     all      6.79      0.00      0.88      0.00      0.00      0.00      0.44      0.00      0.00     91.89
11:11:01 AM     all      6.94      0.00      1.07      0.00      0.00      0.00      0.57      0.00      0.00     91.42
11:11:02 AM     all      6.78      0.00      1.14      0.00      0.00      0.00      0.38      0.00      0.00     91.70
11:11:03 AM     all      7.67      0.00      0.82      0.00      0.00      0.00      0.57      0.00      0.00     90.94
11:11:04 AM     all      7.58      0.00      1.07      0.00      0.00      0.00      0.57      0.00      0.00     90.78
11:11:05 AM     all      8.57      0.00      1.13      0.19      0.00      0.00      0.50      0.00      0.00     89.60
11:11:06 AM     all      7.91      0.00      0.95      0.00      0.00      0.00      0.38      0.00      0.00     90.77
