Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/26/2026 	_x86_64_	(16 CPU)

10:29:42 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:29:43 AM     all     10.03      0.00      3.81      0.00      0.00      0.00      0.70      0.00      0.00     85.46
10:29:44 AM     all      9.61      0.00      1.72      0.00      0.00      0.00      0.64      0.00      0.00     88.04
10:29:45 AM     all      9.32      0.00      1.84      0.00      0.00      0.00      0.76      0.00      0.00     88.09
10:29:46 AM     all      9.50      0.00      1.78      0.00      0.00      0.00      0.57      0.00      0.00     88.15
10:29:47 AM     all      9.35      0.00      1.72      0.06      0.00      0.00      0.45      0.00      0.00     88.42
10:29:48 AM     all      9.88      0.00      1.65      0.00      0.00      0.00      0.95      0.00      0.00     87.52
10:29:49 AM     all      9.28      0.00      1.72      0.00      0.00      0.00      0.64      0.00      0.00     88.37
10:29:50 AM     all      8.98      0.00      1.53      0.00      0.00      0.00      0.51      0.00      0.00     88.98
10:29:51 AM     all      9.48      0.00      1.59      0.00      0.00      0.00      0.32      0.00      0.00     88.61
10:29:52 AM     all      9.28      0.00      1.59      0.00      0.00      0.00      0.70      0.00      0.00     88.44
10:29:53 AM     all      8.63      0.00      1.27      0.13      0.00      0.00      0.70      0.00      0.00     89.27
10:29:54 AM     all      9.84      0.00      1.65      0.00      0.00      0.00      0.63      0.00      0.00     87.87
10:29:55 AM     all      9.59      0.00      1.59      0.00      0.00      0.00      0.64      0.00      0.00     88.18
10:29:56 AM     all      8.85      0.00      1.34      0.00      0.00      0.00      0.32      0.00      0.00     89.50
10:29:57 AM     all     10.43      0.00      1.97      0.06      0.00      0.00      0.32      0.00      0.00     87.22
10:29:58 AM     all     10.91      0.00      1.97      0.19      0.00      0.00      0.76      0.00      0.00     86.18
10:29:59 AM     all      9.54      0.00      1.91      0.13      0.00      0.00      0.32      0.00      0.00     88.10
10:30:00 AM     all      9.56      0.00      1.66      0.06      0.00      0.00      0.38      0.00      0.00     88.34
10:30:01 AM     all      9.68      0.00      1.53      0.06      0.00      0.00      0.45      0.00      0.00     88.29
10:30:02 AM     all     10.24      0.00      1.53      0.00      0.00      0.00      0.57      0.00      0.00     87.66
10:30:03 AM     all     10.42      0.00      1.65      0.00      0.00      0.00      0.76      0.00      0.00     87.17
10:30:04 AM     all      9.61      0.00      1.59      0.00      0.00      0.00      0.70      0.00      0.00     88.10
10:30:05 AM     all      9.15      0.00      1.53      0.13      0.00      0.00      0.57      0.00      0.00     88.62
10:30:06 AM     all      9.87      0.00      1.58      0.06      0.00      0.00      0.44      0.00      0.00     88.04
10:30:07 AM     all      9.51      0.00      1.72      0.00      0.00      0.00      0.38      0.00      0.00     88.39
10:30:08 AM     all      9.92      0.00      1.78      0.06      0.00      0.00      0.64      0.00      0.00     87.60
10:30:09 AM     all      9.69      0.00      1.53      0.00      0.00      0.00      0.64      0.00      0.00     88.15
10:30:10 AM     all      9.81      0.00      1.72      0.06      0.00      0.00      0.57      0.00      0.00     87.83
10:30:11 AM     all      9.29      0.00      1.72      0.06      0.00      0.00      0.45      0.00      0.00     88.48
10:30:12 AM     all      9.69      0.00      1.78      0.13      0.00      0.00      0.64      0.00      0.00     87.76
10:30:13 AM     all      9.44      0.00      1.84      0.00      0.00      0.00      0.44      0.00      0.00     88.28
10:30:14 AM     all      8.59      0.00      1.46      0.13      0.00      0.00      0.83      0.00      0.00     88.99
10:30:15 AM     all      9.13      0.00      1.96      0.00      0.00      0.00      0.70      0.00      0.00     88.21
10:30:16 AM     all      8.99      0.00      1.72      0.00      0.00      0.00      0.57      0.00      0.00     88.72
10:30:17 AM     all      8.72      0.00      1.46      0.00      0.00      0.00      0.51      0.00      0.00     89.31
10:30:18 AM     all     10.46      0.00      1.58      0.06      0.00      0.00      0.76      0.00      0.00     87.14
10:30:19 AM     all      8.99      0.00      1.40      0.00      0.00      0.00      0.51      0.00      0.00     89.10
10:30:20 AM     all      9.07      0.00      1.78      0.19      0.00      0.00      0.57      0.00      0.00     88.39
10:30:21 AM     all      9.06      0.00      1.39      0.00      0.00      0.00      0.76      0.00      0.00     88.78
10:30:22 AM     all      9.35      0.00      1.84      0.00      0.00      0.00      0.45      0.00      0.00     88.37
10:30:23 AM     all      8.68      0.00      1.40      0.00      0.00      0.00      0.45      0.00      0.00     89.46
10:30:24 AM     all      9.39      0.00      1.65      0.00      0.00      0.00      0.44      0.00      0.00     88.52
10:30:25 AM     all      8.85      0.00      1.59      0.00      0.00      0.00      0.64      0.00      0.00     88.92
10:30:26 AM     all      8.96      0.00      1.53      0.13      0.00      0.00      0.57      0.00      0.00     88.81
10:30:27 AM     all      8.90      0.00      1.40      0.00      0.00      0.00      0.51      0.00      0.00     89.19
10:30:28 AM     all      8.84      0.00      1.34      0.00      0.00      0.00      0.70      0.00      0.00     89.13
10:30:29 AM     all      8.44      0.00      1.59      0.00      0.00      0.00      0.63      0.00      0.00     89.33
10:30:30 AM     all      8.68      0.00      1.53      0.00      0.00      0.00      0.32      0.00      0.00     89.47
10:30:31 AM     all      8.98      0.00      1.72      0.06      0.00      0.00      0.64      0.00      0.00     88.61
10:30:32 AM     all      8.38      0.00      1.52      0.06      0.00      0.00      0.70      0.00      0.00     89.34
10:30:33 AM     all      8.94      0.00      1.52      0.13      0.00      0.00      0.70      0.00      0.00     88.71
10:30:34 AM     all      8.88      0.00      1.40      0.00      0.00      0.00      0.57      0.00      0.00     89.15
10:30:35 AM     all      8.38      0.00      1.65      0.06      0.00      0.00      0.63      0.00      0.00     89.28
10:30:36 AM     all     13.45      0.00      1.72      0.00      0.00      0.00      0.51      0.00      0.00     84.32
10:30:37 AM     all      9.22      0.00      1.53      0.06      0.00      0.00      0.57      0.00      0.00     88.62
10:30:38 AM     all      8.60      0.00      1.59      0.19      0.00      0.00      0.45      0.00      0.00     89.17
10:30:39 AM     all      8.74      0.00      1.65      0.00      0.00      0.00      0.76      0.00      0.00     88.85
10:30:40 AM     all      9.17      0.00      1.72      0.13      0.00      0.00      0.57      0.00      0.00     88.42
10:30:41 AM     all      8.79      0.00      1.72      0.00      0.00      0.00      0.51      0.00      0.00     88.98
10:30:42 AM     all      9.08      0.00      1.65      0.06      0.00      0.00      0.76      0.00      0.00     88.44
10:30:43 AM     all      9.10      0.00      1.53      0.00      0.00      0.00      0.76      0.00      0.00     88.61
10:30:44 AM     all      9.32      0.00      1.58      0.13      0.00      0.00      0.51      0.00      0.00     88.47
10:30:45 AM     all      9.45      0.00      1.65      0.00      0.00      0.00      0.51      0.00      0.00     88.39
10:30:46 AM     all     11.46      0.00      1.72      0.06      0.00      0.00      0.70      0.00      0.00     86.06
10:30:47 AM     all      8.97      0.00      1.53      0.00      0.00      0.00      0.45      0.00      0.00     89.06
10:30:48 AM     all     11.37      0.00      1.78      0.00      0.00      0.00      0.89      0.00      0.00     85.97
10:30:49 AM     all      9.41      0.00      1.78      0.00      0.00      0.00      0.38      0.00      0.00     88.43
10:30:50 AM     all      8.63      0.00      1.59      0.00      0.00      0.00      0.51      0.00      0.00     89.28
10:30:51 AM     all      9.25      0.00      1.34      0.00      0.00      0.00      0.51      0.00      0.00     88.90
