Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/26/2026 	_x86_64_	(16 CPU)

09:52:35 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:53:36 AM     all     17.46      0.00      2.29      0.00      0.00      0.00      0.76      0.00      0.00     79.48
09:53:37 AM     all     16.97      0.00      2.16      0.00      0.00      0.00      0.95      0.00      0.00     79.91
09:53:38 AM     all     17.08      0.00      2.23      0.06      0.00      0.00      0.83      0.00      0.00     79.80
09:53:39 AM     all     17.65      0.00      2.94      0.00      0.00      0.00      0.64      0.00      0.00     78.77
09:53:40 AM     all     18.10      0.00      3.06      0.06      0.00      0.00      0.57      0.00      0.00     78.20
09:53:41 AM     all     16.91      0.00      2.42      0.06      0.00      0.00      0.76      0.00      0.00     79.85
09:53:42 AM     all     17.09      0.00      2.10      0.13      0.00      0.00      0.64      0.00      0.00     80.04
09:53:43 AM     all     17.28      0.00      2.16      0.38      0.00      0.00      0.64      0.00      0.00     79.54
09:53:44 AM     all     17.19      0.00      2.17      0.06      0.00      0.00      0.83      0.00      0.00     79.74
09:53:45 AM     all     17.80      0.00      2.30      0.19      0.00      0.00      0.70      0.00      0.00     79.00
09:53:46 AM     all     16.54      0.00      1.91      0.00      0.00      0.00      0.70      0.00      0.00     80.85
09:53:47 AM     all     16.43      0.00      2.42      0.06      0.00      0.00      0.83      0.00      0.00     80.25
09:53:48 AM     all     16.49      0.00      2.17      0.00      0.00      0.00      0.70      0.00      0.00     80.64
09:53:49 AM     all     17.20      0.00      2.17      0.00      0.00      0.00      0.70      0.00      0.00     79.92
09:53:50 AM     all     17.53      0.00      2.35      0.13      0.00      0.00      0.83      0.00      0.00     79.16
09:53:51 AM     all     17.89      0.00      2.09      0.00      0.00      0.00      0.70      0.00      0.00     79.31
09:53:52 AM     all     18.37      0.00      2.23      0.00      0.00      0.00      0.77      0.00      0.00     78.64
09:53:53 AM     all     17.67      0.00      2.17      0.00      0.00      0.00      0.89      0.00      0.00     79.27
09:53:54 AM     all     18.43      0.00      2.55      0.00      0.00      0.00      0.77      0.00      0.00     78.25
09:53:55 AM     all     17.25      0.00      2.11      0.06      0.00      0.00      0.77      0.00      0.00     79.81
09:53:56 AM     all     17.83      0.00      2.21      0.00      0.00      0.00      0.88      0.00      0.00     79.08
09:53:57 AM     all     16.70      0.00      2.44      0.00      0.00      0.00      0.90      0.00      0.00     79.96
09:53:58 AM     all     17.02      0.00      2.11      0.00      0.00      0.00      0.70      0.00      0.00     80.17
09:53:59 AM     all     17.17      0.00      2.17      0.00      0.00      0.00      0.89      0.00      0.00     79.77
09:54:00 AM     all     17.39      0.00      1.91      0.06      0.00      0.00      0.64      0.00      0.00     80.00
09:54:01 AM     all     17.56      0.00      2.30      0.06      0.00      0.00      0.64      0.00      0.00     79.44
09:54:02 AM     all     17.47      0.00      2.16      0.00      0.00      0.00      0.64      0.00      0.00     79.73
09:54:03 AM     all     17.16      0.00      2.23      0.00      0.00      0.00      0.83      0.00      0.00     79.78
09:54:04 AM     all     16.94      0.00      1.91      0.00      0.00      0.00      0.76      0.00      0.00     80.38
09:54:05 AM     all     16.92      0.00      2.12      0.06      0.00      0.00      0.96      0.00      0.00     79.94
09:54:06 AM     all     20.62      0.00      2.42      0.00      0.00      0.00      0.76      0.00      0.00     76.19
09:54:07 AM     all     17.44      0.00      2.23      0.00      0.00      0.00      0.76      0.00      0.00     79.57
09:54:08 AM     all     16.57      0.00      2.61      0.06      0.00      0.00      0.76      0.00      0.00     79.99
09:54:09 AM     all     16.63      0.00      2.29      0.00      0.00      0.00      0.83      0.00      0.00     80.25
09:54:10 AM     all     17.11      0.00      2.29      0.25      0.00      0.00      0.89      0.00      0.00     79.45
09:54:11 AM     all     17.74      0.00      2.49      0.00      0.00      0.00      0.64      0.00      0.00     79.13
09:54:12 AM     all     17.84      0.00      2.17      0.00      0.00      0.00      0.51      0.00      0.00     79.48
09:54:13 AM     all     17.91      0.00      2.29      0.00      0.00      0.00      0.76      0.00      0.00     79.03
09:54:14 AM     all     18.17      0.00      2.21      0.00      0.00      0.00      0.82      0.00      0.00     78.80
09:54:15 AM     all     18.73      0.00      2.37      0.06      0.00      0.00      0.58      0.00      0.00     78.26
09:54:16 AM     all     17.79      0.00      2.36      0.00      0.00      0.00      0.83      0.00      0.00     79.02
