Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/24/2026 	_x86_64_	(16 CPU)

10:57:33 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:57:34 AM     all     10.98      0.00      2.28      0.13      0.00      0.00      0.76      0.00      0.00     85.85
10:57:35 AM     all     12.45      0.00      2.02      0.00      0.00      0.00      0.38      0.00      0.00     85.15
10:57:36 AM     all     11.56      0.00      1.90      0.00      0.00      0.00      0.44      0.00      0.00     86.10
10:57:37 AM     all     10.57      0.00      1.65      0.00      0.00      0.00      0.76      0.00      0.00     87.03
10:57:38 AM     all     10.06      0.00      1.46      0.00      0.00      0.00      0.57      0.00      0.00     87.91
10:57:39 AM     all     13.33      0.00      1.57      0.06      0.00      0.00      0.57      0.00      0.00     84.47
10:57:40 AM     all     11.05      0.00      1.27      0.00      0.00      0.00      0.63      0.00      0.00     87.05
10:57:41 AM     all     12.23      0.00      1.45      0.00      0.00      0.00      0.63      0.00      0.00     85.69
10:57:42 AM     all     11.96      0.00      1.15      0.00      0.00      0.00      0.51      0.00      0.00     86.39
10:57:43 AM     all     11.55      0.00      1.32      0.00      0.00      0.00      0.50      0.00      0.00     86.62
10:57:44 AM     all     12.11      0.00      1.40      0.00      0.00      0.00      0.44      0.00      0.00     86.05
10:57:45 AM     all     11.85      0.00      1.26      0.06      0.00      0.00      0.50      0.00      0.00     86.32
10:57:46 AM     all     12.19      0.00      1.38      0.00      0.00      0.00      0.69      0.00      0.00     85.74
10:57:47 AM     all     10.25      0.00      1.08      0.00      0.00      0.00      0.63      0.00      0.00     88.04
10:57:48 AM     all     11.39      0.00      1.33      0.00      0.00      0.00      0.44      0.00      0.00     86.84
10:57:49 AM     all     10.59      0.00      1.39      0.00      0.00      0.00      0.57      0.00      0.00     87.46
10:57:50 AM     all     10.22      0.00      1.40      0.32      0.00      0.00      0.57      0.00      0.00     87.50
10:57:51 AM     all     10.42      0.00      1.26      0.06      0.00      0.00      0.82      0.00      0.00     87.43
10:57:52 AM     all     11.72      0.00      1.52      0.00      0.00      0.00      0.44      0.00      0.00     86.31
10:57:53 AM     all     11.34      0.00      1.39      0.00      0.00      0.00      0.57      0.00      0.00     86.70
10:57:54 AM     all     11.46      0.00      1.20      0.00      0.00      0.00      0.51      0.00      0.00     86.83
10:57:55 AM     all     11.34      0.00      1.40      0.06      0.00      0.00      0.51      0.00      0.00     86.68
10:57:56 AM     all     11.31      0.00      1.14      0.00      0.00      0.00      0.76      0.00      0.00     86.80
10:57:57 AM     all     12.36      0.00      1.39      0.00      0.00      0.00      0.51      0.00      0.00     85.74
10:57:58 AM     all     13.42      0.00      1.33      0.00      0.00      0.00      0.76      0.00      0.00     84.49
