Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/20/2026 	_x86_64_	(16 CPU)

05:39:08 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:39:09 PM     all     12.72      0.00      3.32      0.00      0.00      0.00      0.32      0.00      0.00     83.63
05:39:10 PM     all     11.63      0.00      2.11      0.13      0.00      0.00      0.32      0.00      0.00     85.81
05:39:11 PM     all     13.71      0.00      2.79      0.00      0.00      0.00      0.38      0.00      0.00     83.11
05:39:12 PM     all     11.66      0.00      1.91      0.00      0.00      0.00      0.32      0.00      0.00     86.11
05:39:13 PM     all     12.09      0.00      2.23      0.00      0.00      0.00      0.45      0.00      0.00     85.23
05:39:14 PM     all     10.98      0.00      1.98      0.00      0.00      0.00      0.26      0.00      0.00     86.78
05:39:15 PM     all     11.66      0.00      2.04      0.00      0.00      0.00      0.32      0.00      0.00     85.98
05:39:16 PM     all     11.40      0.00      2.03      0.13      0.00      0.00      0.32      0.00      0.00     86.13
05:39:17 PM     all     11.46      0.00      2.17      0.00      0.00      0.00      0.45      0.00      0.00     85.92
05:39:18 PM     all     10.76      0.00      2.16      0.00      0.00      0.00      0.25      0.00      0.00     86.82
05:39:19 PM     all     11.94      0.00      2.35      0.00      0.00      0.00      0.44      0.00      0.00     85.26
05:39:20 PM     all     10.41      0.00      1.92      0.00      0.00      0.00      0.32      0.00      0.00     87.36
05:39:21 PM     all     12.00      0.00      2.29      0.19      0.00      0.00      0.51      0.00      0.00     85.02
05:39:22 PM     all     11.47      0.00      2.49      0.00      0.00      0.00      0.32      0.00      0.00     85.72
05:39:23 PM     all     11.94      0.00      1.97      0.00      0.00      0.00      0.44      0.00      0.00     85.65
05:39:24 PM     all     11.67      0.00      2.16      0.00      0.00      0.00      0.32      0.00      0.00     85.86
05:39:25 PM     all     12.24      0.00      2.49      0.00      0.00      0.00      0.38      0.00      0.00     84.89
05:39:26 PM     all     10.68      0.00      1.47      0.00      0.00      0.00      0.32      0.00      0.00     87.53
05:39:27 PM     all     11.66      0.00      1.78      0.06      0.00      0.00      0.45      0.00      0.00     86.05
05:39:28 PM     all     11.28      0.00      2.22      0.00      0.00      0.00      0.51      0.00      0.00     85.99
05:39:29 PM     all     11.39      0.00      2.24      0.00      0.00      0.00      0.45      0.00      0.00     85.92
05:39:30 PM     all     10.84      0.00      2.10      0.00      0.00      0.00      0.32      0.00      0.00     86.73
05:39:31 PM     all     11.55      0.00      2.05      0.00      0.00      0.00      0.19      0.00      0.00     86.21
05:39:32 PM     all     11.31      0.00      1.91      0.06      0.00      0.00      0.51      0.00      0.00     86.21
05:39:33 PM     all     11.83      0.00      2.16      0.00      0.00      0.00      0.45      0.00      0.00     85.56
05:39:34 PM     all     12.83      0.00      3.00      0.00      0.00      0.00      0.45      0.00      0.00     83.73
05:39:35 PM     all     11.91      0.00      1.91      0.00      0.00      0.00      0.38      0.00      0.00     85.80
05:39:36 PM     all     13.41      0.00      2.92      0.00      0.00      0.00      0.45      0.00      0.00     83.22
05:39:37 PM     all     29.79      0.06      7.70      0.25      0.00      0.00      0.57      0.00      0.00     61.62
05:39:38 PM     all     22.29      0.00      5.84      0.25      0.00      0.00      0.57      0.00      0.00     71.05
05:39:39 PM     all     22.09      0.00      6.45      0.19      0.00      0.00      0.51      0.00      0.00     70.75
05:39:40 PM     all     35.69      0.00      5.98      0.57      0.00      0.00      0.51      0.00      0.00     57.25
05:39:41 PM     all     34.82      0.00      7.65      0.51      0.00      0.00      0.57      0.00      0.00     56.44
05:39:42 PM     all     39.95      0.00      8.23      0.45      0.00      0.00      0.57      0.00      0.00     50.80
05:39:43 PM     all     39.94      0.00      9.39      0.38      0.00      0.00      0.58      0.00      0.00     49.71
