Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/23/2026 	_x86_64_	(16 CPU)

01:24:13 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:24:14 PM     all     30.43      0.00      3.85      0.06      0.00      0.00      0.25      0.00      0.00     65.40
01:24:15 PM     all     30.01      0.00      1.88      0.00      0.00      0.00      0.44      0.00      0.00     67.67
01:24:16 PM     all     28.17      0.00      1.58      0.00      0.00      0.00      0.19      0.00      0.00     70.06
01:24:17 PM     all     32.81      0.00      2.15      0.00      0.00      0.00      0.25      0.00      0.00     64.79
01:24:18 PM     all     31.22      0.00      1.65      0.00      0.00      0.00      0.38      0.00      0.00     66.75
01:24:19 PM     all     34.34      0.00      2.31      0.06      0.00      0.00      0.19      0.00      0.00     63.10
01:24:20 PM     all     61.07      0.00      7.25      0.00      0.00      0.00      0.51      0.00      0.00     31.17
01:24:21 PM     all     69.87      0.00      8.32      0.00      0.00      0.00      0.45      0.00      0.00     21.37
01:24:22 PM     all     60.76      0.00      6.46      0.00      0.00      0.00      0.45      0.00      0.00     32.32
01:24:23 PM     all     57.97      0.00      5.69      0.00      0.00      0.00      0.58      0.00      0.00     35.76
01:24:24 PM     all     54.95      0.00      4.88      0.13      0.00      0.00      0.51      0.00      0.00     39.52
01:24:25 PM     all     54.98      0.00      4.73      0.00      0.00      0.00      0.51      0.00      0.00     39.78
01:24:26 PM     all     58.17      0.00      4.93      0.00      0.00      0.00      0.64      0.00      0.00     36.26
01:24:27 PM     all     60.53      0.00      6.12      0.00      0.00      0.00      0.58      0.00      0.00     32.78
01:24:28 PM     all     62.11      0.00      6.61      0.00      0.00      0.00      0.52      0.00      0.00     30.76
01:24:29 PM     all     58.36      0.00      6.41      0.06      0.00      0.00      0.58      0.00      0.00     34.59
01:24:30 PM     all     62.25      0.00      6.82      0.00      0.00      0.00      0.58      0.00      0.00     30.35
01:24:31 PM     all     69.14      0.00      5.69      0.00      0.00      0.00      0.51      0.00      0.00     24.66
01:24:32 PM     all     61.70      0.00      5.82      0.00      0.00      0.00      0.51      0.00      0.00     31.97
01:24:33 PM     all     66.56      0.00      6.05      0.00      0.00      0.00      0.51      0.00      0.00     26.88
01:24:34 PM     all     59.69      0.00      5.84      0.06      0.00      0.00      0.39      0.00      0.00     34.02
01:24:35 PM     all     58.29      0.00      5.08      0.00      0.00      0.00      0.45      0.00      0.00     36.18
01:24:36 PM     all     57.90      0.00      4.80      0.00      0.00      0.00      0.51      0.00      0.00     36.79
01:24:37 PM     all     57.28      0.00      3.98      0.00      0.00      0.00      0.32      0.00      0.00     38.42
01:24:38 PM     all     54.28      0.00      3.45      0.00      0.00      0.00      0.45      0.00      0.00     41.83
01:24:39 PM     all     49.65      0.00      3.72      0.00      0.00      0.00      0.32      0.00      0.00     46.32
01:24:40 PM     all     57.19      0.00      4.62      0.00      0.00      0.00      0.45      0.00      0.00     37.74
01:24:41 PM     all     50.16      0.00      3.71      0.00      0.00      0.00      0.51      0.00      0.00     45.62
01:24:42 PM     all     44.19      0.00      2.81      0.00      0.00      0.00      0.38      0.00      0.00     52.62
01:24:43 PM     all     45.13      0.00      2.50      0.00      0.00      0.00      0.26      0.00      0.00     52.11
01:24:44 PM     all     57.33      0.00      3.97      0.00      0.00      0.00      0.45      0.00      0.00     38.26
01:24:45 PM     all     51.31      0.00      3.90      0.06      0.00      0.00      0.45      0.00      0.00     44.27
01:24:46 PM     all     56.03      0.00      3.83      0.00      0.00      0.00      0.38      0.00      0.00     39.76
01:24:47 PM     all     52.16      0.00      4.01      0.00      0.00      0.00      0.45      0.00      0.00     43.38
01:24:48 PM     all     52.32      0.00      3.54      0.00      0.00      0.00      0.45      0.00      0.00     43.69
01:24:49 PM     all     61.29      0.00      4.53      0.06      0.00      0.00      0.57      0.00      0.00     33.55
01:24:50 PM     all     60.92      0.00      4.80      0.00      0.00      0.00      0.45      0.00      0.00     33.82
01:24:51 PM     all     67.73      0.00      6.45      0.00      0.00      0.00      0.58      0.00      0.00     25.24
01:24:52 PM     all     60.67      0.00      7.87      0.13      0.00      0.00      0.45      0.00      0.00     30.88
01:24:53 PM     all     59.50      0.00      7.17      0.00      0.00      0.00      0.78      0.00      0.00     32.56
01:24:54 PM     all     64.74      0.00      7.66      0.00      0.00      0.00      0.51      0.00      0.00     27.09
01:24:55 PM     all     58.78      0.00      5.98      0.06      0.00      0.00      0.51      0.00      0.00     34.66
01:24:56 PM     all     58.62      0.00      5.79      0.00      0.00      0.00      0.58      0.00      0.00     35.01
01:24:57 PM     all     61.89      0.00      6.52      0.13      0.00      0.00      0.71      0.00      0.00     30.75
01:24:58 PM     all     59.91      0.00      5.12      0.06      0.00      0.00      0.45      0.00      0.00     34.46
01:24:59 PM     all     58.12      0.00      5.61      0.00      0.00      0.00      0.52      0.00      0.00     35.76
01:25:00 PM     all     53.24      0.00      4.29      0.00      0.00      0.00      0.58      0.00      0.00     41.90
01:25:01 PM     all     54.84      0.00      4.04      0.00      0.00      0.00      0.38      0.00      0.00     40.74
01:25:02 PM     all     55.20      0.00      5.39      0.00      0.00      0.00      0.51      0.00      0.00     38.90
01:25:03 PM     all     66.30      0.00      8.20      0.19      0.00      0.00      0.58      0.00      0.00     24.73
01:25:04 PM     all     58.81      0.00      6.07      0.13      0.00      0.00      0.39      0.00      0.00     34.60
01:25:05 PM     all     56.36      0.00      5.46      0.00      0.00      0.00      0.39      0.00      0.00     37.79
01:25:06 PM     all     60.21      0.00      6.29      0.00      0.00      0.00      0.58      0.00      0.00     32.93
01:25:07 PM     all     59.92      0.00      6.00      0.00      0.00      0.00      0.45      0.00      0.00     33.63
01:25:08 PM     all     51.94      0.00      3.74      0.00      0.00      0.00      0.65      0.00      0.00     43.68
01:25:09 PM     all     54.44      0.00      4.70      0.00      0.00      0.00      0.45      0.00      0.00     40.41
01:25:10 PM     all     63.27      0.00      6.28      0.06      0.00      0.00      0.45      0.00      0.00     29.94
01:25:11 PM     all     60.82      0.00      5.36      0.00      0.00      0.00      0.51      0.00      0.00     33.31
01:25:12 PM     all     58.54      0.00      4.43      0.00      0.00      0.00      0.45      0.00      0.00     36.59
01:25:13 PM     all     67.31      0.00      6.50      0.00      0.00      0.00      0.58      0.00      0.00     25.61
01:25:14 PM     all     56.80      0.00      5.22      0.00      0.00      0.00      0.52      0.00      0.00     37.46
01:25:15 PM     all     60.21      0.00      6.76      0.00      0.00      0.00      0.58      0.00      0.00     32.45
01:25:16 PM     all     58.51      0.00      4.50      0.00      0.00      0.00      0.32      0.00      0.00     36.67
01:25:17 PM     all     57.39      0.00      4.93      0.00      0.00      0.00      0.38      0.00      0.00     37.30
01:25:18 PM     all     53.63      0.00      4.89      0.00      0.00      0.00      0.45      0.00      0.00     41.03
01:25:19 PM     all     60.37      0.00      5.35      0.00      0.00      0.00      0.39      0.00      0.00     33.89
01:25:20 PM     all     58.38      0.00      8.12      0.00      0.00      0.00      0.52      0.00      0.00     32.99
01:25:21 PM     all     64.56      0.00      8.83      0.06      0.00      0.00      0.64      0.00      0.00     25.90
01:25:22 PM     all     57.92      0.00      6.31      0.00      0.00      0.00      0.39      0.00      0.00     35.39
01:25:23 PM     all     58.49      0.00      6.18      0.00      0.00      0.00      0.51      0.00      0.00     34.81
01:25:24 PM     all     49.36      0.00      4.36      0.00      0.00      0.00      0.45      0.00      0.00     45.83
01:25:25 PM     all     57.54      0.00      5.57      0.00      0.00      0.00      0.39      0.00      0.00     36.50
01:25:26 PM     all     59.42      0.00      5.64      0.00      0.00      0.00      0.45      0.00      0.00     34.49
