Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/24/2026 	_x86_64_	(16 CPU)

11:23:41 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:23:42 AM     all      6.79      0.00      1.89      0.00      0.00      0.00      0.88      0.00      0.00     90.44
11:23:43 AM     all      6.33      0.00      1.33      0.00      0.00      0.00      0.51      0.00      0.00     91.84
11:23:44 AM     all      6.12      0.00      1.52      0.00      0.00      0.00      0.57      0.00      0.00     91.79
11:23:45 AM     all      5.89      0.00      1.27      0.00      0.00      0.00      0.70      0.00      0.00     92.15
11:23:46 AM     all      5.92      0.00      1.13      0.00      0.00      0.00      0.69      0.00      0.00     92.25
11:23:47 AM     all      5.24      0.00      1.01      0.06      0.00      0.00      0.63      0.00      0.00     93.05
11:23:48 AM     all      5.85      0.00      1.26      0.06      0.00      0.00      0.63      0.00      0.00     92.20
11:23:49 AM     all      5.56      0.00      1.33      0.00      0.00      0.00      0.57      0.00      0.00     92.55
11:23:50 AM     all      5.87      0.00      1.07      0.00      0.00      0.00      0.57      0.00      0.00     92.48
11:23:51 AM     all      6.00      0.00      1.20      0.00      0.00      0.00      0.69      0.00      0.00     92.11
11:23:52 AM     all      5.80      0.00      1.13      0.06      0.00      0.00      0.69      0.00      0.00     92.31
11:23:53 AM     all      6.15      0.00      1.46      0.00      0.00      0.00      0.63      0.00      0.00     91.76
11:23:54 AM     all      5.99      0.00      1.26      0.00      0.00      0.00      0.63      0.00      0.00     92.11
11:23:55 AM     all      6.79      0.00      1.33      0.00      0.00      0.00      0.57      0.00      0.00     91.31
11:23:56 AM     all      7.44      0.00      1.32      0.00      0.00      0.00      0.69      0.00      0.00     90.55
11:23:57 AM     all      6.33      0.00      1.14      0.19      0.00      0.00      0.82      0.00      0.00     91.52
11:23:58 AM     all      5.62      0.00      0.95      0.00      0.00      0.00      0.63      0.00      0.00     92.80
11:23:59 AM     all      6.37      0.00      1.26      0.00      0.00      0.00      0.76      0.00      0.00     91.61
11:24:00 AM     all      6.00      0.00      1.26      0.00      0.00      0.00      0.76      0.00      0.00     91.98
11:24:01 AM     all      5.85      0.00      1.45      0.00      0.00      0.00      0.50      0.00      0.00     92.20
11:24:02 AM     all      6.33      0.00      1.33      0.13      0.00      0.00      0.82      0.00      0.00     91.40
11:24:03 AM     all      6.83      0.00      1.01      0.00      0.00      0.00      0.63      0.00      0.00     91.53
11:24:04 AM     all      5.82      0.00      1.33      0.00      0.00      0.00      0.51      0.00      0.00     92.34
11:24:05 AM     all      6.06      0.00      0.95      0.00      0.00      0.00      0.57      0.00      0.00     92.42
11:24:06 AM     all      5.47      0.00      1.19      0.06      0.00      0.00      0.69      0.00      0.00     92.58
11:24:07 AM     all      5.36      0.00      0.95      0.00      0.00      0.00      0.63      0.00      0.00     93.06
11:24:08 AM     all      5.30      0.00      1.14      0.00      0.00      0.00      0.51      0.00      0.00     93.06
11:24:09 AM     all      5.82      0.00      0.89      0.00      0.00      0.00      0.57      0.00      0.00     92.72
11:24:10 AM     all      5.17      0.00      1.26      0.00      0.00      0.00      0.63      0.00      0.00     92.94
11:24:11 AM     all      6.00      0.00      0.76      0.00      0.00      0.00      0.57      0.00      0.00     92.68
11:24:12 AM     all      6.00      0.00      1.39      0.06      0.00      0.00      0.82      0.00      0.00     91.72
11:24:13 AM     all      5.82      0.00      1.27      0.00      0.00      0.00      0.57      0.00      0.00     92.34
11:24:14 AM     all      6.98      0.00      1.45      0.00      0.00      0.00      0.63      0.00      0.00     90.95
