Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/18/2026 	_x86_64_	(16 CPU)

08:47:55 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
08:47:56 PM     all      5.41      0.00      1.26      0.00      0.00      0.00      0.13      0.00      0.00     93.21
08:47:57 PM     all      4.44      0.00      0.63      0.19      0.00      0.00      0.19      0.00      0.00     94.54
08:47:58 PM     all      5.50      0.00      0.95      0.00      0.00      0.00      0.13      0.00      0.00     93.43
08:47:59 PM     all      4.70      0.00      0.70      0.00      0.00      0.00      0.13      0.00      0.00     94.48
08:48:00 PM     all      4.89      0.00      0.51      0.00      0.00      0.00      0.25      0.00      0.00     94.35
08:48:01 PM     all      4.97      0.00      0.88      0.00      0.00      0.00      0.19      0.00      0.00     93.97
08:48:02 PM     all      4.63      0.00      0.89      0.25      0.00      0.00      0.19      0.00      0.00     94.04
08:48:03 PM     all      4.37      0.00      0.82      0.06      0.00      0.00      0.13      0.00      0.00     94.62
08:48:04 PM     all      5.23      0.00      0.82      0.00      0.00      0.00      0.19      0.00      0.00     93.76
08:48:05 PM     all      4.42      0.00      0.82      0.13      0.00      0.00      0.25      0.00      0.00     94.38
08:48:06 PM     all      5.08      0.00      0.83      0.00      0.00      0.00      0.19      0.00      0.00     93.90
08:48:07 PM     all      4.13      0.00      0.57      0.00      0.00      0.00      0.13      0.00      0.00     95.17
08:48:08 PM     all      5.69      0.00      0.76      0.00      0.00      0.00      0.32      0.00      0.00     93.24
08:48:09 PM     all      4.78      0.00      1.01      0.00      0.00      0.00      0.31      0.00      0.00     93.90
08:48:10 PM     all      5.18      0.00      0.76      0.00      0.00      0.00      0.19      0.00      0.00     93.87
08:48:11 PM     all      4.37      0.00      0.82      0.13      0.00      0.00      0.19      0.00      0.00     94.49
08:48:12 PM     all      4.62      0.00      0.82      0.00      0.00      0.00      0.19      0.00      0.00     94.37
08:48:13 PM     all      4.66      0.00      1.01      0.00      0.00      0.00      0.19      0.00      0.00     94.14
08:48:14 PM     all      5.18      0.00      0.63      0.00      0.00      0.00      0.13      0.00      0.00     94.06
08:48:15 PM     all      4.45      0.00      0.64      0.00      0.00      0.00      0.19      0.00      0.00     94.72
08:48:16 PM     all      4.73      0.00      0.69      0.06      0.00      0.00      0.38      0.00      0.00     94.13
08:48:17 PM     all      4.92      0.00      0.51      0.00      0.00      0.00      0.19      0.00      0.00     94.38
08:48:18 PM     all      4.82      0.00      0.89      0.00      0.00      0.00      0.13      0.00      0.00     94.16
08:48:19 PM     all      4.81      0.00      0.51      0.00      0.00      0.00      0.06      0.00      0.00     94.62
08:48:20 PM     all      4.81      0.00      0.89      0.00      0.00      0.00      0.19      0.00      0.00     94.11
08:48:21 PM     all      4.63      0.00      0.70      0.13      0.00      0.00      0.13      0.00      0.00     94.42
08:48:22 PM     all      5.19      0.00      0.63      0.00      0.00      0.00      0.32      0.00      0.00     93.86
08:48:23 PM     all      4.62      0.00      0.82      0.00      0.00      0.00      0.32      0.00      0.00     94.24
08:48:24 PM     all      5.97      0.00      0.94      0.00      0.00      0.00      0.19      0.00      0.00     92.89
08:48:25 PM     all      6.35      0.00      1.76      0.00      0.00      0.00      0.31      0.00      0.00     91.57
08:48:26 PM     all      3.87      0.00      0.76      0.06      0.00      0.00      0.13      0.00      0.00     95.18
08:48:27 PM     all      3.46      0.00      0.88      0.00      0.00      0.00      0.19      0.00      0.00     95.47
08:48:28 PM     all      3.65      0.00      0.50      0.06      0.00      0.00      0.25      0.00      0.00     95.53
08:48:29 PM     all      3.27      0.00      0.69      0.00      0.00      0.00      0.25      0.00      0.00     95.79
08:48:30 PM     all      3.16      0.00      0.44      0.00      0.00      0.00      0.13      0.00      0.00     96.27
08:48:31 PM     all      3.21      0.00      0.44      0.00      0.00      0.00      0.13      0.00      0.00     96.23
08:48:32 PM     all      3.21      0.00      0.88      0.06      0.00      0.00      0.13      0.00      0.00     95.72
08:48:33 PM     all      3.33      0.00      0.63      0.00      0.00      0.00      0.19      0.00      0.00     95.85
08:48:34 PM     all      3.29      0.00      0.32      0.00      0.00      0.00      0.13      0.00      0.00     96.27
08:48:35 PM     all      2.65      0.00      0.76      0.00      0.00      0.00      0.13      0.00      0.00     96.46
08:48:36 PM     all      3.78      0.00      0.50      0.00      0.00      0.00      0.25      0.00      0.00     95.47
08:48:37 PM     all      3.27      0.00      0.44      0.13      0.00      0.00      0.06      0.00      0.00     96.10
08:48:38 PM     all      3.42      0.00      0.57      0.00      0.00      0.00      0.19      0.00      0.00     95.83
08:48:39 PM     all      3.16      0.00      0.32      0.00      0.00      0.00      0.13      0.00      0.00     96.40
08:48:40 PM     all      2.97      0.00      0.57      0.00      0.00      0.00      0.13      0.00      0.00     96.33
08:48:41 PM     all      2.90      0.00      0.50      0.00      0.00      0.00      0.13      0.00      0.00     96.47
08:48:42 PM     all      3.64      0.00      0.57      0.06      0.00      0.00      0.13      0.00      0.00     95.60
08:48:43 PM     all      2.54      0.00      0.25      0.00      0.00      0.00      0.13      0.00      0.00     97.08
08:48:44 PM     all      3.15      0.00      0.63      0.00      0.00      0.00      0.13      0.00      0.00     96.09
08:48:45 PM     all      3.28      0.00      0.50      0.00      0.00      0.00      0.13      0.00      0.00     96.09
08:48:46 PM     all      3.52      0.00      0.50      0.00      0.00      0.00      0.19      0.00      0.00     95.79
08:48:47 PM     all      2.84      0.00      0.51      0.06      0.00      0.00      0.19      0.00      0.00     96.40
08:48:48 PM     all      3.40      0.00      0.50      0.00      0.00      0.00      0.25      0.00      0.00     95.84
08:48:49 PM     all      2.84      0.00      0.63      0.00      0.00      0.00      0.13      0.00      0.00     96.40
08:48:50 PM     all      3.22      0.00      0.51      0.00      0.00      0.00      0.13      0.00      0.00     96.14
08:48:51 PM     all      3.09      0.00      0.38      0.00      0.00      0.00      0.13      0.00      0.00     96.40
08:48:52 PM     all      3.71      0.00      0.75      0.00      0.00      0.00      0.13      0.00      0.00     95.41
08:48:53 PM     all      3.27      0.00      0.50      0.13      0.00      0.00      0.06      0.00      0.00     96.03
08:48:54 PM     all      3.10      0.00      0.44      0.00      0.00      0.00      0.25      0.00      0.00     96.21
08:48:55 PM     all      2.97      0.00      0.51      0.06      0.00      0.00      0.13      0.00      0.00     96.33
08:48:56 PM     all      3.22      0.00      0.44      0.00      0.00      0.00      0.25      0.00      0.00     96.09
08:48:57 PM     all      3.03      0.00      0.51      0.06      0.00      0.00      0.06      0.00      0.00     96.34
08:48:58 PM     all      3.45      0.00      0.63      0.13      0.00      0.00      0.19      0.00      0.00     95.61
08:48:59 PM     all      3.47      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     96.03
08:49:00 PM     all      3.59      0.00      0.57      0.00      0.00      0.00      0.25      0.00      0.00     95.59
08:49:01 PM     all      3.08      0.00      0.82      0.00      0.00      0.00      0.13      0.00      0.00     95.97
08:49:02 PM     all      3.51      0.00      0.50      0.00      0.00      0.00      0.25      0.00      0.00     95.74
08:49:03 PM     all      2.97      0.00      0.38      0.44      0.00      0.00      0.13      0.00      0.00     96.08
08:49:04 PM     all      3.70      0.00      0.82      0.06      0.00      0.00      0.19      0.00      0.00     95.23
08:49:05 PM     all      3.15      0.00      0.57      0.00      0.00      0.00      0.06      0.00      0.00     96.22
08:49:06 PM     all      3.28      0.00      0.57      0.00      0.00      0.00      0.19      0.00      0.00     95.96
08:49:07 PM     all      2.85      0.00      0.44      0.00      0.00      0.00      0.06      0.00      0.00     96.65
08:49:08 PM     all      3.58      0.00      0.69      0.06      0.00      0.00      0.25      0.00      0.00     95.42


Average:        all      3.94      0.00      0.66      0.03      0.00      0.00      0.17      0.00      0.00     95.19
