Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/26/2026 	_x86_64_	(16 CPU)

09:49:04 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:49:05 AM     all     24.87      0.00      4.50      0.00      0.00      0.00      0.84      0.00      0.00     69.79
09:49:06 AM     all     25.08      0.00      3.59      0.00      0.00      0.00      1.15      0.00      0.00     70.17
09:49:07 AM     all     27.44      0.00      4.13      0.06      0.00      0.00      0.90      0.00      0.00     67.46
09:49:08 AM     all     23.12      0.00      3.07      0.00      0.00      0.00      1.02      0.00      0.00     72.80
09:49:09 AM     all     22.03      0.00      2.76      0.00      0.00      0.00      0.77      0.00      0.00     74.44
09:49:10 AM     all     22.64      0.00      3.00      0.00      0.00      0.00      0.70      0.00      0.00     73.66
09:49:11 AM     all     24.84      0.00      3.65      0.00      0.00      0.00      0.64      0.00      0.00     70.87
09:49:12 AM     all     23.60      0.00      3.17      0.13      0.00      0.00      1.08      0.00      0.00     72.02
09:49:13 AM     all     24.27      0.00      2.94      0.00      0.00      0.00      0.70      0.00      0.00     72.09
09:49:14 AM     all     24.18      0.00      3.34      0.00      0.00      0.00      1.22      0.00      0.00     71.25
09:49:15 AM     all     23.33      0.00      2.87      0.00      0.00      0.00      0.96      0.00      0.00     72.85
09:49:16 AM     all     25.00      0.00      3.19      0.00      0.00      0.00      0.77      0.00      0.00     71.05
09:49:17 AM     all     24.22      0.00      3.40      0.06      0.00      0.00      1.02      0.00      0.00     71.30
09:49:18 AM     all     25.32      0.00      3.00      0.13      0.00      0.00      0.89      0.00      0.00     70.66
09:49:19 AM     all     26.29      0.00      2.55      0.00      0.00      0.00      0.64      0.00      0.00     70.52
09:49:20 AM     all     23.96      0.00      2.75      0.00      0.00      0.00      0.70      0.00      0.00     72.58
09:49:21 AM     all     23.27      0.00      2.61      0.00      0.00      0.00      0.83      0.00      0.00     73.30
09:49:22 AM     all     24.46      0.00      3.45      0.06      0.00      0.00      0.70      0.00      0.00     71.33
09:49:23 AM     all     24.13      0.00      3.36      0.06      0.00      0.00      0.91      0.00      0.00     71.54
09:49:24 AM     all     21.04      0.00      2.52      0.06      0.00      0.00      0.71      0.00      0.00     75.66
09:49:25 AM     all     22.32      0.00      2.96      0.00      0.00      0.00      0.90      0.00      0.00     73.83
09:49:26 AM     all     23.35      0.00      3.50      0.00      0.00      0.00      1.02      0.00      0.00     72.14
09:49:27 AM     all     23.49      0.00      3.66      0.00      0.00      0.00      0.96      0.00      0.00     71.89
09:49:28 AM     all     24.23      0.00      3.12      0.00      0.00      0.00      0.89      0.00      0.00     71.75
09:49:29 AM     all     22.37      0.00      3.02      0.00      0.00      0.00      0.77      0.00      0.00     73.84
09:49:30 AM     all     24.09      0.00      2.95      0.00      0.00      0.00      0.96      0.00      0.00     72.01
09:49:31 AM     all     24.44      0.00      2.96      0.00      0.00      0.00      0.84      0.00      0.00     71.77
09:49:32 AM     all     24.49      0.00      3.32      0.00      0.00      0.00      1.02      0.00      0.00     71.17
09:49:33 AM     all     24.84      0.00      3.35      0.00      0.00      0.00      0.84      0.00      0.00     70.98
09:49:34 AM     all     25.79      0.00      2.82      0.00      0.00      0.00      0.71      0.00      0.00     70.69
09:49:35 AM     all     22.81      0.00      2.80      0.00      0.00      0.00      1.08      0.00      0.00     73.32
09:49:36 AM     all     22.34      0.00      3.01      0.06      0.00      0.00      0.77      0.00      0.00     73.82
09:49:37 AM     all     25.34      0.00      3.33      0.00      0.00      0.00      0.77      0.00      0.00     70.57
09:49:38 AM     all     30.14      0.00      4.28      0.06      0.00      0.00      0.83      0.00      0.00     64.69
09:49:39 AM     all     24.47      0.00      3.15      0.00      0.00      0.00      0.96      0.00      0.00     71.42
09:49:40 AM     all     25.29      0.00      3.50      0.00      0.00      0.00      0.83      0.00      0.00     70.38
09:49:41 AM     all     23.14      0.00      3.21      0.06      0.00      0.00      1.09      0.00      0.00     72.50
09:49:42 AM     all     22.71      0.00      2.82      0.00      0.00      0.00      0.71      0.00      0.00     73.77
09:49:43 AM     all     24.25      0.00      3.38      0.00      0.00      0.00      0.89      0.00      0.00     71.47
09:49:44 AM     all     25.22      0.06      3.20      0.13      0.00      0.00      0.96      0.00      0.00     70.42
09:49:45 AM     all     24.73      0.00      3.48      0.00      0.00      0.00      0.90      0.00      0.00     70.90
09:49:46 AM     all     27.00      0.00      3.49      0.00      0.00      0.00      1.23      0.00      0.00     68.28
09:49:47 AM     all     24.24      0.00      2.74      0.00      0.00      0.00      1.02      0.00      0.00     72.01
09:49:48 AM     all     22.11      0.00      2.73      0.00      0.00      0.00      0.95      0.00      0.00     74.21
09:49:49 AM     all     23.97      0.00      3.35      0.06      0.00      0.00      0.84      0.00      0.00     71.78
09:49:50 AM     all     22.22      0.00      3.14      0.00      0.00      0.00      0.96      0.00      0.00     73.69
09:49:51 AM     all     20.61      0.00      2.62      0.00      0.00      0.00      1.02      0.00      0.00     75.75
09:49:52 AM     all     21.35      0.00      2.99      0.00      0.00      0.00      0.83      0.00      0.00     74.84
09:49:53 AM     all     21.39      0.00      3.02      0.00      0.00      0.00      0.96      0.00      0.00     74.63
09:49:54 AM     all     20.95      0.00      3.13      0.06      0.00      0.00      0.77      0.00      0.00     75.10
09:49:55 AM     all     22.56      0.00      2.93      0.00      0.00      0.00      0.83      0.00      0.00     73.68
09:49:56 AM     all     21.84      0.00      2.81      0.00      0.00      0.00      0.96      0.00      0.00     74.39
