wall_time,iface,tx_mbps
12:28:12,tailscale0,22.530
12:28:13,tailscale0,29.023
12:28:14,tailscale0,26.471
12:28:15,tailscale0,25.517
12:28:16,tailscale0,25.450
12:28:17,tailscale0,21.825
12:28:18,tailscale0,25.031
12:28:19,tailscale0,26.782
12:28:20,tailscale0,25.828
12:28:21,tailscale0,25.595
12:28:22,tailscale0,26.420
12:28:23,tailscale0,20.049
12:28:24,tailscale0,25.341
12:28:25,tailscale0,25.361
12:28:26,tailscale0,27.840
12:28:27,tailscale0,23.516
12:28:28,tailscale0,24.562
12:28:29,tailscale0,23.481
12:28:30,tailscale0,26.488
12:28:31,tailscale0,24.571
12:28:32,tailscale0,27.558
12:28:33,tailscale0,25.722
12:28:34,tailscale0,27.207
12:28:35,tailscale0,22.275
12:28:36,tailscale0,25.478
12:28:37,tailscale0,27.130
12:28:38,tailscale0,25.017
12:28:39,tailscale0,25.534
12:28:40,tailscale0,24.938
12:28:41,tailscale0,23.282
12:28:42,tailscale0,26.690
12:28:43,tailscale0,24.850
12:28:44,tailscale0,25.963
12:28:45,tailscale0,23.990
12:28:46,tailscale0,25.254
12:28:47,tailscale0,21.244
12:28:48,tailscale0,25.039
12:28:49,tailscale0,25.738
12:28:50,tailscale0,17.612
12:28:51,tailscale0,17.527
12:28:52,tailscale0,18.550
12:28:53,tailscale0,14.194
12:28:54,tailscale0,16.617
12:28:55,tailscale0,16.919
12:28:56,tailscale0,17.915
12:28:57,tailscale0,17.191
12:28:58,tailscale0,18.209
12:28:59,tailscale0,13.057
12:29:00,tailscale0,17.585
12:29:01,tailscale0,16.992
12:29:02,tailscale0,18.451
12:29:03,tailscale0,17.039
12:29:04,tailscale0,16.939
12:29:05,tailscale0,13.754
12:29:06,tailscale0,16.695
12:29:07,tailscale0,17.614
12:29:08,tailscale0,18.448
12:29:09,tailscale0,16.829
12:29:10,tailscale0,17.246
12:29:11,tailscale0,13.616
12:29:12,tailscale0,17.060
12:29:13,tailscale0,17.430
12:29:14,tailscale0,18.308
12:29:15,tailscale0,16.910
12:29:16,tailscale0,17.160
12:29:17,tailscale0,14.344
12:29:18,tailscale0,16.456
12:29:19,tailscale0,17.034
12:29:20,tailscale0,18.691
12:29:21,tailscale0,16.957
12:29:22,tailscale0,17.319
12:29:23,tailscale0,13.497
12:29:24,tailscale0,17.337
12:29:25,tailscale0,17.717
12:29:26,tailscale0,18.136
12:29:27,tailscale0,16.577
12:29:28,tailscale0,17.173
12:29:29,tailscale0,13.752
12:29:30,tailscale0,17.182
12:29:31,tailscale0,16.482
12:29:32,tailscale0,18.886
12:29:33,tailscale0,16.750
12:29:34,tailscale0,17.392
12:29:35,tailscale0,14.075
12:29:36,tailscale0,16.957
12:29:37,tailscale0,17.401
12:29:38,tailscale0,18.179
12:29:39,tailscale0,16.952
12:29:40,tailscale0,17.513
12:29:41,tailscale0,13.714
12:29:42,tailscale0,16.681
12:29:43,tailscale0,17.807
12:29:44,tailscale0,18.563
12:29:45,tailscale0,16.313
12:29:46,tailscale0,17.210
12:29:47,tailscale0,13.264
12:29:48,tailscale0,17.172
12:29:49,tailscale0,17.176
12:29:50,tailscale0,18.819
12:29:51,tailscale0,17.274
12:29:52,tailscale0,17.460
12:29:53,tailscale0,13.499
12:29:54,tailscale0,16.881
12:29:55,tailscale0,16.791
12:29:56,tailscale0,18.459
12:29:57,tailscale0,17.400
12:29:58,tailscale0,16.931
12:29:59,tailscale0,14.017
12:30:00,tailscale0,17.098
12:30:01,tailscale0,17.977
12:30:02,tailscale0,18.042
12:30:03,tailscale0,16.645
12:30:04,tailscale0,17.211
12:30:05,tailscale0,13.622
12:30:06,tailscale0,16.685
12:30:07,tailscale0,17.364
12:30:08,tailscale0,18.594
12:30:09,tailscale0,16.257
12:30:10,tailscale0,17.918
12:30:11,tailscale0,14.174
