wall_time,iface,tx_mbps
14:10:35,tailscale0,13.985
14:10:36,tailscale0,14.246
14:10:37,tailscale0,11.390
14:10:38,tailscale0,13.244
14:10:39,tailscale0,12.832
14:10:40,tailscale0,11.340
14:10:41,tailscale0,13.384
14:10:42,tailscale0,12.797
14:10:43,tailscale0,11.349
14:10:44,tailscale0,13.679
14:10:45,tailscale0,13.077
14:10:46,tailscale0,11.808
14:10:47,tailscale0,13.077
14:10:48,tailscale0,12.969
14:10:49,tailscale0,11.203
14:10:50,tailscale0,13.451
14:10:51,tailscale0,13.007
14:10:52,tailscale0,11.384
14:10:53,tailscale0,13.315
14:10:54,tailscale0,13.351
14:10:55,tailscale0,11.545
14:10:56,tailscale0,13.061
14:10:57,tailscale0,13.233
14:10:58,tailscale0,11.362
14:10:59,tailscale0,13.141
14:11:00,tailscale0,13.015
14:11:01,tailscale0,11.524
14:11:02,tailscale0,13.321
