wall_time,iface,tx_mbps,rx_mbps
15:47:24,enp0s31f6,0.090,3.552
15:47:24,enx0c3796ba2d6a,0.107,3.743
15:47:24,enx0c3796ba2d67,0.085,2.642
15:47:25,enp0s31f6,0.060,2.887
15:47:25,enx0c3796ba2d6a,0.067,2.717
15:47:25,enx0c3796ba2d67,0.058,2.562
15:47:26,enp0s31f6,0.118,5.040
15:47:26,enx0c3796ba2d6a,0.119,5.166
15:47:26,enx0c3796ba2d67,0.001,0.013
15:47:27,enp0s31f6,0.073,3.046
15:47:27,enx0c3796ba2d6a,0.079,2.996
15:47:27,enx0c3796ba2d67,0.001,0.013
15:47:28,enp0s31f6,0.090,4.537
15:47:28,enx0c3796ba2d6a,0.107,4.978
15:47:28,enx0c3796ba2d67,0.000,0.000
15:47:29,enp0s31f6,0.067,3.349
15:47:29,enx0c3796ba2d6a,0.063,3.136
15:47:29,enx0c3796ba2d67,0.000,0.012
15:47:30,enp0s31f6,0.089,4.583
15:47:30,enx0c3796ba2d6a,0.104,4.909
15:47:30,enx0c3796ba2d67,0.000,0.000
15:47:31,enp0s31f6,0.095,3.418
15:47:31,enx0c3796ba2d6a,0.098,3.360
15:47:31,enx0c3796ba2d67,0.000,0.000
15:47:32,enp0s31f6,0.093,4.621
15:47:32,enx0c3796ba2d6a,0.098,4.783
15:47:32,enx0c3796ba2d67,0.000,0.013
15:47:33,enp0s31f6,0.072,3.642
15:47:33,enx0c3796ba2d6a,0.073,3.390
15:47:33,enx0c3796ba2d67,0.000,0.000
15:47:34,enp0s31f6,0.099,4.864
15:47:34,enx0c3796ba2d6a,0.116,5.222
15:47:34,enx0c3796ba2d67,0.000,0.000
15:47:35,enp0s31f6,0.073,3.582
15:47:35,enx0c3796ba2d6a,0.073,3.307
15:47:35,enx0c3796ba2d67,0.000,0.000
15:47:36,enp0s31f6,0.100,4.841
15:47:36,enx0c3796ba2d6a,0.107,5.029
15:47:36,enx0c3796ba2d67,0.000,0.000
15:47:37,enp0s31f6,0.068,3.589
15:47:37,enx0c3796ba2d6a,0.067,3.356
15:47:37,enx0c3796ba2d67,0.000,0.000
15:47:38,enp0s31f6,0.097,4.838
15:47:38,enx0c3796ba2d6a,0.107,5.019
15:47:38,enx0c3796ba2d67,0.000,0.000
15:47:39,enp0s31f6,0.071,3.612
15:47:39,enx0c3796ba2d6a,0.065,3.359
15:47:39,enx0c3796ba2d67,0.000,0.012
15:47:40,enp0s31f6,0.095,4.890
15:47:40,enx0c3796ba2d6a,0.105,5.056
15:47:40,enx0c3796ba2d67,0.000,0.000
15:47:41,enp0s31f6,0.064,3.574
15:47:41,enx0c3796ba2d6a,0.072,3.364
15:47:41,enx0c3796ba2d67,0.000,0.000
15:47:42,enp0s31f6,0.095,4.875
15:47:42,enx0c3796ba2d6a,0.115,5.085
15:47:42,enx0c3796ba2d67,0.000,0.000
15:47:43,enp0s31f6,0.070,3.586
15:47:43,enx0c3796ba2d6a,0.070,3.344
15:47:43,enx0c3796ba2d67,0.000,0.000
15:47:44,enp0s31f6,0.096,4.906
15:47:44,enx0c3796ba2d6a,0.117,5.188
15:47:44,enx0c3796ba2d67,0.000,0.000
15:47:45,enp0s31f6,0.070,3.565
15:47:45,enx0c3796ba2d6a,0.067,3.293
15:47:45,enx0c3796ba2d67,0.000,0.000
15:47:46,enp0s31f6,0.103,5.005
15:47:46,enx0c3796ba2d6a,0.112,5.184
15:47:46,enx0c3796ba2d67,0.000,0.000
15:47:47,enp0s31f6,0.067,3.510
15:47:47,enx0c3796ba2d6a,0.068,3.307
15:47:47,enx0c3796ba2d67,0.000,0.000
15:47:48,enp0s31f6,0.101,4.721
15:47:48,enx0c3796ba2d6a,0.105,5.027
15:47:48,enx0c3796ba2d67,0.000,0.000
15:47:49,enp0s31f6,0.067,3.518
15:47:49,enx0c3796ba2d6a,0.069,3.303
15:47:49,enx0c3796ba2d67,0.000,0.000
15:47:50,enp0s31f6,0.101,5.042
15:47:50,enx0c3796ba2d6a,0.110,5.223
15:47:50,enx0c3796ba2d67,0.000,0.000
15:47:51,enp0s31f6,0.071,3.537
15:47:51,enx0c3796ba2d6a,0.072,3.267
15:47:51,enx0c3796ba2d67,0.000,0.000
15:47:52,enp0s31f6,0.102,4.910
15:47:52,enx0c3796ba2d6a,0.109,5.155
15:47:52,enx0c3796ba2d67,0.000,0.000
15:47:53,enp0s31f6,0.073,3.568
15:47:53,enx0c3796ba2d6a,0.065,3.255
15:47:53,enx0c3796ba2d67,0.000,0.000
15:47:54,enp0s31f6,0.102,4.828
15:47:54,enx0c3796ba2d6a,0.110,5.072
15:47:54,enx0c3796ba2d67,0.000,0.012
15:47:55,enp0s31f6,0.073,3.582
15:47:55,enx0c3796ba2d6a,0.070,3.267
15:47:55,enx0c3796ba2d67,0.000,0.000
15:47:56,enp0s31f6,0.098,4.787
15:47:56,enx0c3796ba2d6a,0.105,4.880
15:47:56,enx0c3796ba2d67,0.000,0.000
15:47:57,enp0s31f6,0.073,3.566
15:47:57,enx0c3796ba2d6a,0.072,3.392
15:47:57,enx0c3796ba2d67,0.000,0.000
15:47:58,enp0s31f6,0.101,4.997
15:47:58,enx0c3796ba2d6a,0.106,5.014
15:47:58,enx0c3796ba2d67,0.000,0.000
15:47:59,enp0s31f6,0.064,3.355
15:47:59,enx0c3796ba2d6a,0.070,3.342
15:47:59,enx0c3796ba2d67,0.000,0.001
15:48:00,enp0s31f6,0.110,5.032
15:48:00,enx0c3796ba2d6a,0.118,5.013
15:48:00,enx0c3796ba2d67,0.000,0.000
15:48:01,enp0s31f6,0.071,3.437
15:48:01,enx0c3796ba2d6a,0.069,3.405
15:48:01,enx0c3796ba2d67,0.000,0.000
15:48:02,enp0s31f6,0.096,4.766
15:48:02,enx0c3796ba2d6a,0.104,4.917
15:48:02,enx0c3796ba2d67,0.000,0.000
15:48:03,enp0s31f6,0.074,3.806
15:48:03,enx0c3796ba2d6a,0.074,3.462
15:48:03,enx0c3796ba2d67,0.000,0.000
15:48:04,enp0s31f6,0.088,4.594
15:48:04,enx0c3796ba2d6a,0.101,4.835
15:48:04,enx0c3796ba2d67,0.000,0.000
15:48:05,enp0s31f6,0.072,3.515
15:48:05,enx0c3796ba2d6a,0.068,3.318
15:48:05,enx0c3796ba2d67,0.000,0.000
15:48:06,enp0s31f6,0.122,5.097
15:48:06,enx0c3796ba2d6a,0.107,5.033
15:48:06,enx0c3796ba2d67,0.000,0.000
15:48:07,enp0s31f6,0.067,3.505
15:48:07,enx0c3796ba2d6a,0.071,3.508
15:48:07,enx0c3796ba2d67,0.000,0.000
15:48:08,enp0s31f6,0.108,5.061
15:48:08,enx0c3796ba2d6a,0.112,5.279
15:48:08,enx0c3796ba2d67,0.000,0.000
15:48:09,enp0s31f6,0.071,3.750
15:48:09,enx0c3796ba2d6a,0.071,3.412
15:48:09,enx0c3796ba2d67,0.000,0.000
15:48:10,enp0s31f6,0.093,4.704
15:48:10,enx0c3796ba2d6a,0.102,5.054
15:48:10,enx0c3796ba2d67,0.000,0.000
15:48:11,enp0s31f6,0.069,3.576
15:48:11,enx0c3796ba2d6a,0.075,3.444
15:48:11,enx0c3796ba2d67,0.000,0.000
15:48:12,enp0s31f6,0.089,4.718
15:48:12,enx0c3796ba2d6a,0.106,4.953
15:48:12,enx0c3796ba2d67,0.000,0.000
15:48:13,enp0s31f6,0.069,3.636
15:48:13,enx0c3796ba2d6a,0.070,3.364
15:48:13,enx0c3796ba2d67,0.000,0.000
