wall_time,iface,tx_mbps
14:54:29,tailscale0,23.789
14:54:30,tailscale0,28.256
14:54:31,tailscale0,27.034
14:54:32,tailscale0,24.624
14:54:33,tailscale0,25.632
14:54:34,tailscale0,19.221
14:54:35,tailscale0,25.983
14:54:36,tailscale0,26.773
14:54:37,tailscale0,28.276
14:54:38,tailscale0,25.691
14:54:39,tailscale0,25.284
14:54:40,tailscale0,20.451
14:54:41,tailscale0,25.642
14:54:42,tailscale0,26.417
14:54:43,tailscale0,27.924
14:54:44,tailscale0,25.024
14:54:45,tailscale0,25.137
14:54:46,tailscale0,20.101
14:54:47,tailscale0,24.491
14:54:48,tailscale0,26.672
14:54:49,tailscale0,28.442
14:54:50,tailscale0,24.721
14:54:51,tailscale0,26.954
14:54:52,tailscale0,21.172
14:54:53,tailscale0,26.256
14:54:54,tailscale0,26.230
14:54:55,tailscale0,26.375
14:54:56,tailscale0,24.706
14:54:57,tailscale0,25.538
14:54:58,tailscale0,19.819
14:54:59,tailscale0,25.928
14:55:00,tailscale0,25.909
14:55:01,tailscale0,28.458
14:55:02,tailscale0,25.069
14:55:03,tailscale0,26.369
14:55:04,tailscale0,19.261
14:55:05,tailscale0,25.432
14:55:06,tailscale0,26.518
14:55:07,tailscale0,26.574
14:55:08,tailscale0,17.572
14:55:09,tailscale0,17.190
14:55:10,tailscale0,13.570
14:55:11,tailscale0,16.755
14:55:12,tailscale0,16.926
14:55:13,tailscale0,18.789
14:55:14,tailscale0,16.876
14:55:15,tailscale0,17.851
14:55:16,tailscale0,13.598
14:55:17,tailscale0,16.559
14:55:18,tailscale0,17.593
14:55:19,tailscale0,18.700
14:55:20,tailscale0,16.826
14:55:21,tailscale0,17.491
14:55:22,tailscale0,13.491
14:55:23,tailscale0,17.357
14:55:24,tailscale0,18.461
14:55:25,tailscale0,16.979
14:55:26,tailscale0,16.657
14:55:27,tailscale0,17.657
14:55:28,tailscale0,14.394
14:55:29,tailscale0,16.248
14:55:30,tailscale0,17.524
14:55:31,tailscale0,17.730
14:55:32,tailscale0,16.229
14:55:33,tailscale0,17.780
14:55:34,tailscale0,13.243
14:55:35,tailscale0,16.166
14:55:36,tailscale0,17.498
14:55:37,tailscale0,19.153
14:55:38,tailscale0,16.981
14:55:39,tailscale0,17.741
14:55:40,tailscale0,14.306
14:55:41,tailscale0,16.558
14:55:42,tailscale0,17.508
14:55:43,tailscale0,18.219
14:55:44,tailscale0,16.815
14:55:45,tailscale0,17.188
14:55:46,tailscale0,12.908
14:55:47,tailscale0,17.241
14:55:48,tailscale0,18.318
14:55:49,tailscale0,18.237
14:55:50,tailscale0,17.467
14:55:51,tailscale0,16.483
14:55:52,tailscale0,14.578
14:55:53,tailscale0,17.336
14:55:54,tailscale0,17.140
14:55:55,tailscale0,17.270
14:55:56,tailscale0,16.661
14:55:57,tailscale0,17.858
14:55:58,tailscale0,13.918
14:55:59,tailscale0,16.584
14:56:00,tailscale0,17.032
14:56:01,tailscale0,18.448
14:56:02,tailscale0,16.204
14:56:03,tailscale0,18.480
14:56:04,tailscale0,15.187
14:56:05,tailscale0,16.114
14:56:06,tailscale0,16.425
14:56:07,tailscale0,18.166
14:56:08,tailscale0,15.776
14:56:09,tailscale0,17.793
14:56:10,tailscale0,16.147
14:56:11,tailscale0,16.762
14:56:12,tailscale0,17.001
14:56:13,tailscale0,17.791
14:56:14,tailscale0,16.589
14:56:15,tailscale0,17.439
14:56:16,tailscale0,14.401
14:56:17,tailscale0,16.873
14:56:18,tailscale0,16.911
14:56:19,tailscale0,18.048
14:56:20,tailscale0,16.959
14:56:21,tailscale0,16.873
14:56:22,tailscale0,12.695
14:56:23,tailscale0,17.363
14:56:24,tailscale0,17.755
14:56:25,tailscale0,18.835
14:56:26,tailscale0,16.881
14:56:27,tailscale0,17.971
14:56:28,tailscale0,13.602
14:56:29,tailscale0,17.553
14:56:30,tailscale0,17.156
14:56:31,tailscale0,17.699
14:56:32,tailscale0,16.383
14:56:33,tailscale0,17.267
14:56:34,tailscale0,13.445
14:56:35,tailscale0,16.330
14:56:36,tailscale0,18.543
14:56:37,tailscale0,18.700
14:56:38,tailscale0,16.941
14:56:39,tailscale0,17.477
14:56:40,tailscale0,13.508
14:56:41,tailscale0,16.347
14:56:42,tailscale0,17.228
14:56:43,tailscale0,18.844
14:56:44,tailscale0,16.858
