wall_time,iface,tx_mbps
17:49:56,tailscale0,15.460
17:49:57,tailscale0,12.410
17:49:58,tailscale0,15.413
17:49:59,tailscale0,16.507
17:50:00,tailscale0,13.421
17:50:01,tailscale0,17.259
17:50:02,tailscale0,15.495
17:50:03,tailscale0,12.050
17:50:04,tailscale0,16.777
17:50:05,tailscale0,17.021
17:50:06,tailscale0,13.994
17:50:07,tailscale0,17.381
17:50:08,tailscale0,17.161
17:50:09,tailscale0,13.110
17:50:10,tailscale0,16.581
17:50:11,tailscale0,15.895
17:50:12,tailscale0,12.697
17:50:13,tailscale0,15.737
17:50:14,tailscale0,15.638
17:50:15,tailscale0,11.147
17:50:16,tailscale0,14.131
17:50:17,tailscale0,14.438
17:50:18,tailscale0,12.156
17:50:19,tailscale0,15.732
17:50:20,tailscale0,16.124
17:50:21,tailscale0,13.033
17:50:22,tailscale0,17.428
17:50:23,tailscale0,14.472
17:50:24,tailscale0,11.224
17:50:25,tailscale0,13.830
17:50:26,tailscale0,10.135
17:50:27,tailscale0,8.574
17:50:28,tailscale0,8.317
17:50:29,tailscale0,5.073
17:50:30,tailscale0,12.786
17:50:31,tailscale0,14.864
17:50:32,tailscale0,10.432
17:50:33,tailscale0,8.679
17:50:34,tailscale0,6.910
17:50:35,tailscale0,10.037
17:50:36,tailscale0,9.821
17:50:37,tailscale0,10.319
17:50:38,tailscale0,8.965
17:50:39,tailscale0,5.089
17:50:40,tailscale0,11.801
17:50:41,tailscale0,12.752
17:50:42,tailscale0,11.319
17:50:43,tailscale0,10.758
17:50:44,tailscale0,11.500
17:50:45,tailscale0,10.371
17:50:46,tailscale0,7.611
17:50:47,tailscale0,5.342
