wall_time,iface,tx_mbps
15:56:32,tailscale0,0.871
15:56:33,tailscale0,0.850
15:56:34,tailscale0,0.513
15:56:35,tailscale0,0.388
15:56:36,tailscale0,0.369
15:56:37,tailscale0,0.457
15:56:38,tailscale0,0.523
15:56:39,tailscale0,0.509
15:56:40,tailscale0,0.490
15:56:41,tailscale0,0.450
15:56:42,tailscale0,0.596
15:56:43,tailscale0,0.604
15:56:44,tailscale0,0.559
15:56:45,tailscale0,0.648
15:56:46,tailscale0,0.641
15:56:47,tailscale0,0.632
15:56:48,tailscale0,0.502
15:56:49,tailscale0,0.464
15:56:50,tailscale0,0.459
15:56:51,tailscale0,0.468
15:56:52,tailscale0,0.382
15:56:53,tailscale0,0.465
15:56:54,tailscale0,0.495
15:56:55,tailscale0,0.575
15:56:56,tailscale0,0.436
15:56:57,tailscale0,0.494
15:56:58,tailscale0,0.484
15:56:59,tailscale0,0.424
15:57:01,tailscale0,0.459
15:57:02,tailscale0,0.415
15:57:03,tailscale0,0.543
