wall_time,iface,tx_mbps
19:10:11,tailscale0,3.375
19:10:12,tailscale0,4.934
19:10:13,tailscale0,3.413
19:10:14,tailscale0,5.072
19:10:15,tailscale0,3.328
19:10:16,tailscale0,4.987
19:10:17,tailscale0,3.467
19:10:18,tailscale0,4.880
19:10:19,tailscale0,3.475
19:10:20,tailscale0,4.758
19:10:21,tailscale0,3.438
19:10:22,tailscale0,4.962
19:10:23,tailscale0,3.415
19:10:24,tailscale0,4.857
19:10:25,tailscale0,3.532
19:10:26,tailscale0,4.779
19:10:27,tailscale0,3.464
19:10:28,tailscale0,4.971
19:10:29,tailscale0,3.332
19:10:30,tailscale0,4.898
19:10:31,tailscale0,3.128
19:10:32,tailscale0,4.975
19:10:33,tailscale0,3.276
19:10:34,tailscale0,4.985
19:10:35,tailscale0,3.467
19:10:36,tailscale0,4.898
19:10:37,tailscale0,3.380
19:10:38,tailscale0,4.851
19:10:39,tailscale0,3.305
19:10:40,tailscale0,4.994
19:10:41,tailscale0,3.380
19:10:42,tailscale0,5.048
19:10:43,tailscale0,3.394
19:10:44,tailscale0,4.908
19:10:45,tailscale0,3.294
19:10:46,tailscale0,4.890
19:10:47,tailscale0,3.235
19:10:48,tailscale0,5.192
19:10:49,tailscale0,3.347
19:10:50,tailscale0,4.854
19:10:51,tailscale0,3.147
19:10:52,tailscale0,5.233
19:10:53,tailscale0,3.447
19:10:54,tailscale0,4.882
19:10:55,tailscale0,3.473
19:10:56,tailscale0,4.830
19:10:57,tailscale0,3.453
19:10:58,tailscale0,4.830
19:10:59,tailscale0,3.501
19:11:00,tailscale0,4.705
19:11:01,tailscale0,3.527
19:11:02,tailscale0,4.863
19:11:03,tailscale0,3.472
19:11:04,tailscale0,4.900
19:11:05,tailscale0,3.473
19:11:06,tailscale0,4.790
19:11:07,tailscale0,3.448
19:11:08,tailscale0,4.927
19:11:09,tailscale0,3.362
19:11:10,tailscale0,4.864
19:11:11,tailscale0,3.179
19:11:12,tailscale0,5.117
19:11:13,tailscale0,3.303
19:11:14,tailscale0,4.972
19:11:15,tailscale0,3.187
19:11:16,tailscale0,4.842
19:11:17,tailscale0,3.285
19:11:18,tailscale0,5.020
19:11:19,tailscale0,3.320
19:11:20,tailscale0,5.033
19:11:21,tailscale0,3.473
19:11:22,tailscale0,4.908
19:11:23,tailscale0,3.361
19:11:24,tailscale0,5.050
19:11:25,tailscale0,3.241
19:11:26,tailscale0,4.899
19:11:27,tailscale0,3.372
