time_ns,gst_buffer_pts_ns,stage
1775909090189877478,8997900064,post_depay
1775909090206602055,9020550903,post_decode
1775909090210056066,9042695034,post_depay
1775909090214325266,9042735254,post_decode
1775909090220576743,9053249280,post_depay
1775909090226064043,9053279443,post_decode
1775909090244851976,9077436501,post_depay
1775909090248346987,9077514466,post_decode
1775909090290305393,9122907932,post_depay
1775909090295007954,9122973911,post_decode
1775909090331443400,9164072215,post_depay
1775909090334476288,9164126605,post_decode
1775909090378016321,9210651036,post_depay
1775909090380896443,9210702849,post_decode
1775909090404344408,9236967584,post_depay
1775909090408554962,9237027553,post_decode
1775909090448501606,9281107549,post_depay
1775909090455286230,9281171932,post_decode
1775909090490980175,9323500709,post_depay
1775909090499486727,9323606124,post_decode
1775909090532947938,9365365024,post_depay
1775909090543037015,9365516057,post_decode
1775909090572677180,9405140063,post_depay
1775909090583322657,9405286911,post_decode
1775909090605508675,9438022355,post_depay
1775909090612497027,9438140460,post_decode
1775909090649031284,9481540427,post_depay
1775909090655584453,9481645974,post_decode
1775909090691645884,9523964850,post_depay
1775909090700539678,9524183513,post_decode
1775909090730840936,9563207051,post_depay
1775909090740150170,9563372297,post_decode
1775909090773269404,9605544646,post_depay
1775909090783802590,9605753855,post_decode
1775909090804236045,9636895353,post_depay
1775909090809559734,9636945904,post_decode
1775909090858912161,9691351486,post_depay
1775909090867373072,9691495339,post_decode
1775909090906691874,9739014616,post_depay
1775909090916830698,9739204432,post_decode
1775909090931957377,9764540398,post_depay
1775909090938779493,9764629774,post_decode
1775909090965001619,9797620068,post_depay
1775909090973693456,9797692135,post_decode
1775909091020733468,9853199522,post_depay
1775909091028899337,9853332464,post_decode
1775909091050865236,9883286374,post_depay
1775909091061629067,9883444677,post_decode
1775909091096828056,9924447141,post_depay
1775909091107002341,9929384154,post_decode
1775909091188898166,10006027985,post_depay
1775909091209480068,10021232258,post_decode
1775909091211486677,10044123904,post_depay
1775909091216027480,10044194335,post_decode
1775909091223072024,10053781492,post_depay
1775909091228851012,10055779701,post_decode
1775909091252315873,10084487407,post_depay
1775909091263639177,10084775038,post_decode
1775909091291338752,10123845175,post_depay
1775909091299465153,10123981004,post_decode
1775909091338555845,10171160604,post_depay
1775909091344748935,10171219963,post_decode
1775909091373098556,10205560494,post_depay
1775909091383821192,10205700733,post_decode
1775909091406982722,10239248845,post_depay
1775909091418047680,10239509726,post_decode
1775909091450910079,10283358445,post_depay
1775909091462908328,10283495085,post_decode
1775909091493338326,10325572679,post_depay
1775909091500970406,10325686428,post_decode
1775909091537585165,10369809655,post_depay
1775909091547582574,10370116346,post_decode
1775909091565836280,10398346080,post_depay
1775909091572903897,10398458530,post_decode
1775909091608867672,10441384501,post_depay
1775909091616710845,10441491715,post_decode
