time_ns,gst_buffer_pts_ns,frame_seq,stage
39777144956392,17967335297,0,post_depay
39777191864922,18711269876,1,post_decode
39777256466447,18769214758,2,post_depay
39777267990667,18826650268,3,post_decode
39777271621355,18841870226,4,post_depay
39777284143849,18841949479,5,post_decode
39777358891852,18859432359,6,post_depay
39777381164347,18929554086,7,post_decode
39777400220442,18970760286,8,post_depay
39777417240687,18970927916,9,post_decode
39777425213988,18995631724,10,post_depay
39777445004105,18995850991,11,post_decode
39777449559925,19020251371,12,post_depay
39777469108433,19020332257,13,post_decode
39777479391688,19049915914,14,post_depay
39777492006455,19050088862,15,post_decode
39777602471197,19168747997,16,post_depay
39777614597536,19172264744,17,post_decode
39777653065431,19187941003,18,post_depay
39777664233254,19222893007,19,post_decode
39777669136249,19238878639,20,post_depay
39777680308370,19239062200,21,post_decode
39777685458180,19255228714,22,post_depay
39777693739853,19255376549,23,post_decode
39777697112518,19267090430,24,post_depay
39777705447104,19267142512,25,post_decode
39777710099446,19279875287,26,post_depay
39777719458987,19280019344,27,post_decode
39777723978956,19293877882,28,post_depay
39777730187926,19293967322,29,post_decode
39777733532680,19303501788,30,post_depay
39777740636912,19303553949,31,post_decode
39777884766343,19315024529,32,post_depay
39777893294195,19455663924,33,post_decode
39777896460583,19467453873,34,post_depay
39777903616916,19467505507,35,post_decode
39777913467337,19478572659,36,post_depay
39777921670938,19484456565,37,post_decode
39777925345448,19496251809,38,post_depay
39777932610820,19496322166,39,post_decode
39778200073480,19765574643,40,post_depay
39778397192601,19777815214,41,post_depay
39778403358374,19934268501,42,post_depay
39778499016489,19939773682,43,post_depay
39778505139845,20036052988,44,post_depay
39778510610983,20041507620,45,post_depay
39778596222419,20046637991,46,post_depay
39778603886417,20173814141,47,post_depay
39778610697903,20180653752,48,post_depay
39778616691265,20186632812,49,post_depay
39778632901510,20191896388,50,post_depay
39778640850266,20210821024,51,post_depay
39778879330853,20215916278,52,post_depay
39778887573949,20455848318,53,post_depay
39778901145799,20465465275,54,post_depay
39778924138514,20478664895,55,post_depay
39778948780470,20502861787,56,post_depay
39779241713556,20528414600,57,post_depay
39779246761143,20817496973,58,post_depay
39779251507866,20822247541,59,post_depay
39779256633306,20827350873,60,post_depay
39779261561974,20832302827,61,post_depay
39779266533365,20837287279,62,post_depay
39779282771635,20841858329,63,post_depay
39779292143531,20854723655,64,post_decode
39780022110027,20868356307,65,post_depay
39780057764358,21592214733,66,post_decode
39780061915073,21632665103,67,post_depay
39780069039903,21632733730,68,post_decode
39780072814092,21643580977,69,post_depay
39780080283584,21643664797,70,post_decode
39780083674652,21654447018,71,post_depay
39780091600324,21654533997,72,post_decode
39780094781208,21665542638,73,post_depay
39780102918030,21665636450,74,post_decode
39780253582193,21820693100,75,post_depay
39780263424926,21824279831,76,post_decode
39780266915075,21837738362,77,post_depay
39780275296614,21837814724,78,post_decode
39780278960408,21849664958,79,post_depay
39780286991014,21849834776,80,post_decode
39780290649834,21861432259,81,post_depay
39780297462092,21861529699,82,post_decode
39780476906400,21883755283,83,post_depay
39780486139935,22047793636,84,post_decode
39780490087941,22059795110,85,post_depay
39780503206437,22059901174,86,post_decode
39780507640100,22077260296,87,post_depay
39780520254817,22077376335,88,post_decode
39780527030577,22093858308,89,post_depay
39780536853182,22096793401,90,post_decode
39780540956488,22110564366,91,post_depay
39780551184302,22110775122,92,post_decode
39780625515986,22124903675,93,post_depay
39780637786204,22195319972,94,post_decode
39780688897105,22211108469,95,post_depay
39780698318350,22258418008,96,post_decode
39780701881858,22271645970,97,post_depay
39780711455242,22271716473,98,post_decode
39780715745075,22285436174,99,post_depay
39780722638564,22285541495,100,post_decode
39780726456321,22297402264,101,post_depay
39780733241782,22297472217,102,post_decode
39780825219840,22307602142,103,post_depay
39780835460073,22396194678,104,post_decode
39781269304261,22410142025,105,post_depay
39781310822328,22840692454,106,post_decode
39781314635543,22886119884,107,post_depay
39781322137444,22886214284,108,post_decode
39781325558185,22896996996,109,post_depay
39781337877721,22897086618,110,post_decode
39781389424743,22960859052,111,post_depay
39781402493983,22960954320,112,post_decode
39781406556633,22978069777,113,post_depay
39781415335150,22978143700,114,post_decode
39781429119270,23000440891,115,post_depay
39781438302093,23000608998,116,post_decode
39781441868585,23013375167,117,post_depay
39781452526576,23013452165,118,post_decode
39781456481033,23027976730,119,post_depay
39781464520427,23028068100,120,post_decode
39781536035207,23105298963,121,post_depay
39781545206603,23105405115,122,post_decode
39781548681304,23117940095,123,post_depay
39781558400091,23118054510,124,post_decode
39781562291412,23131579000,125,post_depay
39781574316097,23131665159,126,post_decode
39781578152280,23147440082,127,post_depay
39781587080964,23147531685,128,post_decode
39781591768631,23161030661,129,post_depay
39781604805586,23161111730,130,post_decode
39781609012081,23178308965,131,post_depay
39781618345003,23178378194,132,post_decode
39781624073617,23193324411,133,post_depay
39781631532499,23193397811,134,post_decode
39781635594452,23204887193,135,post_depay
39781646999098,23204966180,136,post_decode
39781650774267,23220071717,137,post_depay
39781662761458,23220146709,138,post_decode
39782009111450,23577240219,139,post_depay
39782017568408,23587489461,140,post_depay
39782070370780,23592904598,141,post_depay
39782077767585,23647745470,142,post_depay
39782082905783,23652885769,143,post_depay
39782088104427,23658115981,144,post_depay
39782092670771,23662682286,145,post_depay
39782097223244,23667236128,146,post_depay
39782147014724,23671906311,147,post_depay
39782153452428,23723389768,148,post_depay
39782158859588,23728848372,149,post_depay
39782163841760,23733808928,150,post_depay
39782168992589,23738996605,151,post_depay
39782369194589,23923860064,152,post_depay
39782460439587,23946663689,153,post_depay
39782466395128,24037289329,154,post_depay
39782471260551,24042172745,155,post_depay
39782488831303,24046849854,156,post_depay
39782494057684,24064958201,157,post_depay
39782500428469,24065011914,158,post_decode
39783124104483,24079291131,159,post_depay
39783172374011,24700012012,160,post_decode
39783165380970,24762752402,161,post_depay
39783173920815,24762860365,162,post_decode
39783177551961,24775079666,163,post_depay
39783185965375,24775153664,164,post_decode
39783287078239,24787278895,165,post_depay
39783296136092,24884439124,166,post_decode
39783299599206,24897139860,167,post_depay
39783307785834,24897210988,168,post_decode
39783312054044,24909581371,169,post_depay
39783320193683,24909654224,170,post_decode
39783324653846,24922147028,171,post_depay
39783333426137,24922228179,172,post_decode
39783337365163,24934889709,173,post_depay
39783346279662,24934959945,174,post_decode
39783476853675,24973261841,175,post_depay
39783485759617,25007373848,176,post_decode
39783490040227,25020678309,177,post_depay
39783497711407,25020749854,178,post_decode
39783505077622,25035643395,179,post_depay
39783513080301,25035721000,180,post_decode
39783517106640,25047744404,181,post_depay
39783525223501,25047814213,182,post_decode
39783529490275,25060037915,183,post_depay
39783537705364,25060170937,184,post_decode
39783541423621,25072058738,185,post_depay
39783549572165,25072126568,186,post_decode
39783682351540,25249997899,187,post_depay
39783690799364,25252785058,188,post_decode
39783694687420,25265046369,189,post_depay
39783702785062,25265148040,190,post_decode
39783718973981,25277767551,191,post_depay
39783730636984,25289092578,192,post_decode
39783734473097,25304888368,193,post_depay
39783742533851,25304950301,194,post_decode
39783746301726,25316666112,195,post_depay
39783754445459,25316761661,196,post_decode
39784255528526,25328848035,197,post_depay
39784313833148,25851679301,198,post_decode
39784318079044,25914551167,199,post_depay
39784326517958,25914652470,200,post_decode
39784452615920,25926491552,201,post_depay
39784461686897,26023087419,202,post_decode
39784468165760,26036622584,203,post_depay
39784477184550,26038771647,204,post_decode
39784497226011,26051787219,205,post_depay
39784509149996,26067674606,206,post_decode
39784513189671,26083774662,207,post_depay
39784521108941,26083847703,208,post_decode
39784524401662,26095000614,209,post_depay
39784531595760,26095069814,210,post_decode
39784534864845,26105446417,211,post_depay
39784542046008,26105506729,212,post_decode
39784545310731,26115912542,213,post_depay
39784552394476,26115981922,214,post_decode
39784595900556,26126487202,215,post_depay
39784605664052,26166414016,216,post_decode
39784684643706,26215842245,217,post_depay
39784693223301,26255408974,218,post_decode
39784696754781,26267599369,219,post_depay
39784704020615,26267654298,220,post_decode
39785065093146,26296969064,221,post_depay
39785074202197,26635964392,222,post_decode
39785077920354,26648866301,223,post_depay
39785086381962,26648928870,224,post_decode
39785090485537,26661412388,225,post_depay
39785098722154,26661483669,226,post_decode
39785103216272,26674044173,227,post_depay
39785113364086,26674179689,228,post_decode
39785117505507,26688381948,229,post_depay
39785125801260,26688457064,230,post_decode
39785129376532,26700351562,231,post_depay
39785139047305,26700438625,232,post_decode
