wall_time,cam_index,pipeline_ms
10:25:30.114,0,967.0255
10:25:31.186,1,2060.0511
10:25:35.180,2,6106.1891
10:25:35.182,1,6055.1322
10:25:35.196,0,6046.3931
10:25:35.199,2,6114.4587
10:25:35.220,2,6131.9475
10:25:35.224,1,6071.3007
10:25:35.226,0,6065.8743
10:25:35.227,2,6138.5613
10:25:35.230,1,6069.3915
10:25:35.233,2,6130.0216
10:25:35.233,0,6043.7292
10:25:35.241,1,6068.8723
10:25:35.242,0,6010.2619
10:25:35.242,2,6091.8777
10:25:35.265,1,6054.4638
10:25:35.265,2,6113.7750
10:25:35.266,0,5995.1935
10:25:35.273,1,6014.5238
10:25:35.276,0,5971.0762
10:25:35.291,2,6123.5848
10:25:35.297,1,6003.5079
10:25:35.362,0,6014.1851
10:25:35.362,1,6025.1758
10:25:35.365,2,6151.7707
10:25:35.367,0,5975.7446
10:25:35.376,2,6117.4932
10:25:35.376,1,6004.7677
10:25:35.410,0,5981.2581
10:25:35.419,1,6002.9640
10:25:35.419,2,6129.0523
10:25:35.438,0,5971.6410
10:25:35.475,2,6149.7980
10:25:35.478,1,6011.7479
10:25:35.478,0,5971.6597
10:25:35.497,2,6131.5888
10:25:35.498,1,6002.3280
10:25:35.515,0,5967.3284
10:25:35.563,2,6153.1157
10:25:35.570,0,5978.6916
10:25:35.571,1,6042.7694
10:25:35.578,2,6125.2580
10:25:35.578,1,5999.8557
10:25:35.595,0,5959.6328
10:25:35.626,2,6136.2980
10:25:35.632,0,5945.2596
10:25:35.633,1,6012.6745
10:25:35.652,1,5964.6726
10:25:35.652,2,6132.2113
10:25:35.704,2,6126.2684
10:25:35.704,0,5991.5006
10:25:35.704,1,6014.9417
10:25:35.716,0,5966.6462
10:25:35.763,2,6152.4287
10:25:35.769,1,6039.7345
10:25:35.769,0,5975.1978
10:25:35.769,2,6121.5569
10:25:35.777,1,5984.0786
10:25:35.787,0,5959.0558
10:25:35.833,2,6140.2146
10:25:35.833,1,6009.1022
10:25:35.837,0,5969.6099
10:25:35.855,2,6135.6971
10:25:35.855,1,6006.1160
10:25:35.887,0,5966.4994
10:25:35.895,2,6101.9677
10:25:35.897,1,6007.0972
10:25:35.918,0,5977.4960
10:25:35.967,2,6155.5336
10:25:35.967,1,6031.9052
10:25:35.975,0,5984.4069
10:25:35.978,2,6128.2737
10:25:35.978,1,5999.7939
10:25:35.995,0,5897.7480
10:25:36.048,2,6157.4867
10:25:36.051,1,6041.0569
10:25:36.057,2,6130.8410
10:25:36.057,1,5958.8730
10:25:36.091,0,5990.7072
10:25:36.093,0,5977.8317
10:25:36.144,1,6042.7985
10:25:36.144,2,6166.9428
10:25:36.148,1,5987.1999
10:25:36.148,2,6138.7756
10:25:36.149,0,5987.5197
10:25:36.157,0,5963.6435
10:25:36.173,2,6074.4269
10:25:36.178,1,6009.9830
10:25:36.241,0,6013.2321
10:25:36.242,2,6142.4435
10:25:36.246,1,6035.3839
10:25:36.246,0,5971.4075
10:25:36.249,2,6116.6044
10:25:36.259,1,6003.5885
10:25:36.297,0,5995.9034
10:25:36.304,2,6127.5591
10:25:36.304,1,6007.6239
10:25:36.321,0,5970.7125
10:25:36.335,2,6124.3516
10:25:36.335,1,6001.4531
10:25:36.389,2,6137.0109
10:25:36.389,0,5997.4117
10:25:36.394,1,6021.4787
10:25:36.397,0,5959.6800
10:25:36.407,2,6113.6050
10:25:36.424,1,6007.3111
10:25:36.452,0,5975.6577
10:25:36.452,1,5976.0025
10:25:36.456,2,6122.8918
10:25:36.474,0,5963.5675
10:25:36.527,0,5979.9511
10:25:36.530,2,6157.1429
10:25:36.530,1,6038.6017
10:25:36.536,2,6127.8836
10:25:36.541,1,5998.5543
10:25:36.548,0,5956.7873
10:25:36.589,2,6121.5701
10:25:36.591,1,6005.8091
10:25:36.595,0,5968.3989
10:25:36.611,1,5984.4758
10:25:36.613,2,6133.1550
10:25:36.650,0,5978.4072
10:25:36.656,1,6002.8118
10:25:36.656,2,6123.9068
10:25:36.677,0,5967.8442
10:25:36.721,2,6152.0300
10:25:36.722,1,6022.4469
10:25:36.728,0,5976.1325
10:25:36.730,2,6103.7638
10:25:36.743,1,6012.0744
10:25:36.753,0,5968.6616
10:25:36.796,2,6142.2784
10:25:36.796,1,6018.3942
10:25:36.796,0,5963.8423
10:25:36.812,1,5994.2460
10:25:36.814,2,6124.4455
10:25:36.867,0,5999.2156
10:25:36.869,2,6144.3007
10:25:36.869,1,6016.5247
10:25:36.869,0,5956.8781
10:25:36.887,2,6119.1407
10:25:36.898,1,5989.9597
10:25:36.973,0,5974.9695
10:25:36.973,1,6038.1617
10:25:36.977,0,5954.9600
10:25:37.000,1,5979.1384
10:25:37.015,2,6197.3977
10:25:37.018,2,6169.2069
10:25:37.036,0,5867.7921
10:25:37.041,2,6139.9173
10:25:37.073,2,6025.9713
10:25:37.088,1,5921.8312
10:25:37.118,1,5948.1421
10:25:37.123,2,6073.8145
10:25:37.124,1,5930.3085
10:25:37.130,0,5959.0554
10:25:37.133,0,5936.9690
10:25:37.171,1,5975.3225
10:25:37.171,2,6121.2521
10:25:37.171,0,5974.4373
10:25:37.177,2,6120.4338
10:25:37.180,1,5976.1244
10:25:37.193,0,5989.2419
10:25:37.239,0,6009.7501
10:25:37.239,2,6046.7097
10:25:37.239,1,6024.1016
10:25:37.253,1,5986.3829
10:25:37.260,2,6063.1775
10:25:37.294,0,6022.7832
10:25:37.297,2,6099.5623
10:25:37.299,1,5971.0580
10:25:37.307,0,5978.3548
10:25:37.395,2,6186.6072
10:25:37.395,1,6062.5273
10:25:37.398,0,6050.5003
10:25:37.398,2,6132.0956
10:25:37.401,1,6027.6773
10:25:37.404,0,6003.5922
10:25:37.412,2,6117.6641
10:25:37.412,1,5999.8172
10:25:37.462,0,6031.0808
10:25:37.462,1,5994.4282
10:25:37.462,2,6129.6616
10:25:37.477,0,6009.6058
10:25:37.495,2,6127.9392
10:25:37.501,1,6014.6278
10:25:37.523,0,5949.4574
10:25:37.538,2,6131.1307
10:25:37.544,1,5969.9172
10:25:37.550,0,5975.7615
10:25:37.594,2,6126.9899
10:25:37.595,1,6018.6785
10:25:37.598,0,6008.7186
10:25:37.613,2,6123.6807
10:25:37.617,1,5979.2253
10:25:37.676,0,6035.9939
10:25:37.677,1,6033.1798
10:25:37.679,2,6105.4666
10:25:37.685,0,6017.5947
10:25:37.692,2,6118.4054
10:25:37.698,1,5986.6360
10:25:37.708,0,5996.9353
10:25:37.732,1,6002.1579
10:25:37.739,2,6101.2174
10:25:37.752,0,5987.6295
10:25:37.792,1,6019.5731
10:25:37.792,2,6143.1052
10:25:37.798,0,6015.9164
10:25:37.811,2,6099.7132
10:25:37.817,1,5984.0334
10:25:37.850,0,6014.1557
10:25:37.857,2,6134.4569
10:25:37.862,1,6010.9134
10:25:37.867,0,5961.5615
10:25:37.924,1,6012.4309
10:25:37.924,2,6156.9090
10:25:37.928,0,6016.0368
10:25:37.930,2,6094.8142
10:25:37.936,1,6003.6012
