wall_time,cam,rtp_seq,rtsp_unwrap_ms,depay_ms,pay_ms,udpsink_ms,total_sender_ms
16:54:26.591,2,30628,0.014,0.088,0.079,0.109,0.383
16:54:26.661,1,28753,0.009,0.087,0.089,0.057,0.277
16:54:26.664,0,20952,0.007,0.059,0.040,0.075,0.213
16:54:27.659,0,21271,0.008,0.067,0.083,0.041,0.270
16:54:28.632,2,31395,0.007,0.061,0.230,0.044,0.432
16:54:28.661,1,29447,0.008,0.118,0.134,0.050,0.499
16:54:28.669,0,21607,0.009,16.628,0.101,0.083,17.022
16:54:29.655,0,21972,0.007,0.025,0.013,0.026,0.089
16:54:30.616,2,32081,0.011,0.018,0.068,0.039,0.175
16:54:30.667,1,30153,0.017,17.129,0.050,0.131,17.369
16:54:30.669,0,22307,0.007,0.136,0.046,0.030,0.254
16:54:31.683,0,22695,0.008,0.131,0.037,0.047,0.277
16:54:32.617,2,32768,0.007,0.018,0.026,0.028,0.113
16:54:32.662,1,30890,0.007,0.052,0.031,0.055,0.200
16:54:32.673,0,23083,0.007,0.085,0.057,0.030,0.250
16:54:33.651,0,23468,0.008,0.022,0.040,0.033,0.233
16:54:34.623,2,33496,0.007,0.026,0.053,0.029,0.146
16:54:34.654,0,23790,0.007,0.024,0.035,0.049,0.159
16:54:34.659,1,31591,0.015,0.042,0.036,0.051,0.180
16:54:35.652,0,24148,0.007,0.020,0.027,0.178,0.263
16:54:36.621,2,34245,0.007,0.027,0.039,0.029,0.140
16:54:36.651,1,32301,0.017,0.087,0.094,0.038,0.323
16:54:36.652,0,24507,0.014,0.030,0.049,0.028,0.159
16:54:37.649,0,24876,0.007,0.020,0.023,0.152,0.224
16:54:38.622,2,34998,0.007,0.027,0.059,0.026,0.249
16:54:38.650,0,25235,0.007,0.026,0.037,0.021,0.135
16:54:38.661,1,33045,0.008,0.032,0.050,0.057,0.195
16:54:39.661,0,25607,0.007,0.042,0.036,0.022,0.140
16:54:40.639,2,35748,0.006,0.056,0.040,0.155,0.306
16:54:40.663,1,33786,0.008,0.033,0.068,0.027,0.163
16:54:40.663,0,25993,0.011,0.043,0.029,0.025,0.188
16:54:41.668,0,26366,0.007,0.033,0.025,0.038,0.129
16:54:42.660,2,36521,0.015,0.114,0.041,0.104,0.327
16:54:42.672,1,34534,0.010,0.063,0.019,0.068,0.186
16:54:42.675,0,26752,0.008,0.087,0.040,0.052,0.219
16:54:43.690,0,27156,0.008,0.064,0.044,0.052,0.201
16:54:44.661,2,37293,0.008,0.117,0.033,0.084,0.276
16:54:44.671,1,35317,0.015,0.114,0.099,0.046,0.309
16:54:44.683,0,27560,0.007,0.088,0.039,0.040,0.217
16:54:45.688,0,27941,0.011,0.060,0.080,0.138,0.334
16:54:46.651,2,38055,0.006,0.077,0.029,0.126,0.266
16:54:46.673,1,36083,0.007,0.088,0.070,0.025,0.242
16:54:46.684,0,28322,0.008,0.082,0.048,0.024,0.203
16:54:47.698,0,28701,0.008,0.073,0.038,0.040,0.258
16:54:48.664,2,38793,0.006,0.070,0.057,0.028,0.190
16:54:48.668,1,36852,0.010,0.063,0.036,0.024,0.177
16:54:48.698,0,29089,0.007,0.135,0.033,0.026,0.252
16:54:49.695,0,29468,0.007,0.098,0.039,0.022,0.308
16:54:50.650,2,39538,0.006,0.113,0.044,0.057,0.360
16:54:50.674,1,37610,0.007,0.049,0.056,0.023,0.156
16:54:50.699,0,29847,0.007,0.195,0.055,0.167,0.471
16:54:51.699,0,30225,0.007,0.100,0.070,0.156,0.398
16:54:52.666,2,40278,0.006,0.113,0.055,0.029,0.248
16:54:52.674,1,38366,0.008,0.050,0.032,0.185,0.319
16:54:52.693,0,30598,0.007,0.123,0.035,0.078,0.284
16:54:53.694,0,30965,0.008,0.064,0.038,0.060,0.298
16:54:54.662,2,41030,0.007,0.087,0.053,0.039,0.214
16:54:54.670,1,39111,0.007,0.072,0.035,0.031,0.184
16:54:54.684,0,31346,0.011,0.094,0.044,0.026,0.222
16:54:55.687,0,31709,0.007,0.060,0.076,0.030,0.314
16:54:56.662,2,41785,0.007,0.061,0.063,0.035,0.183
16:54:56.681,1,39853,0.007,0.049,0.036,0.238,0.369
16:54:56.698,0,32077,0.008,0.067,0.057,0.073,0.387
16:54:57.697,0,32453,0.007,0.141,0.052,0.050,0.282
16:54:58.667,2,42526,0.013,0.153,0.026,0.070,0.318
16:54:58.680,1,40595,0.007,0.063,0.040,0.037,0.178
16:54:58.701,0,32828,0.007,0.140,0.021,0.019,0.227
16:54:59.688,0,33207,0.007,0.109,0.038,0.035,0.339
16:55:00.667,2,43276,0.008,0.115,0.035,0.067,0.261
16:55:00.675,1,41337,0.008,0.057,0.072,0.042,0.217
16:55:00.680,0,33570,0.007,0.045,0.030,0.023,0.131
16:55:01.688,0,33922,0.008,0.041,0.037,0.044,0.168
16:55:02.646,2,44021,0.007,0.075,0.042,0.196,0.373
16:55:02.672,1,42066,0.007,0.038,0.026,0.048,0.136
16:55:02.680,0,34286,0.007,0.038,0.037,0.198,0.317
16:55:03.670,0,34639,0.008,0.025,0.038,0.158,0.260
16:55:04.664,2,44740,0.007,0.044,0.036,0.039,0.156
16:55:04.667,1,42771,0.007,0.059,0.040,0.071,0.217
