wall_time,cam_index,decoder_ms,dropped
12:05:31.924,1,13.8104,0
12:05:31.935,2,22.0176,0
12:05:31.992,0,17.2355,0
12:05:31.994,1,17.6545,3
12:05:31.996,2,16.3229,3
12:05:32.003,0,10.1260,0
12:05:32.009,0,5.5976,0
12:05:32.014,0,3.6520,0
12:05:32.021,2,4.8815,0
12:05:32.021,1,5.0799,0
12:05:32.037,0,4.0006,0
12:05:32.044,2,3.3589,0
12:05:32.068,1,3.4110,0
12:05:32.082,0,3.8911,0
12:05:32.086,1,4.9043,0
12:05:32.090,2,4.4835,0
12:05:32.133,1,4.0014,0
12:05:32.134,0,4.3265,0
12:05:32.138,2,6.1877,0
12:05:32.167,0,4.2737,0
12:05:32.186,2,4.0990,0
12:05:32.186,1,4.6965,0
12:05:32.211,0,4.5067,0
12:05:32.212,2,4.6813,0
12:05:32.216,1,5.9161,0
12:05:32.246,0,4.1356,0
12:05:32.246,1,4.4127,0
12:05:32.249,2,4.4035,0
12:05:32.316,0,4.2489,0
12:05:32.317,1,5.0899,0
12:05:32.320,2,8.2365,0
12:05:32.332,0,4.1902,0
12:05:32.332,1,4.3776,0
12:05:32.336,2,4.9748,0
12:05:32.378,1,3.8906,0
12:05:32.378,2,4.2817,0
12:05:32.378,0,4.8493,0
12:05:32.404,0,4.0761,0
12:05:32.404,1,3.9941,0
12:05:32.429,2,4.4460,0
12:05:32.448,0,3.6230,0
12:05:32.452,1,4.1028,0
12:05:32.456,2,4.2726,0
12:05:32.486,0,3.9512,0
12:05:32.492,1,3.4442,0
12:05:32.497,2,4.3379,0
12:05:32.554,1,3.7633,0
12:05:32.555,0,4.6047,0
12:05:32.555,2,5.3347,0
12:05:32.563,1,4.1808,0
12:05:32.564,0,7.8339,0
12:05:32.572,2,3.7201,0
12:05:32.604,0,3.3272,0
12:05:32.611,1,3.6240,0
12:05:32.616,2,4.9780,0
12:05:32.669,0,4.1884,0
12:05:32.670,2,4.0746,0
12:05:32.670,1,5.0161,0
12:05:32.687,2,3.8338,0
12:05:32.690,0,4.8967,0
12:05:32.696,1,5.9023,0
12:05:32.717,0,3.3864,0
12:05:32.725,1,3.8442,0
12:05:32.729,2,4.4317,0
12:05:32.773,0,4.0356,0
12:05:32.774,1,4.8412,0
12:05:32.780,2,3.7809,0
12:05:32.805,0,3.5451,0
12:05:32.827,1,3.7250,0
