abs_time,cam_index,rtp_seq
1777826462.228317,0,6591
1777826462.260346,2,5583
1777826462.288759,1,23760
1777826463.268271,0,6981
1777826464.269471,0,7298
1777826464.283942,1,24448
1777826464.294486,2,6368
1777826465.274810,0,7648
1777826466.284279,0,8025
1777826466.297277,1,25158
1777826466.297355,2,7066
1777826467.272013,0,8399
1777826468.280211,0,8774
1777826468.282238,1,25885
1777826468.293476,2,7793
1777826469.268454,0,9137
1777826470.268264,0,9507
1777826470.293525,1,26623
1777826470.295854,2,8519
1777826471.279548,0,9878
1777826472.278122,0,10247
1777826472.295253,2,9255
1777826472.302919,1,27372
1777826473.276719,0,10630
1777826474.287158,0,11008
1777826474.293697,2,9992
1777826474.303486,1,28118
1777826475.282771,0,11380
1777826476.284523,0,11753
1777826476.293962,1,28874
1777826476.304829,2,10730
1777826477.274836,0,12124
1777826478.280815,0,12496
1777826478.291221,2,11481
1777826478.308169,1,29627
1777826479.283500,0,12869
1777826480.275550,0,13244
1777826480.293418,2,12217
1777826480.308659,1,30400
1777826481.266184,0,13611
1777826482.271540,0,13966
1777826482.292693,2,12913
1777826482.306776,1,31159
1777826483.283415,0,14332
1777826484.289773,0,14713
1777826484.302456,2,13648
1777826484.306941,1,31910
1777826485.287335,0,15095
1777826486.290047,0,15475
1777826486.296003,1,32658
1777826486.305283,2,14412
1777826487.289264,0,15851
1777826488.292208,0,16225
1777826488.303579,2,15173
1777826488.310884,1,33411
1777826489.290219,0,16600
1777826490.291748,0,16974
1777826490.302857,2,15929
1777826490.309664,1,34159
1777826491.294611,0,17347
1777826492.292188,0,17728
1777826492.303311,2,16678
1777826492.310915,1,34903
1777826493.281845,0,18098
1777826494.289746,0,18469
1777826494.301939,2,17434
1777826494.302095,1,35635
1777826495.293969,0,18837
1777826496.282701,0,19216
1777826496.314246,2,18172
1777826497.296226,0,19588
1777826498.292962,0,19959
1777826498.303368,2,18910
1777826499.288766,0,20327
