abs_time,cam,rtp_seq
1777819856.288465,0,27503
1777819856.308378,2,1138
1777819856.346752,1,6081
1777819857.331041,0,27940
1777819858.325004,2,1948
1777819858.333975,0,28284
1777819858.351313,1,6773
1777819859.318716,0,28651
1777819860.317377,2,2664
1777819860.335732,0,29009
1777819860.339131,1,7523
1777819861.334791,0,29379
1777819862.333909,0,29756
1777819862.337888,2,3379
1777819862.359323,1,8183
1777819863.333405,0,30133
1777819864.335138,0,30505
1777819864.340575,2,4111
1777819864.360037,1,8899
1777819865.326842,0,30880
1777819866.329499,0,31255
1777819866.339290,2,4849
1777819866.360950,1,9653
1777819868.324502,2,5600
1777819868.336223,0,32001
1777819868.347468,1,10385
1777819869.294641,0,32386
1777819870.294643,0,32612
1777819870.309365,2,6333
1777819870.335925,1,11113
1777819871.305010,0,32989
1777819872.301247,0,33377
1777819872.312898,2,7046
1777819872.338562,1,11936
1777819873.313991,0,33748
1777819874.313102,2,7763
1777819874.319543,0,34130
1777819874.345820,1,12621
1777819875.315877,0,34519
1777819876.326045,0,34901
1777819876.328569,2,8512
1777819876.351628,1,13360
1777819877.319857,0,35293
1777819878.326789,2,9276
1777819878.327451,0,35664
1777819878.355255,1,14110
1777819879.314950,0,36051
1777819880.318353,2,10039
1777819880.320830,0,36418
1777819880.354318,1,14859
1777819881.315131,0,36792
1777819882.316136,2,10765
1777819882.318592,0,37159
1777819882.352674,1,15598
1777819883.309567,0,37524
1777819884.322304,0,37880
1777819884.330490,2,11494
1777819884.358194,1,16335
1777819885.330581,0,38268
1777819886.332654,0,38660
1777819886.349472,2,12238
1777819886.368082,1,17086
1777819887.338310,0,39051
1777819888.317946,0,39462
1777819888.319228,2,13006
1777819888.352684,1,17845
1777819889.298034,0,39779
1777819890.293083,0,39938
1777819890.320907,2,13705
1777819890.350943,1,18585
1777819891.316444,0,40435
1777819892.331909,0,40821
1777819892.332743,2,14439
1777819892.357841,1,19285
1777819893.331424,0,41224
1777819894.346622,0,41627
1777819894.354897,2,15203
1777819894.364359,1,20032
1777819895.345253,0,42027
1777819896.344265,0,42414
1777819896.353851,2,15973
1777819896.364087,1,20805
1777819897.341014,0,42795
1777819898.349402,0,43172
1777819898.356327,2,16731
1777819898.379794,1,21564
1777819899.345635,0,43550
1777819900.347413,0,43924
1777819900.357746,2,17487
1777819900.372054,1,22321
1777819901.340759,0,44295
1777819902.353220,0,44667
1777819902.356728,2,18236
1777819902.372897,1,23067
1777819903.343038,0,45042
1777819904.348334,0,45418
1777819904.357353,2,18987
1777819904.374502,1,23814
1777819905.340093,0,45789
1777819906.349773,0,46164
1777819906.355777,2,19728
1777819906.371668,1,24543
1777819907.336037,0,46538
1777819908.338305,2,20473
1777819908.345244,0,46900
1777819908.371642,1,25281
1777819909.338252,0,47266
1777819910.334646,0,47637
1777819910.353728,2,21207
1777819910.363685,1,26011
1777819911.346669,0,48007
1777819912.345273,0,48378
1777819912.354957,2,21947
1777819912.361853,1,26745
1777819913.352654,0,48752
1777819914.347874,0,49129
1777819914.351423,2,22690
1777819914.364962,1,27466
1777819915.343543,0,49499
1777819916.320982,0,49886
1777819916.323014,2,23432
1777819916.358713,1,28183
1777819917.327967,0,50200
1777819918.347365,2,24126
1777819918.352433,0,50547
1777819918.364976,1,28910
1777819919.346905,0,50952
1777819920.348747,2,24892
1777819920.353844,0,51347
1777819920.367034,1,29651
1777819921.352281,0,51727
1777819922.344522,2,25656
1777819922.344720,0,52105
1777819922.362370,1,30392
