wall_time,cam,rtp_seq,pipeline_ms
12:37:24.714,1,10993,2.489
12:37:24.716,0,1532,1.194
12:37:24.744,1,11097,1.301
12:37:24.778,2,30023,0.822
12:37:24.788,0,1643,38.533
12:37:24.803,2,30036,0.255
12:37:24.810,0,1654,42.349
12:37:24.841,1,11123,76.199
12:37:24.852,0,1665,42.189
12:37:24.868,2,30049,22.350
12:37:24.878,2,30061,0.547
12:37:24.884,0,1675,32.285
12:37:24.918,2,30073,0.611
12:37:24.928,0,1686,45.063
12:37:24.959,2,30085,0.665
12:37:24.971,0,1695,43.316
12:37:24.983,1,11170,177.736
12:37:25.000,2,30097,0.221
12:37:25.006,1,11182,160.527
12:37:25.012,0,1705,41.606
12:37:25.031,2,30109,0.209
12:37:25.039,1,11195,161.067
12:37:25.052,0,1714,40.943
12:37:25.076,2,30121,0.251
12:37:25.084,0,1723,31.613
12:37:25.084,1,11207,160.494
12:37:25.118,2,30132,0.389
12:37:25.126,0,1732,42.339
12:37:25.126,1,11219,161.693
12:37:25.159,2,30143,0.167
12:37:25.167,1,11231,160.896
12:37:25.170,0,1741,45.353
12:37:25.200,1,11244,161.771
12:37:25.201,2,30155,0.333
12:37:25.211,0,1750,41.290
12:37:25.231,2,30167,0.248
12:37:25.244,1,11255,160.299
12:37:25.252,0,1760,41.994
12:37:25.276,2,30180,0.602
12:37:25.284,0,1769,31.941
12:37:25.286,1,11268,161.138
12:37:25.318,2,30191,0.352
12:37:25.327,1,11280,160.588
12:37:25.328,0,1779,44.799
12:37:25.359,1,11293,159.735
12:37:25.359,2,30202,0.850
12:37:25.371,0,1788,42.728
12:37:25.401,2,30214,0.751
12:37:25.404,1,11305,160.765
12:37:25.412,0,1797,40.976
12:37:25.432,2,30226,0.199
12:37:25.445,1,11318,160.326
12:37:25.453,0,1806,41.951
12:37:25.476,2,30237,0.158
12:37:25.484,0,1813,31.215
12:37:25.487,1,11330,160.822
12:37:25.519,1,11342,161.087
12:37:25.520,2,30248,1.070
12:37:25.530,0,1824,45.588
12:37:25.559,2,30259,0.178
12:37:25.564,1,11355,160.766
12:37:25.570,0,1834,41.052
12:37:25.600,2,30270,0.381
12:37:25.605,1,11367,160.518
12:37:25.612,0,1843,41.980
12:37:25.632,2,30283,0.224
12:37:25.644,0,1852,32.115
12:37:25.646,1,11379,160.100
12:37:25.676,2,30294,0.326
12:37:25.678,1,11391,159.390
12:37:25.688,0,1862,44.727
12:37:25.718,2,30305,0.348
12:37:25.723,1,11404,159.510
