wall_time,cam_index,sample_frame,brisque_score
11:23:42.976,1,5,28.3972
11:23:43.219,2,5,23.4855
11:23:43.228,0,5,26.3596
11:23:43.302,1,10,28.3918
11:23:43.768,2,10,23.1359
11:23:43.768,0,10,27.6682
11:23:43.788,1,15,29.4797
11:23:44.268,1,20,30.0134
11:23:44.297,0,15,28.5163
11:23:44.847,2,15,23.4079
11:23:44.914,1,25,28.4338
11:23:45.244,0,20,25.9948
11:23:45.379,1,30,27.1613
11:23:45.381,2,20,22.1135
11:23:45.763,0,25,26.3513
11:23:45.875,2,25,25.8283
11:23:45.876,1,35,26.9675
11:23:46.151,0,30,27.1066
11:23:46.234,2,30,24.0471
11:23:46.292,1,40,29.8019
11:23:46.456,0,35,27.9880
11:23:46.621,1,45,29.6437
11:23:46.767,2,35,23.1398
11:23:46.827,0,40,28.8786
11:23:46.989,1,50,30.4816
11:23:47.291,0,45,27.5148
11:23:47.292,2,40,24.8122
11:23:47.353,1,55,29.5158
11:23:47.682,0,50,25.4338
11:23:47.770,1,60,25.8947
11:23:47.770,2,45,19.3859
11:23:48.190,0,55,24.5988
11:23:48.207,2,50,22.7775
11:23:48.228,1,65,27.3737
11:23:48.582,0,60,26.5930
11:23:48.688,1,70,27.4963
11:23:48.691,2,55,21.1804
11:23:48.889,0,65,26.7365
11:23:49.092,1,75,28.0471
11:23:49.163,2,60,23.5012
11:23:49.242,0,70,27.4890
11:23:49.411,1,80,27.9006
11:23:49.608,0,75,26.7673
11:23:49.621,2,65,23.4094
11:23:49.758,1,85,28.7912
11:23:50.101,0,80,27.3810
11:23:50.144,2,70,22.0651
11:23:50.173,1,90,28.2814
11:23:50.538,2,75,24.0759
11:23:50.544,0,85,29.7609
11:23:50.614,1,95,30.6359
11:23:50.952,0,90,29.3903
11:23:51.061,1,100,29.4514
11:23:51.068,2,80,21.6799
11:23:51.387,0,95,27.5099
11:23:51.477,1,105,29.9816
11:23:51.477,2,85,22.8215
11:23:51.704,0,100,28.1931
11:23:51.764,1,110,30.4797
11:23:52.191,2,90,21.2180
11:23:52.224,1,115,30.1896
11:23:52.238,0,105,27.6037
11:23:52.615,1,120,31.3498
11:23:52.687,2,95,20.9807
11:23:52.719,0,110,29.4235
11:23:53.047,1,125,31.4494
11:23:53.121,0,115,30.1467
11:23:53.449,1,130,30.8166
11:23:53.462,2,100,22.3659
11:23:53.576,0,120,29.7824
11:23:53.768,1,135,31.1301
11:23:53.886,2,105,23.2101
11:23:54.013,0,125,30.4924
11:23:54.172,1,140,31.7824
11:23:54.654,2,110,23.6037
11:23:54.666,1,145,32.3088
11:23:54.683,0,130,31.3034
11:23:55.170,1,150,32.6974
11:23:55.260,0,135,30.8718
11:23:55.270,2,115,24.0314
11:23:55.464,1,155,33.0734
11:23:55.595,0,140,30.9001
11:23:55.887,2,120,23.7404
11:23:55.969,1,160,32.8864
11:23:55.986,0,145,30.8586
11:23:56.501,2,125,24.6105
11:23:56.502,1,165,29.7805
11:23:56.509,0,150,28.2453
11:23:56.922,2,130,24.0954
11:23:57.007,0,155,27.9973
11:23:57.015,1,170,30.2697
11:23:57.466,0,160,28.9699
11:23:57.497,1,175,30.9543
11:23:57.501,2,135,25.0334
11:23:57.916,0,165,29.5861
11:23:57.916,1,180,31.2297
11:23:58.007,2,140,24.8771
11:23:58.251,0,170,29.4553
11:23:58.339,1,185,31.3600
11:23:58.714,2,145,24.7170
11:23:58.757,0,175,29.0900
11:23:58.781,1,190,29.7805
11:23:59.096,1,195,31.2160
11:23:59.295,2,150,21.4748
11:23:59.447,0,180,30.5505
11:23:59.764,1,200,31.6115
11:23:59.850,0,185,30.5295
11:23:59.986,2,155,24.2062
11:24:00.219,1,205,31.5641
11:24:00.279,0,190,30.2189
11:24:00.553,2,160,23.2033
11:24:00.631,1,210,31.2116
11:24:00.756,0,195,31.4172
11:24:01.064,2,165,23.4191
11:24:01.178,0,200,30.6774
11:24:01.192,1,215,31.3517
11:24:01.662,1,220,32.3264
11:24:01.739,0,205,32.1345
11:24:01.749,2,170,22.4406
11:24:02.119,1,225,31.0309
11:24:02.138,0,210,31.1486
11:24:02.354,2,175,24.5930
11:24:02.608,0,215,31.6696
11:24:02.634,1,230,33.3889
11:24:02.971,1,235,33.6393
11:24:03.073,2,180,24.0861
11:24:03.143,0,220,31.4748
11:24:03.322,1,240,32.2897
11:24:03.467,0,225,30.1032
11:24:03.688,2,185,23.2639
11:24:03.709,1,245,32.3605
11:24:03.898,0,230,30.6784
11:24:04.058,1,250,32.3078
11:24:04.283,0,235,31.9079
11:24:04.407,2,190,23.6076
11:24:04.472,1,255,33.7951
11:24:04.711,0,240,31.8303
11:24:04.878,1,260,32.6057
11:24:05.022,2,195,23.2111
11:24:05.354,0,245,28.8273
11:24:05.374,1,265,31.5598
11:24:05.513,2,200,25.9509
11:24:05.800,1,270,30.2697
11:24:05.818,0,250,28.1974
11:24:05.874,2,205,25.5300
11:24:06.124,1,275,29.1867
11:24:06.195,0,255,26.7966
11:24:06.326,2,210,23.4040
11:24:06.562,1,280,27.1516
11:24:06.665,2,215,21.5656
11:24:06.678,0,260,27.1608
11:24:07.012,1,285,27.2316
11:24:07.186,0,265,24.8234
11:24:07.186,2,220,22.5197
11:24:07.409,1,290,28.5056
11:24:07.739,2,225,21.3586
11:24:07.749,0,270,25.5085
11:24:07.801,1,295,28.0441
11:24:08.322,2,230,22.2629
11:24:08.327,1,300,29.7443
11:24:08.330,0,275,28.5334
11:24:08.793,1,305,30.0891
11:24:08.818,2,235,23.0646
11:24:08.844,0,280,26.7219
11:24:09.300,1,310,27.6340
11:24:09.300,2,240,20.4963
11:24:09.312,0,285,26.0187
11:24:09.759,2,245,26.3825
11:24:09.772,1,315,29.6149
11:24:09.782,0,290,26.7941
11:24:10.237,1,320,27.8019
11:24:10.272,2,250,24.4846
11:24:10.272,0,295,25.4416
11:24:10.630,0,300,24.3620
11:24:10.630,1,325,27.7355
11:24:10.753,2,255,24.0920
11:24:11.155,0,305,25.3932
11:24:11.223,2,260,23.3088
11:24:11.238,1,330,28.4562
11:24:11.561,0,310,25.1926
11:24:11.654,1,335,27.8107
11:24:11.664,2,265,21.6564
11:24:11.888,0,315,24.1408
11:24:12.047,1,340,26.7028
11:24:12.076,2,270,21.2512
11:24:12.343,0,320,27.0021
11:24:12.365,1,345,28.5861
11:24:12.952,1,350,29.6359
11:24:13.086,0,325,28.0847
11:24:13.141,2,275,23.3293
11:24:13.331,1,355,29.1310
11:24:13.535,0,330,29.6633
11:24:13.783,1,360,31.1628
11:24:14.252,2,280,25.2487
11:24:14.263,1,365,31.5182
11:24:14.361,0,335,30.5832
11:24:14.861,1,370,32.8957
11:24:14.876,2,285,24.5290
11:24:14.884,0,340,31.8098
11:24:15.391,0,345,31.9357
11:24:15.395,1,375,32.6896
11:24:15.580,2,290,26.4343
11:24:15.874,1,380,32.4269
11:24:15.941,0,350,30.4797
11:24:16.211,2,295,26.7980
11:24:16.331,1,385,32.6115
11:24:16.405,0,355,28.6711
11:24:16.814,0,360,28.0759
11:24:16.814,1,390,29.9514
11:24:16.879,2,300,24.8317
11:24:17.134,1,395,30.6032
11:24:17.338,0,365,28.9724
11:24:17.641,1,400,33.7087
11:24:17.641,2,305,25.7199
11:24:17.850,0,370,30.9391
11:24:18.119,1,405,34.0349
11:24:18.199,2,310,26.7531
11:24:18.302,0,375,30.8391
11:24:18.667,1,410,32.0241
11:24:18.675,2,315,25.6022
11:24:18.878,0,380,29.9743
11:24:19.041,1,415,31.6799
11:24:19.266,0,385,32.2077
11:24:19.454,1,420,33.0251
11:24:19.829,1,425,32.4992
11:24:19.932,2,320,24.7043
11:24:19.935,0,390,32.7385
11:24:20.164,1,430,32.4201
11:24:20.470,0,395,31.9474
11:24:20.726,1,435,34.2263
11:24:20.761,2,325,25.5285
11:24:21.027,0,400,33.5202
11:24:21.313,1,440,34.4621
11:24:21.330,2,330,26.6633
11:24:21.546,0,405,29.7307
11:24:21.679,1,445,35.3815
11:24:22.085,1,450,34.5695
11:24:22.185,0,410,32.3312
11:24:22.236,2,335,26.2697
11:24:22.669,0,415,30.9968
11:24:22.684,1,455,33.3859
11:24:22.863,2,340,23.2243
11:24:23.073,1,460,33.7141
11:24:23.073,0,420,29.2609
11:24:23.270,2,345,22.6525
11:24:23.416,0,425,30.3151
11:24:23.566,1,465,33.4050
11:24:23.738,0,430,29.2736
11:24:23.988,2,350,21.0500
11:24:24.007,1,470,32.3322
11:24:24.179,0,435,31.5353
11:24:24.357,1,475,33.3566
11:24:24.728,2,355,25.4484
11:24:24.740,0,440,32.6457
11:24:24.918,1,480,33.9211
11:24:25.282,2,360,25.5295
11:24:25.334,0,445,33.4035
11:24:25.639,1,485,34.1555
11:24:25.946,0,450,34.6476
11:24:26.001,2,365,26.2922
11:24:26.171,1,490,34.6779
11:24:26.446,0,455,31.7824
11:24:26.702,1,495,32.8605
11:24:26.702,2,370,23.3249
11:24:26.856,0,460,28.5646
11:24:27.173,1,500,30.7604
11:24:27.174,2,375,19.8015
11:24:27.241,0,465,25.8000
11:24:27.973,1,505,28.6701
11:24:27.984,2,380,20.1188
11:24:28.049,0,470,29.0021
11:24:28.308,1,510,29.4045
11:24:28.614,0,475,27.0724
11:24:28.886,1,515,29.9435
11:24:29.341,0,480,28.2800
11:24:29.379,1,520,30.8718
11:24:29.413,2,385,22.7297
11:24:29.787,0,485,28.8547
11:24:29.793,1,525,30.5441
11:24:30.303,2,390,25.1559
11:24:30.307,1,530,31.2878
11:24:30.311,0,490,30.1096
11:24:30.687,0,495,27.6935
11:24:30.698,1,535,31.3063
11:24:30.855,2,395,24.2912
11:24:31.194,0,500,27.8229
11:24:31.212,1,540,30.1091
11:24:31.279,2,400,25.1813
11:24:31.694,0,505,29.4406
11:24:31.708,1,545,31.2902
11:24:31.792,2,405,24.1330
11:24:31.975,1,550,32.0368
11:24:32.286,0,510,30.1647
11:24:32.326,2,410,24.9421
11:24:32.371,1,555,31.7458
11:24:32.771,1,560,32.4113
11:24:32.778,0,515,30.7609
11:24:32.997,2,415,25.7624
11:24:33.235,1,565,33.8317
11:24:33.240,0,520,32.1896
11:24:33.661,1,570,32.6613
11:24:33.733,2,420,26.5891
11:24:33.741,0,525,32.0417
11:24:34.168,1,575,32.5324
11:24:34.197,0,530,30.7131
11:24:34.213,2,425,26.3937
11:24:34.481,1,580,33.0344
11:24:34.643,0,535,31.6491
11:24:34.847,1,585,32.8596
11:24:34.862,2,430,25.4528
11:24:35.057,0,540,32.3351
11:24:35.217,1,590,33.2687
11:24:35.481,0,545,32.1037
11:24:35.785,1,595,34.3098
11:24:35.807,2,435,26.4396
11:24:36.075,0,550,31.4094
11:24:36.151,1,600,32.6335
11:24:36.420,2,440,25.4074
11:24:36.557,0,555,29.1389
11:24:36.577,1,605,30.9333
11:24:37.063,2,445,24.6940
11:24:37.064,0,560,30.6086
11:24:37.134,1,610,31.6672
11:24:37.626,1,615,31.2531
11:24:37.644,2,450,25.3879
11:24:37.659,0,565,29.3986
11:24:38.002,1,620,31.6164
11:24:38.075,0,570,30.3664
11:24:38.148,2,455,25.6384
11:24:38.371,1,625,30.5988
11:24:38.526,2,460,25.2966
11:24:38.535,0,575,31.4894
11:24:38.817,1,630,33.0446
11:24:39.029,2,465,25.4362
11:24:39.144,0,580,32.4992
11:24:39.206,1,635,32.9929
11:24:39.701,0,585,32.0807
11:24:39.701,1,640,32.8268
11:24:39.722,2,470,27.1760
11:24:40.075,0,590,31.1750
11:24:40.110,1,645,32.1564
11:24:40.298,2,475,25.8078
11:24:40.364,0,595,29.5285
11:24:40.530,1,650,31.1706
11:24:40.760,0,600,27.6564
11:24:40.822,2,480,23.5266
11:24:40.975,1,655,31.0598
11:24:41.095,0,605,27.7927
11:24:41.258,2,485,24.7072
11:24:41.434,1,660,31.0783
11:24:41.465,0,610,29.5915
11:24:41.645,2,490,23.3566
11:24:41.823,1,665,31.1965
11:24:41.878,0,615,29.4348
11:24:42.162,2,495,23.7697
11:24:42.218,0,620,29.3185
11:24:42.833,1,670,30.8610
11:24:43.537,1,675,30.8889
11:24:43.537,2,500,25.0768
11:24:43.549,0,625,30.1125
11:24:44.202,0,630,30.1760
11:24:44.448,1,680,32.2204
11:24:44.604,2,505,25.6730
11:24:44.921,0,635,30.3010
11:24:44.921,1,685,31.4782
11:24:45.063,2,510,24.9474
11:24:45.265,0,640,30.6271
11:24:45.466,1,690,30.9767
11:24:45.730,0,645,29.3981
11:24:45.756,2,515,24.3293
11:24:45.838,1,695,31.3093
11:24:46.085,0,650,29.5329
11:24:46.237,2,520,23.8322
11:24:46.322,1,700,32.3742
11:24:46.558,0,655,30.0466
11:24:46.865,1,705,32.7433
11:24:46.902,2,525,25.5583
11:24:46.944,0,660,30.7590
11:24:47.301,2,530,25.0109
11:24:47.408,1,710,32.6984
11:24:47.469,0,665,30.7756
11:24:47.796,1,715,33.1057
11:24:48.043,2,535,26.2795
11:24:48.157,0,670,31.8561
11:24:48.226,1,720,33.4123
11:24:48.610,0,675,31.1408
11:24:48.713,1,725,33.0666
11:24:48.721,2,540,26.4938
11:24:49.112,1,730,33.8469
11:24:49.270,0,680,32.7307
11:24:49.324,2,545,26.5153
11:24:49.525,1,735,33.9933
11:24:49.762,0,685,31.9177
11:24:49.868,2,550,26.1891
11:24:49.945,1,740,33.7951
11:24:50.249,0,690,32.4103
11:24:50.326,1,745,34.2551
11:24:50.797,2,555,27.0969
11:24:50.814,1,750,34.8181
11:24:50.814,0,695,32.5432
11:24:51.034,2,560,26.7497
11:24:51.177,0,700,32.9738
11:24:51.308,1,755,34.4172
11:24:51.678,0,705,31.6037
11:24:51.740,1,760,32.8937
11:24:52.237,0,710,29.5739
11:24:52.260,1,765,30.4416
11:24:52.292,2,565,27.4250
11:24:52.625,0,715,31.2477
