wall_time,cam_index,sample_frame,brisque_score
18:27:34.950,2,5,23.6320
18:27:35.032,1,5,19.4396
18:27:35.383,0,5,27.6057
18:27:35.742,2,10,33.0197
18:27:36.020,1,10,23.3332
18:27:36.719,0,10,28.3264
18:27:36.724,2,15,33.4846
18:27:37.063,1,15,24.9797
18:27:37.384,2,20,31.5910
18:27:37.823,0,15,27.2922
18:27:37.868,1,20,23.5993
18:27:38.093,2,25,34.2267
18:27:38.722,1,25,28.2111
18:27:38.875,2,30,31.8439
18:27:38.973,0,20,29.8078
18:27:39.544,2,35,29.3141
18:27:39.689,1,30,22.3254
18:27:39.987,0,25,30.4904
18:27:40.025,2,40,33.3683
18:27:40.060,1,35,25.9924
18:27:40.871,2,45,28.0998
18:27:41.170,1,40,30.9880
18:27:41.225,0,30,29.1901
18:27:41.749,2,50,33.3469
18:27:42.175,1,45,22.8644
18:27:42.460,0,35,28.6306
18:27:42.661,2,55,30.0285
18:27:43.261,1,50,24.0949
18:27:43.541,2,60,35.8713
18:27:43.724,0,40,28.7282
18:27:44.414,1,55,26.2131
18:27:44.483,2,65,30.3430
18:27:45.032,0,45,28.0480
18:27:45.337,2,70,33.9391
18:27:45.535,1,60,24.3859
18:27:46.316,2,75,27.4504
18:27:46.334,0,50,24.6672
18:27:46.566,1,65,26.2917
18:27:47.141,2,80,34.3957
18:27:47.631,1,70,23.6213
18:27:47.658,0,55,28.1725
18:27:48.064,2,85,29.1730
18:27:48.738,1,75,23.9113
18:27:49.002,0,60,31.3781
18:27:49.002,2,90,33.4787
18:27:49.811,1,80,25.3620
18:27:49.828,2,95,29.2658
18:27:50.171,0,65,28.9938
18:27:50.800,2,100,35.1984
18:27:50.800,1,85,31.3303
18:27:51.407,0,70,28.0524
18:27:51.664,2,105,30.7170
18:27:51.769,1,90,23.6769
18:27:52.551,2,110,31.0397
18:27:52.557,0,75,29.0588
18:27:52.558,1,95,23.8508
18:27:53.111,2,115,31.3976
18:27:53.126,1,100,26.8430
18:27:53.478,0,80,26.0353
18:27:53.657,2,120,35.2766
18:27:54.024,1,105,23.9396
18:27:54.463,2,125,31.6594
18:27:54.615,0,85,23.4157
18:27:55.134,1,110,23.9660
18:27:55.382,2,130,30.2253
18:27:55.884,0,90,29.5334
18:27:56.095,1,115,30.8415
18:27:56.304,2,135,30.6808
18:27:57.259,0,95,26.8596
18:27:57.267,1,120,22.9963
18:27:57.279,2,140,27.5851
18:27:58.105,2,145,31.0764
18:27:58.265,1,125,25.3176
18:27:58.404,0,100,31.7170
18:27:58.982,2,150,26.8361
18:27:59.324,1,130,27.4250
18:27:59.690,0,105,30.5441
18:27:59.862,2,155,31.6442
18:28:00.326,1,135,25.5153
18:28:00.840,2,160,25.0856
18:28:00.850,0,110,27.7975
18:28:01.299,1,140,21.4689
18:28:01.707,2,165,26.4592
18:28:02.012,0,115,30.4172
18:28:02.259,1,145,25.9963
18:28:02.574,2,170,24.5480
18:28:03.305,0,120,29.2888
18:28:03.337,1,150,24.7141
18:28:03.462,2,175,26.2150
18:28:04.399,2,180,22.8098
18:28:04.406,1,155,19.7795
18:28:04.525,0,125,25.3185
18:28:05.356,1,160,21.5554
18:28:05.356,2,185,23.9543
18:28:05.819,0,130,24.1613
18:28:06.185,2,190,19.7985
18:28:06.336,1,165,25.4606
18:28:07.011,0,135,27.0676
18:28:07.488,1,170,20.1906
18:28:07.488,2,195,28.3063
18:28:07.551,0,140,23.0388
18:28:07.730,2,200,28.9504
18:28:07.733,1,175,25.9103
18:28:08.409,0,145,23.8058
18:28:08.415,2,205,26.5646
18:28:08.562,1,180,19.9875
18:28:08.837,2,210,34.2590
18:28:08.905,0,150,27.7321
18:28:08.906,1,185,27.5754
18:28:09.461,2,215,28.2424
18:28:09.772,1,190,20.3239
18:28:10.005,0,155,23.7892
