wall_time,cam_index,sample_frame,brisque_score
14:11:03.053,0,5,34.7834
14:11:03.055,1,5,28.8723
14:11:06.709,1,10,23.0739
14:11:06.775,0,10,31.1159
14:11:07.015,1,15,21.2673
14:11:07.071,0,15,24.9587
14:11:07.358,1,20,18.0251
14:11:07.383,0,20,25.6633
14:11:07.658,1,25,15.6808
14:11:07.686,0,25,22.3224
14:11:08.008,1,30,18.6970
14:11:08.008,0,30,25.9767
14:11:08.364,0,35,25.2487
14:11:08.369,1,35,17.4396
14:11:08.660,0,40,34.3254
14:11:08.706,1,40,32.1970
14:11:08.955,0,45,28.8239
14:11:09.018,1,45,28.3171
14:11:09.236,0,50,31.7263
14:11:09.315,1,50,30.4684
14:11:09.496,0,55,26.5309
14:11:09.596,1,55,23.2614
14:11:09.776,0,60,31.3576
14:11:09.900,1,60,16.7897
14:11:10.055,0,65,24.5373
14:11:10.187,1,65,13.5056
14:11:10.348,0,70,31.6442
14:11:10.472,1,70,18.5002
14:11:10.609,0,75,24.4709
14:11:10.744,1,75,15.1633
14:11:10.982,0,80,30.1564
14:11:11.023,1,80,20.6306
14:11:11.294,0,85,22.8644
14:11:11.335,1,85,14.8166
14:11:11.623,0,90,28.6887
14:11:11.631,1,90,20.4343
14:11:11.949,1,95,15.1398
14:11:11.949,0,95,22.9924
14:11:12.252,1,100,21.3459
14:11:12.254,0,100,29.6423
14:11:12.596,0,105,21.1823
14:11:12.603,1,105,15.0187
14:11:12.837,0,110,28.6906
14:11:12.925,1,110,16.9152
14:11:13.097,0,115,21.9142
14:11:13.236,1,115,21.1340
14:11:13.377,0,120,27.9504
14:11:13.506,1,120,16.0314
14:11:13.650,0,125,21.6149
14:11:13.790,1,125,14.0690
14:11:13.938,0,130,28.3791
14:11:14.067,1,130,17.2390
14:11:14.209,0,135,21.9890
14:11:14.341,1,135,15.1320
14:11:14.594,0,140,25.7741
14:11:14.632,1,140,17.2902
14:11:14.923,0,145,21.2072
14:11:14.936,1,145,13.9274
14:11:15.233,1,150,20.7331
14:11:15.250,0,150,25.5768
14:11:15.570,1,155,21.0598
14:11:15.587,0,155,25.4079
14:11:15.922,0,160,30.7946
14:11:15.934,1,160,32.9699
14:11:16.216,0,165,35.3859
14:11:16.277,1,165,42.0124
14:11:16.549,0,170,35.7570
14:11:16.581,1,170,42.3322
14:11:16.857,0,175,31.0031
14:11:16.910,1,175,34.9894
14:11:17.177,0,180,32.5978
14:11:17.220,1,180,34.7175
14:11:17.510,0,185,29.5368
14:11:17.541,1,185,29.8737
14:11:17.820,0,190,37.9108
14:11:17.858,1,190,32.3708
14:11:18.169,0,195,42.3859
14:11:18.192,1,195,33.9929
14:11:18.462,0,200,37.4445
14:11:18.521,1,200,33.3986
14:11:18.780,0,205,36.6623
14:11:18.816,1,205,36.0861
14:11:19.135,0,210,34.1379
14:11:19.146,1,210,33.5656
14:11:19.449,1,215,34.0422
14:11:19.458,0,215,33.8503
14:11:19.772,1,220,23.8146
14:11:19.794,0,220,28.4782
14:11:20.138,1,225,22.7311
14:11:20.138,0,225,30.1301
14:11:20.479,0,230,27.0373
14:11:20.485,1,230,28.4030
14:11:20.802,0,235,33.4499
14:11:20.809,1,235,31.9269
14:11:21.118,0,240,27.7101
14:11:21.136,1,240,23.5168
14:11:21.421,0,245,28.4362
14:11:21.469,1,245,20.0720
14:11:21.788,0,250,30.8127
14:11:21.794,1,250,19.7775
