wall_time,cam_index,sample_frame,brisque_score
13:52:25.930,1,5,40.9792
13:52:25.959,0,5,40.8220
13:52:25.959,2,5,31.4904
13:52:26.081,1,10,36.1320
13:52:26.155,0,10,36.3288
13:52:26.159,2,10,27.5519
13:52:26.304,1,15,36.4850
13:52:26.351,0,15,36.3312
13:52:26.359,2,15,28.0070
13:52:26.550,1,20,36.3752
13:52:26.615,2,20,27.4362
13:52:26.622,0,20,38.2873
13:52:26.746,1,25,37.6086
13:52:26.791,0,25,38.4142
13:52:26.791,2,25,28.0803
13:52:27.046,1,30,40.7365
13:52:27.052,2,30,34.8112
13:52:27.052,0,30,42.5930
13:52:27.258,0,35,40.3400
13:52:27.263,2,35,33.0275
13:52:27.265,1,35,39.1935
13:52:27.457,1,40,37.6721
13:52:27.463,0,40,39.1428
13:52:27.463,2,40,31.0729
13:52:27.682,2,45,30.3273
13:52:27.684,1,45,37.5373
13:52:27.684,0,45,17.1266
13:52:27.885,0,50,24.9377
13:52:27.892,1,50,37.3137
13:52:27.901,2,50,29.9919
13:52:28.067,0,55,26.5334
13:52:28.113,1,55,41.8644
13:52:28.114,2,55,29.4631
13:52:28.302,0,60,43.8205
13:52:28.302,1,60,40.2072
13:52:28.302,2,60,33.7897
13:52:28.475,2,65,32.4396
13:52:28.501,0,65,43.0461
13:52:28.555,1,65,39.2643
13:52:28.717,2,70,30.8698
13:52:28.730,0,70,41.2209
13:52:28.732,1,70,37.5407
13:52:28.896,2,75,29.7414
13:52:28.929,1,75,36.8312
13:52:28.929,0,75,38.3474
13:52:29.089,2,80,29.0812
13:52:29.124,1,80,36.3757
13:52:29.130,0,80,36.8044
13:52:29.347,2,85,26.7863
13:52:29.348,1,85,48.4684
13:52:29.350,0,85,35.6989
13:52:29.535,2,90,38.7873
13:52:29.578,1,90,43.9968
13:52:29.579,0,90,43.8527
13:52:29.746,2,95,36.6452
13:52:29.782,1,95,41.8952
13:52:29.784,0,95,38.8893
13:52:29.940,2,100,34.2214
13:52:29.980,0,100,38.1223
13:52:29.980,1,100,40.4416
13:52:30.138,2,105,32.5441
13:52:30.171,0,105,38.0895
13:52:30.177,1,105,39.4767
13:52:30.345,2,110,31.1852
13:52:30.383,0,110,37.6965
13:52:30.383,1,110,38.4719
13:52:30.616,2,115,36.8024
13:52:30.616,1,115,45.2927
13:52:30.622,0,115,41.1164
13:52:30.825,0,120,40.6979
13:52:30.839,2,120,34.5471
13:52:30.843,1,120,42.4367
13:52:31.044,0,125,40.9035
13:52:31.044,2,125,32.5539
13:52:31.045,1,125,41.5588
13:52:31.232,1,130,41.1027
13:52:31.236,2,130,31.5998
13:52:31.252,0,130,40.9680
13:52:31.428,1,135,41.2697
13:52:31.439,2,135,31.7658
13:52:31.451,0,135,41.9767
13:52:31.643,1,140,42.3303
13:52:31.658,2,140,32.7951
13:52:31.665,0,140,43.7267
13:52:31.829,1,145,48.0803
13:52:31.866,2,145,37.5759
13:52:31.867,0,145,54.0451
13:52:32.009,1,150,46.7502
13:52:32.054,2,150,37.0090
13:52:32.059,0,150,48.8889
13:52:32.206,1,155,45.8049
13:52:32.251,0,155,48.0768
13:52:32.257,2,155,37.2883
13:52:32.414,1,160,46.1779
13:52:32.441,0,160,47.9059
13:52:32.449,2,160,37.2297
13:52:32.619,1,165,46.1721
13:52:32.663,2,165,35.5939
13:52:32.664,0,165,46.2590
13:52:32.781,1,170,45.3664
13:52:32.840,0,170,43.2726
13:52:32.869,2,170,34.5783
13:52:33.007,1,175,48.0314
13:52:33.053,0,175,46.8019
13:52:33.065,2,175,38.8083
13:52:33.224,1,180,44.8918
13:52:33.266,0,180,44.2853
13:52:33.266,2,180,36.3342
13:52:33.419,1,185,43.6535
13:52:33.448,0,185,43.8732
13:52:33.457,2,185,35.8273
13:52:33.587,1,190,42.8742
13:52:33.665,2,190,35.3078
13:52:33.667,0,190,42.8185
13:52:33.813,1,195,43.2033
13:52:33.856,0,195,43.0246
13:52:33.861,2,195,35.4269
13:52:34.005,1,200,43.5978
13:52:34.054,0,200,43.2726
13:52:34.084,2,200,35.6740
13:52:34.227,1,205,45.6701
13:52:34.267,0,205,45.5549
13:52:34.267,2,205,37.8776
13:52:34.398,1,210,45.3537
13:52:34.453,0,210,44.6686
13:52:34.455,2,210,37.1057
13:52:34.624,1,215,44.4328
13:52:34.665,0,215,44.1540
13:52:34.667,2,215,36.9435
13:52:34.797,1,220,43.5988
13:52:34.858,2,220,34.6574
13:52:34.858,0,220,42.3918
13:52:35.014,1,225,42.8762
13:52:35.062,0,225,41.0002
13:52:35.066,2,225,34.0998
13:52:35.199,1,230,42.3342
13:52:35.231,0,230,39.3810
13:52:35.291,2,230,33.4025
13:52:35.572,0,235,41.4387
13:52:35.572,1,235,47.3019
13:52:35.577,2,235,40.4206
13:52:35.750,1,240,43.8928
13:52:35.762,2,240,36.8801
13:52:35.779,0,240,41.8801
13:52:35.927,1,245,43.5275
13:52:35.931,2,245,36.1193
13:52:36.061,0,245,42.3195
13:52:36.313,2,250,34.9455
13:52:36.314,1,250,43.3478
13:52:36.321,0,250,42.7492
13:52:36.587,1,255,48.0402
13:52:36.587,2,255,34.8713
13:52:36.590,0,255,43.0373
13:52:36.720,1,260,46.1467
13:52:36.725,2,260,37.3791
13:52:37.181,0,260,43.7717
13:52:37.360,1,265,44.1076
13:52:37.373,2,265,24.6901
13:52:37.379,0,265,44.8615
13:52:37.566,0,270,43.6662
13:52:37.568,1,270,43.1516
13:52:37.569,2,270,21.7580
13:52:37.903,1,275,46.6301
13:52:37.913,2,275,37.5270
13:52:37.921,0,275,41.1496
13:52:38.167,1,280,44.0373
13:52:38.168,2,280,35.0285
13:52:38.171,0,280,41.0646
13:52:38.409,1,285,43.9650
13:52:38.409,0,285,40.6271
13:52:38.410,2,285,33.8840
13:52:38.615,1,290,42.3781
13:52:38.617,2,290,32.3791
13:52:38.619,0,290,39.0861
13:52:38.806,0,295,39.1320
13:52:38.809,1,295,40.9650
13:52:38.809,2,295,31.6535
13:52:38.979,2,300,42.9489
13:52:39.019,0,300,49.0139
13:52:39.023,1,300,48.3527
13:52:39.180,2,305,38.3430
13:52:39.225,1,305,44.3537
13:52:39.227,0,305,42.8605
13:52:39.384,2,310,36.7956
13:52:39.418,0,310,41.3469
13:52:39.422,1,310,42.1418
13:52:39.594,2,315,35.4162
13:52:39.627,0,315,41.6603
13:52:39.627,1,315,41.7380
13:52:39.775,2,320,34.0749
13:52:39.819,1,320,39.8054
13:52:39.821,0,320,39.3957
13:52:39.995,2,325,34.2092
13:52:40.028,0,325,38.7658
13:52:40.032,1,325,40.2233
13:52:40.188,2,330,37.3561
13:52:40.225,0,330,39.5256
13:52:40.225,1,330,40.2072
13:52:40.392,2,335,35.0422
13:52:40.425,1,335,38.4245
13:52:40.425,0,335,36.9782
13:52:40.588,2,340,33.8327
13:52:40.620,0,340,37.4211
13:52:40.625,1,340,38.5871
13:52:40.792,2,345,33.9431
13:52:40.824,1,345,38.3366
13:52:40.827,0,345,36.1384
13:52:40.981,2,350,33.4089
13:52:41.023,0,350,35.7155
13:52:41.024,1,350,38.2492
13:52:41.185,2,355,31.7160
13:52:41.233,0,355,33.2863
13:52:41.233,1,355,37.6852
13:52:41.388,2,360,36.7316
13:52:41.431,0,360,39.7189
13:52:41.432,1,360,42.9142
13:52:41.590,2,365,35.0246
