wall_time_ns,gst_buffer_pts_ns,stage
1773673358855584548,9210935389,post_depay
1773673358866423982,9216693860,post_decode
1773673358895310103,9255966563,post_depay
1773673358907375423,9256406792,post_decode
1773673358945599270,9306180617,post_depay
1773673358956439671,9306521579,post_decode
1773673358996519973,9357313361,post_depay
1773673359008055924,9357682918,post_decode
1773673359015282558,9371570388,post_depay
1773673359023238427,9376547397,post_decode
1773673359063135077,9413427460,post_depay
1773673359074571240,9424228846,post_decode
1773673359108931478,9469279856,post_depay
1773673359118948001,9469768456,post_decode
1773673359144805514,9501566605,post_depay
1773673359152942842,9505946766,post_decode
1773673359179306988,9539997140,post_depay
1773673359190212887,9540411171,post_decode
1773673359214232132,9574951913,post_depay
1773673359225570520,9575371623,post_decode
1773673359260033676,9614747003,post_depay
1773673359272686996,9621154740,post_decode
1773673359305014011,9658274315,post_depay
1773673359318805893,9666089010,post_decode
1773673359332960642,9689929738,post_depay
1773673359342546927,9694130565,post_decode
1773673359395373634,9735969027,post_depay
1773673359408611403,9756312313,post_decode
1773673359414668863,9775786654,post_depay
1773673359422741438,9775939966,post_decode
1773673359458249051,9818998751,post_depay
1773673359471102512,9819362803,post_decode
1773673359490253007,9850887183,post_depay
1773673359503372248,9851386644,post_decode
1773673359534898163,9895783760,post_depay
1773673359547268399,9896046203,post_decode
1773673359593799609,9948704959,post_depay
1773673359601895752,9954778357,post_decode
1773673359616794520,9977520829,post_depay
1773673359628638753,9978049289,post_decode
1773673359687621109,10035270149,post_depay
1773673359702414679,10048565062,post_decode
1773673359704742738,10065978886,post_depay
1773673359708538738,10066067345,post_decode
1773673359744066426,10104964542,post_depay
1773673359754175438,10105248152,post_decode
1773673359767720962,10128471888,post_depay
1773673359775670487,10128803181,post_decode
1773673359844360527,10205053400,post_depay
1773673359853572293,10205392509,post_decode
1773673359855781157,10217006744,post_depay
1773673359861220729,10217081014,post_decode
1773673359899360938,10259990534,post_depay
1773673359908487238,10260402483,post_decode
1773673359932798359,10293459231,post_depay
1773673359944124200,10293881311,post_decode
1773673359972247754,10332571806,post_depay
1773673359981359672,10333322509,post_decode
1773673360014902348,10375374326,post_depay
1773673360022777118,10375960212,post_decode
1773673360063318107,10424218652,post_depay
1773673360074543984,10424427976,post_decode
1773673360088103662,10449087357,post_depay
1773673360099408959,10449305797,post_decode
1773673360132790501,10493109024,post_depay
1773673360144005793,10493685268,post_decode
1773673360175096030,10535693263,post_depay
1773673360184360560,10536272125,post_decode
1773673360219128202,10579769123,post_depay
1773673360227977994,10580292434,post_decode
1773673360250050566,10610881160,post_depay
1773673360257577297,10611203681,post_decode
1773673360293113455,10653745062,post_depay
1773673360301806791,10654272592,post_decode
1773673360333976340,10694467015,post_depay
1773673360344668455,10695096982,post_decode
1773673360377747543,10737407786,post_depay
1773673360388319363,10738851801,post_decode
1773673360409610751,10770350752,post_depay
1773673360419096226,10770768164,post_decode
1773673360460572552,10813307028,post_depay
1773673360468081260,10821394934,post_decode
1773673360494397674,10855038282,post_depay
1773673360505972301,10855448002,post_decode
1773673360537367117,10897781423,post_depay
1773673360545398957,10898422552,post_decode
1773673360570583326,10931212733,post_depay
1773673360581038090,10931684013,post_decode
1773673360615194026,10975969956,post_depay
1773673360622684633,10976330804,post_decode
1773673360658331949,11018984393,post_depay
1773673360670683040,11019425760,post_decode
1773673360697864403,11058617155,post_depay
1773673360706624798,11059032929,post_decode
1773673360729103503,11089764381,post_depay
1773673360739786483,11090211355,post_decode
1773673360780195486,11140428682,post_depay
1773673360788685457,11141290374,post_decode
1773673360822257304,11182774788,post_depay
1773673360831499657,11183392778,post_decode
1773673360872221273,11233096752,post_depay
1773673360883721875,11233361721,post_decode
1773673360890354160,11248979998,post_depay
1773673360898803323,11251620811,post_decode
1773673360934749890,11295059955,post_depay
1773673360944867386,11295786856,post_decode
1773673360995441663,11356198865,post_depay
1773673361002210510,11356491259,post_decode
1773673361034452035,11394722036,post_depay
1773673361042379971,11395500983,post_decode
1773673361048908440,11409950283,post_depay
1773673361057615027,11410154421,post_decode
1773673361094332862,11455081513,post_depay
1773673361103848243,11455388693,post_decode
1773673361167620664,11528027421,post_depay
1773673361178899846,11528618591,post_decode
1773673361189145535,11541692379,post_depay
1773673361197002582,11550428635,post_decode
1773673361211723327,11572418740,post_depay
1773673361223790395,11572828390,post_decode
1773673361255665749,11614356466,post_depay
1773673361268256302,11616528170,post_decode
1773673361295895819,11656452205,post_depay
1773673361307799590,11657001269,post_decode
1773673361338186158,11698850422,post_depay
1773673361347248560,11699308039,post_decode
1773673361379148808,11733556424,post_depay
1773673361387958977,11740277866,post_decode
1773673361415324802,11775938038,post_depay
1773673361427282802,11776430373,post_decode
1773673361457610229,11814673419,post_depay
1773673361469194194,11818739609,post_decode
1773673361506222715,11866748804,post_depay
1773673361515852186,11867333969,post_decode
1773673361530571273,11891182122,post_depay
1773673361542747799,11891616567,post_decode
1773673361576238886,11937106767,post_depay
1773673361587257305,11937366238,post_decode
1773673361620569107,11976543792,post_depay
1773673361629966435,11981696857,post_decode
1773673361705346680,12053250367,post_depay
1773673361720895993,12066083975,post_decode
1773673361722587176,12083877924,post_depay
1773673361725247695,12083929480,post_decode
1773673361739791850,12100875504,post_depay
1773673361748090130,12101002026,post_decode
1773673361787399938,12148095606,post_depay
1773673361798415321,12148444563,post_decode
1773673361818554321,12179293704,post_depay
1773673361827473944,12179691763,post_decode
1773673361872797026,12233322506,post_depay
1773673361884207480,12233710866,post_decode
