abs_time,cam_index,frame_in,rtp_seq
1778602017.000137,0,1,12276
1778602017.000484,1,1,10930
1778602017.001935,2,1,432
1778602017.003972,0,2,12281
1778602017.004857,1,2,10939
1778602017.006451,2,2,442
1778602017.007934,0,3,12288
1778602017.009782,1,3,10948
1778602017.010886,2,3,452
1778602017.025890,0,4,12295
1778602017.040817,1,4,10958
1778602017.041994,2,4,463
1778602017.066976,0,5,12301
1778602017.081662,1,5,10967
1778602017.083879,2,5,474
1778602017.099251,0,6,12307
1778602017.113397,1,6,10977
1778602017.127879,2,6,486
1778602017.143839,0,7,12314
1778602017.158176,1,7,10987
1778602017.169013,2,7,497
1778602017.188320,0,8,12320
1778602017.199372,1,8,10996
1778602017.200965,2,8,508
1778602017.226304,0,9,12327
1778602017.241288,1,9,11006
1778602017.243736,2,9,518
1778602017.267895,0,10,12333
1778602017.272974,1,10,11017
1778602017.287228,2,10,530
1778602017.298449,0,11,12341
1778602017.337630,1,11,11028
1778602017.338906,2,11,541
1778602017.340390,0,12,12347
1778602017.360310,1,12,11039
1778602017.373291,2,12,553
1778602017.386235,0,13,12354
1778602017.400593,2,13,563
1778602017.402050,1,13,11048
1778602017.425917,0,14,12361
1778602017.432764,1,14,11058
1778602017.444958,2,14,573
1778602017.466721,0,15,12368
1778602017.475582,1,15,11068
1778602017.487514,2,15,583
1778602017.498837,0,16,12375
1778602017.519768,1,16,11078
1778602017.529171,2,16,594
1778602017.541387,0,17,12382
1778602017.560450,2,17,605
1778602017.562403,1,17,11088
1778602017.588239,0,18,12389
1778602017.592333,1,18,11097
1778602017.607786,2,18,615
1778602017.641132,0,19,12396
1778602017.641839,1,19,11107
1778602017.648745,2,19,626
1778602017.668473,0,20,12403
1778602017.680203,1,20,11118
1778602017.693588,2,20,638
1778602017.729436,0,21,12410
1778602017.730467,1,21,11126
1778602017.731416,2,21,647
1778602017.763103,2,22,658
1778602017.764291,1,22,11135
1778602017.771007,0,22,12417
1778602017.795630,1,23,11145
1778602017.810922,0,23,12535
1778602017.835730,2,23,671
1778602017.836266,0,24,12543
1778602017.838598,1,24,11155
1778602017.845640,2,24,681
1778602017.865867,0,25,12554
1778602017.885101,1,25,11165
1778602017.886770,2,25,691
1778602017.929483,0,26,12563
1778602017.931947,1,26,11175
1778602017.932569,2,26,701
1778602017.947702,0,27,12573
1778602017.953608,1,27,11185
1778602017.959591,2,27,713
1778602017.979696,0,28,12582
1778602017.997833,1,28,11196
1778602018.006513,2,28,723
1778602018.024410,0,29,12591
1778602018.040397,1,29,11207
1778602018.046827,2,29,734
1778602018.065910,0,30,12599
1778602018.082476,1,30,11217
1778602018.089887,2,30,743
1778602018.108634,0,31,12607
1778602018.113178,1,31,11227
1778602018.130003,2,31,753
1778602018.139509,0,32,12615
1778602018.158003,1,32,11236
1778602018.163862,2,32,765
1778602018.184702,0,33,12623
1778602018.201931,1,33,11246
1778602018.203330,2,33,777
1778602018.225875,0,34,12631
1778602018.241721,1,34,11256
1778602018.246175,2,34,786
1778602018.267834,0,35,12639
1778602018.273299,1,35,11266
1778602018.287973,2,35,796
1778602018.303044,0,36,12647
1778602018.320371,1,36,11276
1778602018.330015,2,36,807
1778602018.351577,0,37,12655
1778602018.359545,1,37,11287
1778602018.360618,2,37,818
