abs_time,cam_index,frame_in,rtp_seq
1778863897.562328,0,1,29715
1778863897.572806,1,1,6503
1778863897.638718,2,1,18825
1778863897.653343,0,2,29720
1778863897.659362,1,2,6531
1778863897.690676,2,2,18850
1778863897.704268,0,3,29743
1778863897.708905,1,3,6555
1778863897.711686,2,3,18877
1778863897.728170,0,4,29768
1778863897.746735,1,4,6570
1778863897.751593,2,4,18902
1778863897.756355,0,5,29791
1778863897.760643,1,5,6598
1778863897.769973,2,5,18925
1778863897.778154,0,6,29815
1778863897.787031,1,6,6620
1778863897.796023,2,6,18954
1778863897.802105,0,7,29838
1778863897.809168,1,7,6635
1778863897.819546,2,7,18980
1778863897.829518,0,8,29860
1778863897.839964,1,8,6662
1778863897.844608,2,8,19003
1778863897.855092,0,9,29885
1778863897.863870,1,9,6679
1778863897.869242,0,10,29908
1778863897.877334,2,9,19031
1778863897.887505,1,10,6697
1778863897.914729,2,10,19054
1778863897.915155,0,11,29931
1778863897.937878,1,11,6714
1778863897.949097,2,11,19078
1778863897.953666,0,12,29953
1778863897.965344,1,12,6742
1778863897.977382,2,12,19104
1778863898.005650,0,13,29977
1778863898.009780,1,13,6760
1778863898.025884,0,14,30000
1778863898.039823,2,13,19135
1778863898.054600,1,14,6782
1778863898.064243,2,14,19158
1778863898.073128,0,15,30023
1778863898.091539,1,15,6801
1778863898.107387,2,15,19180
1778863898.118699,0,16,30046
1778863898.131718,1,16,6819
1778863898.152583,2,16,19201
1778863898.167722,0,17,30069
1778863898.175320,1,17,6835
1778863898.182741,0,18,30092
1778863898.204006,2,17,19223
1778863898.217160,1,18,6854
1778863898.237327,2,18,19250
1778863898.246020,0,19,30112
1778863898.260209,1,19,6874
1778863898.268301,2,19,19271
1778863898.277347,0,20,30136
1778863898.292206,1,20,6894
1778863898.314657,2,20,19292
1778863898.328796,0,21,30158
1778863898.331310,1,21,6921
1778863898.340040,0,22,30182
1778863898.353205,2,21,19314
1778863898.364938,1,22,6949
1778863898.382782,2,22,19339
1778863898.391503,0,23,30203
1778863898.409806,1,23,6967
1778863898.422066,2,23,19358
1778863898.429336,0,24,30225
1778863898.450670,1,24,6988
1778863898.462596,2,24,19379
1778863898.476600,0,25,30258
1778863898.492454,1,25,7009
1778863898.506878,2,25,19399
1778863898.515469,0,26,30280
1778863898.523335,1,26,7030
1778863898.536827,2,26,19423
1778863898.551034,0,27,30301
1778863898.565015,1,27,7046
1778863898.625712,2,27,19452
1778863898.634952,0,28,30323
1778863898.642232,1,28,7187
1778863898.645688,2,28,19477
1778863898.691551,0,29,30343
1778863898.754149,1,29,7199
1778863898.757930,2,29,19579
1778863898.763379,0,30,30477
1778863898.766160,1,30,7212
1778863898.770353,2,30,19597
1778863898.778390,0,31,30490
1778863898.782995,1,31,7226
1778863898.788289,2,31,19618
1778863898.796833,0,32,30505
1778863898.802993,1,32,7242
1778863898.808214,2,32,19641
1778863898.819443,0,33,30524
1778863898.826278,1,33,7261
1778863898.835756,2,33,19670
1778863898.843341,0,34,30543
1778863898.851561,1,34,7288
1778863898.859648,2,34,19690
1778863898.870242,0,35,30565
1778863898.885638,1,35,7310
1778863898.902230,2,35,19719
1778863898.912848,0,36,30584
1778863898.930075,1,36,7330
1778863898.942720,2,36,19750
1778863898.952025,0,37,30604
1778863898.972484,1,37,7353
1778863898.987266,2,37,19775
1778863898.998046,0,38,30632
1778863899.000803,1,38,7371
1778863899.016315,2,38,19798
1778863899.032735,0,39,30658
1778863899.045413,1,39,7391
1778863899.062838,2,39,19823
1778863899.077729,0,40,30680
1778863899.090900,1,40,7413
1778863899.102081,2,40,19851
1778863899.118262,0,41,30701
1778863899.132769,1,41,7432
1778863899.149197,2,41,19874
1778863899.152381,0,42,30722
1778863899.159966,1,42,7461
1778863899.177800,2,42,19895
1778863899.188452,0,43,30743
1778863899.207111,1,43,7484
1778863899.223498,2,43,19921
1778863899.230997,0,44,30772
1778863899.250238,1,44,7505
1778863899.265070,2,44,19943
1778863899.278817,0,45,30795
1778863899.290094,1,45,7527
1778863899.307046,2,45,19966
1778863899.311323,0,46,30821
1778863899.320886,1,46,7547
1778863899.339756,2,46,19987
1778863899.351783,0,47,30845
1778863899.366575,1,47,7575
1778863899.383049,2,47,20011
1778863899.397773,0,48,30867
1778863899.445103,2,48,20031
1778863899.460149,1,48,7599
1778863899.488665,2,49,20064
1778863899.493713,1,49,7637
1778863899.502269,0,49,30886
1778863899.518937,0,50,30919
1778863899.534378,1,50,7677
1778863899.548584,2,50,20090
1778863899.558712,0,51,30959
1778863899.576023,1,51,7712
1778863899.589858,2,51,20116
1778863899.598301,0,52,30998
1778863899.607833,1,52,7745
1778863899.612315,2,52,20142
1778863899.621681,0,53,31023
1778863899.632615,1,53,7758
1778863899.646996,2,53,20170
1778863899.653972,0,54,31052
1778863899.660787,1,54,7791
1778863899.668653,2,54,20191
1778863899.683582,0,55,31071
1778863899.690095,1,55,7813
1778863899.706181,2,55,20217
1778863899.715677,0,56,31091
1778863899.722114,1,56,7828
1778863899.735427,2,56,20239
1778863899.748821,0,57,31112
1778863899.765054,1,57,7845
1778863899.816183,2,57,20265
1778863899.824515,0,58,31132
1778863899.830346,1,58,7970
1778863899.832986,2,58,20287
1778863899.866922,0,59,31151
1778863899.911535,1,59,7983
1778863899.913370,2,59,20364
1778863899.917310,0,60,31250
1778863899.919056,1,60,7995
1778863899.924145,2,60,20377
1778863899.928907,0,61,31262
1778863899.931313,1,61,8011
1778863899.947852,2,61,20394
1778863899.952271,0,62,31274
1778863899.968079,1,62,8031
1778863899.980622,2,62,20412
1778863899.995531,0,63,31291
1778863900.010178,1,63,8053
1778863900.030476,2,63,20427
1778863900.032034,0,64,31310
1778863900.044889,1,64,8083
1778863900.060534,2,64,20449
1778863900.064918,0,65,31338
1778863900.086137,1,65,8122
1778863900.100119,2,65,20470
1778863900.112278,0,66,31371
1778863900.128657,1,66,8138
1778863900.142444,2,66,20491
1778863900.156323,0,67,31407
1778863900.167695,1,67,8154
1778863900.181086,0,68,31421
1778863900.196871,2,67,20511
1778863900.200316,1,68,8169
1778863900.217178,2,68,20533
1778863900.232846,0,69,31440
1778863900.250036,1,69,8185
1778863900.260232,2,69,20559
1778863900.276975,0,70,31458
1778863900.287392,1,70,8201
1778863900.300151,2,70,20581
1778863900.318061,0,71,31477
1778863900.336488,1,71,8216
1778863900.342335,2,71,20609
1778863900.348735,0,72,31497
1778863900.361085,1,72,8233
1778863900.377225,2,72,20638
1778863900.392538,0,73,31519
1778863900.407649,1,73,8252
1778863900.420486,2,73,20661
1778863900.438595,0,74,31539
1778863900.447541,1,74,8269
1778863900.464025,2,74,20687
1778863900.479150,0,75,31560
1778863900.490129,1,75,8287
1778863900.507869,0,76,31582
1778863900.515732,2,75,20713
1778863900.520048,1,76,8307
1778863900.537768,2,76,20735
1778863900.548357,0,77,31602
1778863900.565086,1,77,8327
1778863900.581023,2,77,20761
1778863900.600107,0,78,31625
1778863900.607780,1,78,8346
1778863900.622645,2,78,20790
1778863900.635483,0,79,31649
1778863900.652614,1,79,8367
1778863900.668731,0,80,31673
1778863900.676419,2,79,20814
1778863900.680115,1,80,8388
1778863900.694520,2,80,20838
1778863900.709750,0,81,31698
1778863900.727525,1,81,8411
1778863900.742867,2,81,20865
1778863900.755003,0,82,31722
1778863900.767499,1,82,8433
1778863900.782546,2,82,20893
1778863900.799056,0,83,31747
1778863900.810609,1,83,8455
1778863900.826461,0,84,31772
1778863900.826592,2,83,20920
1778863900.841923,1,84,8477
1778863900.865367,2,84,20948
1778863900.877863,0,85,31794
1778863900.890138,1,85,8499
1778863900.902695,2,85,20970
1778863900.907288,0,86,31817
1778863900.929705,1,86,8524
1778863900.943510,2,86,20992
1778863900.958249,0,87,31840
1778863900.972522,1,87,8548
1778863901.022972,2,87,21017
1778863901.029306,0,88,31862
1778863901.040456,1,88,8677
1778863901.044953,2,88,21040
1778863901.072981,0,89,31885
1778863901.117640,1,89,8693
1778863901.123043,2,89,21105
1778863901.127443,0,90,31984
1778863901.131714,1,90,8709
1778863901.138535,2,90,21119
1778863901.142863,0,91,31999
1778863901.148891,1,91,8726
1778863901.156519,2,91,21133
1778863901.163317,0,92,32017
