cam_index,rtp_seq,transit_ms
0,25011,13.3770
0,25012,12.7380
0,25013,12.6779
0,25014,21.6129
0,25015,21.6339
0,25016,22.2328
0,25017,22.2609
0,25018,22.2478
0,25019,22.2089
0,25020,23.8171
0,25021,23.8628
0,25022,23.8571
0,25023,23.8378
0,25024,23.8178
0,25025,23.7968
0,25026,23.7770
0,25027,23.7501
0,25028,23.7200
0,25029,23.7019
0,25030,23.6759
0,25031,23.6421
0,25032,23.6058
0,25033,23.5770
0,25034,23.5269
0,25035,23.4940
0,25036,23.4628
0,25037,23.4339
0,25038,23.4039
0,25039,23.3660
0,25040,23.1218
0,25041,23.2308
0,25042,23.3138
0,25043,23.2887
0,25044,23.2449
0,25045,23.2000
0,25046,23.3119
0,25047,23.3669
0,25048,23.4129
0,25049,14.8308
0,25050,14.8537
0,25051,14.5299
0,25052,14.4970
0,25053,14.5090
0,25054,17.8440
0,25055,17.7739
0,25056,17.7279
0,25057,17.6840
0,25058,18.2540
0,25059,18.2188
0,25060,18.1661
0,25061,18.1129
0,25062,18.0299
0,25063,17.9751
0,25064,17.9200
0,25065,17.9310
0,25066,17.8838
0,25067,18.1770
0,25068,18.3649
0,25069,18.3198
0,25070,18.2667
0,25071,18.8448
0,25072,18.8198
0,25073,18.7719
0,25074,18.7230
0,25075,18.6470
0,25076,18.5230
0,25077,18.4669
0,25078,18.4131
0,25079,18.3668
0,25080,18.3139
0,25081,12.8839
0,25082,12.8961
0,25083,12.8667
0,25084,12.8200
0,25085,12.6388
0,25086,12.5718
0,25087,12.5270
0,25088,12.4848
0,25089,12.4381
0,25090,12.4049
0,25091,12.3830
0,25092,12.3410
0,25093,12.2979
0,25094,14.2789
0,25095,14.2410
0,25096,14.1749
0,25097,14.0989
0,25098,18.5130
0,25099,18.4729
0,25100,18.4290
0,25101,19.2459
0,25102,19.2049
0,25103,19.1600
0,25104,19.1159
0,25105,19.0740
0,25106,19.0299
0,25107,18.9939
0,25108,26.3200
0,25109,26.3529
0,25110,26.3438
0,25111,26.3238
0,25112,26.7379
0,25113,26.8171
0,25114,26.8979
0,25115,26.8390
0,25116,26.7999
0,25117,19.1870
0,25118,19.2459
0,25119,18.7480
0,25120,18.3299
0,25121,18.2049
0,25122,18.1458
0,25123,18.0950
0,25124,18.0428
0,25125,17.9899
0,25126,17.9379
0,25127,17.8859
0,25128,17.8349
0,25129,18.4708
0,25130,18.4548
0,25131,18.4078
0,25132,18.3589
0,25133,18.2998
0,25134,18.2278
0,25135,18.1539
0,25136,18.0798
0,25137,18.0058
0,25138,17.9300
0,25139,17.8549
0,25140,17.7798
0,25141,17.6849
0,25142,17.6067
0,25143,17.5297
0,25144,17.6809
0,25145,17.6108
0,25146,17.5490
0,25147,17.4890
0,25148,2.9280
0,25149,6.1820
0,25150,4.5998
0,25151,31.5239
0,25152,31.4629
0,25153,31.3790
0,25154,31.3139
0,25155,31.2390
0,25156,31.2359
0,25157,31.0380
0,25158,30.9837
0,25159,30.9908
0,25160,30.5159
0,25161,27.8988
0,25162,27.8878
0,25163,27.6370
0,25164,27.2908
0,25165,27.0960
0,25166,27.1089
0,25167,27.0357
0,25168,26.9377
0,25169,26.9089
0,25170,26.5267
0,25171,26.4428
0,25172,26.4330
0,25173,26.3247
0,25174,26.3000
0,25175,26.2628
0,25176,26.2699
0,25177,26.2868
0,25178,26.2289
0,25179,26.0861
0,25180,26.0599
0,25181,26.0630
0,25182,26.0689
0,25183,13.7799
0,25184,13.8228
0,25185,13.8428
0,25186,13.8628
0,25187,13.8779
0,25188,18.4519
0,25189,18.4820
0,25190,18.4989
0,25191,18.5118
0,25192,19.1898
0,25193,19.2120
0,25194,19.2251
0,25195,19.2339
0,25196,19.2449
0,25197,19.2690
0,25198,19.2809
0,25199,19.2919
0,25200,20.2501
0,25201,20.2689
0,25202,20.2811
0,25203,20.2899
0,25204,20.3011
0,25205,20.3090
0,25206,20.3187
0,25207,20.3090
0,25208,20.3309
0,25209,20.3419
0,25210,20.3490
0,25211,9.4879
0,25212,9.4240
0,25213,9.3610
0,25214,9.2957
0,25215,9.8338
0,25216,9.8591
0,25217,9.8579
0,25218,9.8448
0,25219,9.8209
0,25220,10.9830
0,25221,11.0281
0,25222,14.4708
0,25223,21.5559
0,25224,21.5299
0,25225,21.4698
0,25226,21.8611
0,25227,21.8158
0,25228,21.7509
0,25229,21.7037
0,25230,22.4640
0,25231,22.5098
0,25232,22.4788
0,25233,22.4409
0,25234,22.3958
0,25235,22.2700
0,25236,22.2950
0,25237,22.2750
0,25238,22.2459
0,25239,31.6720
0,25240,31.7578
0,25241,32.3370
0,25242,32.5508
0,25243,32.6560
0,25244,33.0589
0,25245,33.1008
0,25246,33.1919
0,25247,33.2930
0,25248,33.6730
0,25249,33.7629
0,25250,34.1539
0,25251,34.3118
0,25252,34.5440
0,25253,34.9009
0,25254,34.9729
0,25255,35.1069
0,25256,35.1439
0,25257,35.1279
0,25258,35.2240
0,25259,35.3298
0,25260,35.3339
0,25261,35.4209
0,25262,35.4769
0,25263,35.5477
0,25264,35.5551
0,25265,35.6450
0,25266,35.6529
0,25267,35.6889
0,25268,35.6951
0,25269,35.7928
0,25270,35.7990
0,25271,35.8880
0,25272,35.8908
0,25273,35.1629
0,25274,34.9538
0,25275,34.9388
0,25276,34.9209
0,25277,34.8778
