abs_time,cam,rtp_seq
1777803650.112405,0,3603
1777803650.120296,2,7244
1777803650.140693,1,15605
1777803651.131500,0,3900
1777803652.114306,0,4250
1777803652.139763,2,7868
1777803652.159091,1,16209
1777803653.114782,0,4604
1777803654.120971,0,4973
1777803654.124883,2,8572
1777803654.155205,1,16912
1777803655.116343,0,5340
1777803656.125750,0,5708
1777803656.133340,2,9276
1777803656.160809,1,17634
1777803657.121331,0,6082
1777803658.119530,0,6456
1777803658.129381,2,9996
1777803658.154965,1,18376
1777803659.122940,0,6825
1777803660.122882,0,7197
1777803660.143867,2,10716
1777803660.155803,1,19119
1777803661.119551,0,7570
1777803662.130639,0,7942
1777803662.133783,2,11445
1777803662.161520,1,19857
1777803663.122097,0,8315
1777803664.127915,0,8686
1777803664.137784,2,12174
1777803664.162317,1,20597
1777803665.123935,0,9058
1777803666.121081,0,9433
1777803666.137685,2,12926
1777803666.165080,1,21341
1777803667.120766,0,9806
1777803668.122254,0,10180
1777803668.139640,2,13666
1777803668.164567,1,22080
1777803669.120253,0,10549
1777803670.111989,2,14433
1777803670.116859,0,10915
1777803670.125671,1,22859
1777803671.111502,0,11260
1777803672.113515,2,15156
1777803672.119224,0,11594
1777803672.127607,1,23529
1777803673.117744,0,11964
1777803674.120182,0,12340
1777803674.131689,2,15863
1777803674.138921,1,24165
1777803675.115792,0,12695
1777803676.111871,2,16603
1777803676.116898,0,13074
1777803676.130709,1,24883
1777803677.114839,0,13409
1777803678.112276,2,17336
1777803678.113668,0,13774
1777803678.127006,1,25609
1777803679.118721,0,14147
1777803680.112656,0,14518
1777803680.119355,2,18080
1777803680.140761,1,26337
1777803681.115388,0,14889
1777803682.112097,0,15264
1777803682.119697,2,18829
1777803682.134096,1,27086
1777803683.123590,0,15639
1777803684.115986,0,16017
1777803684.118569,2,19556
1777803684.139333,1,27821
1777803685.121988,0,16385
1777803686.119036,0,16756
1777803686.120348,2,20313
1777803686.137613,1,28574
1777803687.125048,0,17132
1777803688.117095,2,21062
1777803688.117861,0,17498
1777803688.142636,1,29331
1777803689.123691,0,17870
1777803690.119128,0,18255
1777803690.122321,2,21816
1777803690.143599,1,30081
1777803691.120780,0,18624
1777803692.119468,0,18995
1777803692.124225,2,22566
1777803692.140683,1,30824
1777803693.130002,0,19354
1777803694.119907,0,19741
1777803694.124660,2,23279
1777803694.154886,1,31536
1777803695.130845,0,20114
1777803696.124429,0,20484
1777803696.130248,2,24023
1777803696.156823,1,32278
1777803697.133554,0,20866
1777803698.128164,0,21264
1777803698.129790,2,24787
1777803698.159802,1,33040
1777803699.132869,0,21624
1777803700.129160,0,21992
1777803700.134987,2,25530
1777803700.159331,1,33781
1777803701.124362,0,22354
1777803702.139735,0,22728
1777803702.140513,2,26229
1777803702.166626,1,34505
1777803703.136355,0,23116
1777803704.128364,0,23503
1777803704.144740,2,26967
1777803704.162947,1,35251
1777803705.128758,0,23876
1777803706.134201,0,24243
1777803706.139698,2,27724
1777803706.158567,1,35995
1777803707.131521,0,24623
1777803708.133341,0,24986
1777803708.141246,2,28443
1777803708.166822,1,36738
1777803709.137280,0,25362
1777803710.130043,0,25720
1777803710.153728,2,29180
1777803710.167583,1,37471
1777803711.144391,0,26087
1777803712.139659,0,26470
1777803712.153289,2,29925
1777803712.173249,1,38225
1777803713.131915,0,26856
1777803714.123395,0,27216
1777803714.128737,2,30701
1777803714.139890,1,38990
1777803715.133697,0,27575
1777803716.133042,2,31458
1777803716.145980,0,27960
1777803716.150937,1,39766
1777803717.139532,0,28334
1777803718.131958,2,32184
1777803718.135840,0,28715
1777803718.155401,1,40512
1777803719.141271,0,29103
1777803720.139558,0,29483
1777803720.154248,2,32936
1777803720.164969,1,41257
1777803721.139269,0,29863
1777803722.141671,2,33695
1777803722.148028,0,30236
1777803722.154465,1,42016
1777803723.128242,0,30613
1777803724.129062,2,34469
1777803724.134603,0,30958
1777803724.145062,1,42779
1777803725.129462,0,31304
1777803726.127958,2,35199
1777803726.131241,0,31656
1777803726.153304,1,43512
1777803727.130572,0,32013
1777803728.128181,2,35921
1777803728.135540,0,32381
1777803728.140185,1,44248
1777803729.130035,0,32738
1777803730.131666,2,36610
1777803730.141057,0,33122
1777803730.142193,1,44947
1777803731.137385,0,33494
1777803732.143716,0,33868
1777803732.144660,2,37377
1777803732.159904,1,45694
1777803733.140387,0,34243
1777803734.141985,2,38136
1777803734.147715,0,34616
1777803734.158784,1,46432
1777803735.142272,0,35009
1777803736.153663,0,35385
1777803736.156089,1,47215
1777803736.161429,2,38894
1777803737.140233,0,35746
1777803738.137841,2,39624
1777803738.145016,0,36104
1777803738.163222,1,47945
1777803739.145171,0,36476
1777803740.141598,0,36866
1777803740.143207,2,40361
1777803740.170224,1,48700
1777803741.148060,0,37252
1777803742.142009,0,37608
1777803742.155393,2,41112
1777803742.170878,1,49457
1777803743.149303,0,37962
1777803744.150929,0,38342
1777803744.155252,2,41834
1777803744.168640,1,50193
1777803745.140689,0,38721
1777803746.137416,2,42623
1777803746.140152,0,39094
1777803746.153265,1,50960
1777803747.139678,0,39453
1777803748.141533,2,43372
1777803748.147544,0,39825
1777803748.171351,1,51687
1777803749.145344,0,40194
1777803750.138659,0,40583
1777803750.139314,2,44119
1777803750.151908,1,52437
1777803751.148844,0,40950
1777803752.146791,0,41357
1777803752.161774,2,44850
1777803752.165582,1,53171
1777803753.160893,0,41746
1777803754.157321,0,42148
1777803754.170361,2,45621
1777803754.180375,1,53933
1777803755.152579,0,42533
1777803756.159688,0,42913
1777803756.170341,2,46375
1777803756.184562,1,54687
1777803757.153636,0,43286
1777803758.149837,0,43651
1777803758.169497,2,47107
1777803758.177008,1,55438
1777803759.150002,0,44016
1777803760.159024,0,44396
1777803760.171705,2,47854
1777803760.174741,1,56189
1777803761.153570,0,44765
1777803762.158647,0,45141
1777803762.173036,2,48594
1777803762.175202,1,56932
1777803763.154073,0,45514
1777803764.158969,0,45889
1777803764.172168,2,49345
1777803764.185122,1,57674
1777803765.154765,0,46259
1777803766.158883,0,46631
1777803766.160922,2,50089
1777803766.174210,1,58422
1777803767.151584,0,46997
1777803768.158263,0,47355
1777803768.171446,2,50815
1777803768.173320,1,59137
1777803769.164512,0,47737
1777803770.159071,0,48119
1777803770.174452,2,51556
1777803770.186549,1,59880
1777803771.159950,0,48491
1777803772.153932,0,48861
1777803772.154474,2,52286
1777803772.183900,1,60617
1777803773.161829,0,49229
1777803774.156673,0,49610
1777803774.177321,2,53028
1777803774.189237,1,61364
1777803775.157659,0,49988
1777803776.162601,0,50364
1777803776.181213,2,53787
1777803776.183165,1,62129
1777803777.161525,0,50737
1777803778.159168,0,51113
1777803778.178738,2,54546
1777803778.188791,1,62883
1777803779.164318,0,51493
1777803780.170370,0,51866
1777803780.177717,2,55301
1777803780.195840,1,63629
1777803781.161195,0,52238
1777803782.164625,0,52611
1777803782.173743,2,56048
1777803782.184413,1,64380
1777803783.160287,0,52979
1777803784.169035,0,53347
1777803784.170310,2,56787
1777803784.184774,1,65117
1777803785.165000,0,53718
1777803786.161857,0,54090
1777803786.181649,2,57529
1777803786.197492,1,326
1777803787.169887,0,54462
1777803788.168314,0,54835
1777803788.179497,2,58275
1777803788.187952,1,1069
1777803789.159892,0,55209
1777803790.171622,0,55581
1777803790.183571,2,59017
1777803790.195203,1,1808
1777803791.164699,0,55953
1777803792.159981,0,56324
1777803792.185658,2,59764
1777803792.196483,1,2552
1777803793.173808,0,56697
1777803794.169521,0,57072
1777803794.186910,2,60506
1777803794.193797,1,3296
1777803795.164768,0,57443
1777803796.175273,0,57816
1777803796.186300,1,4036
1777803796.187028,2,61255
1777803797.178144,0,58193
1777803798.168576,0,58567
1777803798.187434,2,62008
1777803798.209733,1,4782
1777803799.174572,0,58936
1777803800.171689,0,59307
1777803800.190714,2,62748
1777803800.199637,1,5531
1777803801.168435,0,59674
1777803802.167630,0,60048
1777803802.188096,2,63492
1777803802.189658,1,6281
1777803803.172631,0,60419
1777803804.174200,0,60794
1777803804.189329,2,64235
1777803804.205078,1,7017
1777803805.170631,0,61169
1777803806.180043,0,61542
1777803806.190558,2,64979
1777803806.201562,1,7753
1777803807.176766,0,61918
1777803808.163959,0,62294
1777803808.188640,2,187
1777803808.207025,1,8497
1777803809.164293,0,62658
1777803810.175133,0,63028
1777803810.191647,2,920
1777803810.200316,1,9246
1777803811.172143,0,63401
1777803812.181451,0,63774
1777803812.182982,2,1661
1777803812.196692,1,9983
1777803813.175333,0,64146
1777803814.172970,0,64515
1777803814.179962,2,2405
1777803814.204947,1,10723
1777803815.185821,0,64887
1777803816.178155,0,65256
1777803816.188131,2,3138
1777803816.208229,1,11463
1777803817.173158,0,94
1777803818.183409,0,463
1777803818.184145,2,3875
1777803818.200257,1,12202
1777803819.179526,0,837
1777803820.177401,0,1211
1777803820.198108,2,4616
1777803820.208028,1,12947
1777803821.193024,0,1592
1777803822.186561,0,1970
1777803822.197839,2,5369
1777803822.210516,1,13692
1777803823.181198,0,2340
1777803824.174664,0,2712
1777803824.191734,2,6116
1777803824.205953,1,14434
1777803825.170309,0,3076
1777803826.181165,0,3449
1777803826.183535,2,6854
1777803826.209006,1,15178
1777803827.182071,0,3822
1777803828.182959,2,7599
1777803828.186013,0,4195
1777803828.203979,1,15921
1777803829.182640,0,4569
1777803830.180470,0,4940
1777803830.202646,2,8334
1777803830.215597,1,16663
1777803831.190368,0,5318
1777803832.186021,0,5695
1777803832.187392,2,9081
1777803832.211873,1,17404
1777803833.173932,0,6069
1777803834.187946,0,6434
1777803834.195622,2,9817
1777803834.213508,1,18160
1777803835.179977,0,6804
1777803836.189105,0,7175
1777803836.194848,2,10569
1777803836.210161,1,18894
1777803837.184662,0,7544
1777803838.183107,0,7915
1777803838.201247,2,11318
1777803838.211255,1,19639
1777803839.200237,0,8296
1777803840.190068,0,8672
1777803840.196575,2,12063
1777803840.216218,1,20384
1777803841.185771,0,9044
1777803842.192130,0,9410
1777803842.203387,2,12803
1777803842.214118,1,21124
1777803843.190980,0,9782
1777803844.193317,2,13547
1777803844.193773,0,10158
1777803844.215675,1,21863
1777803845.203990,0,10536
1777803846.189602,0,10909
1777803846.193564,2,14290
1777803846.215421,1,22604
1777803847.192066,0,11270
1777803848.191235,0,11639
1777803848.193527,2,15018
1777803848.212351,1,23346
1777803849.185236,0,12010
1777803850.195267,0,12385
1777803850.203087,2,15755
1777803850.210054,1,24084
1777803851.194875,0,12758
1777803852.188430,0,13131
1777803852.192103,2,16500
1777803852.216660,1,24833
1777803853.195198,0,13503
1777803854.196212,0,13875
1777803854.201182,2,17235
