abs_time,cam,rtp_seq
1777820066.591581,2,30628
1777820066.661792,1,28753
1777820066.664809,0,20952
1777820067.659307,0,21271
1777820068.632482,2,31395
1777820068.661172,1,29447
1777820068.669792,0,21607
1777820069.655632,0,21972
1777820070.616531,2,32081
1777820070.667481,1,30153
1777820070.669181,0,22307
1777820071.683680,0,22695
1777820072.617816,2,32768
1777820072.662870,1,30890
1777820072.673039,0,23083
1777820073.651032,0,23468
1777820074.624002,2,33496
1777820074.654421,0,23790
1777820074.659976,1,31591
1777820075.652194,0,24148
1777820076.621801,2,34245
1777820076.651147,1,32301
1777820076.652651,0,24507
1777820077.649244,0,24876
1777820078.622353,2,34998
1777820078.650482,0,25235
1777820078.661771,1,33045
1777820079.661884,0,25607
1777820080.639902,2,35748
1777820080.663106,1,33786
1777820080.663463,0,25993
1777820081.668996,0,26366
1777820082.660831,2,36521
1777820082.672855,1,34534
1777820082.675897,0,26752
1777820083.690541,0,27156
1777820084.661629,2,37293
1777820084.671654,1,35317
1777820084.683879,0,27560
1777820085.688716,0,27941
1777820086.651850,2,38055
1777820086.673385,1,36083
1777820086.684583,0,28322
1777820087.698476,0,28701
1777820088.664486,2,38793
1777820088.668708,1,36852
1777820088.698164,0,29089
1777820089.695887,0,29468
1777820090.650232,2,39538
1777820090.674263,1,37610
1777820090.699631,0,29847
1777820091.699735,0,30225
1777820092.666079,2,40278
1777820092.674163,1,38366
1777820092.693297,0,30598
1777820093.694219,0,30965
1777820094.662174,2,41030
1777820094.670399,1,39111
1777820094.684592,0,31346
1777820095.687576,0,31709
1777820096.662773,2,41785
1777820096.681662,1,39853
1777820096.698277,0,32077
1777820097.697440,0,32453
1777820098.667782,2,42526
1777820098.680745,1,40595
1777820098.701699,0,32828
1777820099.688321,0,33207
1777820100.667710,2,43276
1777820100.675169,1,41337
1777820100.680313,0,33570
1777820101.688023,0,33922
1777820102.646566,2,44021
1777820102.672015,1,42066
1777820102.680703,0,34286
1777820103.670950,0,34639
1777820104.664627,2,44740
1777820104.667556,1,42771
1777820104.674984,0,34980
1777820105.677925,0,35356
1777820106.661368,1,43487
1777820106.661833,2,45484
1777820106.676172,0,35729
1777820107.683179,0,36104
