abs_time,cam,rtp_seq
1777728165.361674,2,1989
1777728165.366482,0,26105
1777728165.379216,1,19741
1777728166.364656,0,26423
1777728167.370970,0,26761
1777728167.383959,2,2623
1777728167.399215,1,20347
1777728168.363958,0,27115
1777728169.371105,0,27467
1777728169.390536,2,3337
1777728169.404032,1,21044
1777728170.372667,0,27829
1777728171.367052,0,28192
1777728171.391798,2,4063
1777728171.406225,1,21771
1777728172.370977,0,28559
1777728173.368463,0,28925
1777728173.392558,2,4805
1777728173.406698,1,22505
1777728174.377254,0,29301
1777728175.366467,0,29673
1777728175.393452,2,5545
1777728175.410976,1,23243
1777728176.378485,0,30050
1777728177.372201,0,30420
1777728177.388655,2,6288
1777728177.414712,1,23981
1777728178.378701,0,30805
1777728178.406013,0,30910
1777728179.362234,2,7033
1777728179.368886,0,31191
1777728179.389495,1,24729
1777728180.360535,0,31543
1777728181.355309,2,7709
1777728181.357988,0,31883
1777728181.373462,1,25436
1777728182.364328,0,32235
1777728183.358647,2,8419
1777728183.368075,0,32617
1777728183.373606,1,26135
1777728184.358891,0,33008
1777728185.357745,2,9114
1777728185.364957,0,33358
1777728185.369570,1,26855
1777728186.361217,0,33715
1777728187.370518,2,9860
1777728187.372176,1,27557
1777728187.372495,0,34094
1777728188.375646,0,34478
1777728189.377317,1,28293
1777728189.377536,0,34883
1777728189.378232,2,10634
1777728190.379402,0,35280
1777728191.376408,0,35667
1777728191.381391,2,11391
1777728191.402560,1,29039
1777728192.372003,0,36047
1777728193.373692,0,36417
1777728193.374030,2,12152
1777728193.389448,1,29819
1777728194.375928,0,36784
1777728195.372689,0,37156
1777728195.389060,2,12909
1777728195.398903,1,30569
1777728196.372290,0,37522
1777728197.379367,0,37893
1777728197.379945,2,13671
1777728197.386130,1,31325
1777728198.368341,0,38265
1777728199.382414,0,38622
1777728199.384106,2,14413
1777728199.404819,1,32062
