cam_index,rtp_seq,transit_ms
0,8887,9.9831
0,8888,18.2760
0,8889,18.3270
0,8890,18.3401
0,8891,18.3630
0,8892,18.7111
0,8893,18.7550
0,8894,18.9052
0,8895,18.9402
0,8896,20.0450
0,8897,20.2229
0,8898,20.2441
0,8899,20.3440
0,8900,20.3590
0,8901,20.3700
0,8902,20.3779
0,8903,20.3869
0,8904,20.3969
0,8905,20.4031
0,8906,20.4051
0,8907,20.4170
0,8908,20.5350
0,8909,20.6320
0,8910,20.7078
0,8911,20.7798
0,8912,20.9038
0,8913,20.9770
0,8914,118.1321
0,8915,118.1870
0,8916,118.3510
0,8917,118.3312
0,8918,118.2921
0,8919,118.2909
0,8920,118.2868
0,8921,118.3000
0,8922,118.3131
0,8923,118.3860
0,8924,118.4170
0,8925,118.8221
0,8926,119.0641
0,8927,119.0770
0,8928,119.0500
0,8929,118.7851
0,8930,118.7551
0,8931,118.7329
0,8932,118.7110
0,8933,118.6869
0,8934,118.6609
0,8935,118.6340
0,8936,118.5958
0,8937,118.4399
0,8938,118.4220
0,8939,118.4008
0,8940,118.3791
0,8941,118.3550
0,8942,118.3300
0,8943,118.3031
0,8944,118.2790
0,8945,118.2580
0,8946,118.2330
0,8947,118.2079
0,8948,118.1812
0,8949,117.9841
0,8950,117.9571
0,8951,117.9121
0,8952,117.8832
0,8953,117.8501
0,8954,117.8160
0,8955,117.7919
0,8956,117.7740
0,8957,117.7521
0,8958,117.7211
0,8959,117.6982
0,8960,117.6710
0,8961,117.6391
0,8962,117.4750
0,8963,120.4100
0,8964,120.4491
0,8965,120.3079
0,8966,120.2030
0,8967,120.2149
0,8968,120.2159
0,8969,120.2209
0,8970,120.2300
0,8971,120.0681
0,8972,120.0700
0,8973,120.0850
0,8974,120.0850
0,8975,120.0881
0,8976,120.0919
0,8977,120.0910
0,8978,120.0938
0,8979,120.0960
0,8980,120.0979
0,8981,119.9601
0,8982,119.9620
0,8983,119.9660
0,8984,119.9651
0,8985,119.9658
