abs_time,cam,rtp_seq
1777819051.660031,1,10675
1777819051.663913,0,9788
1777819051.676509,2,30398
1777819052.706884,0,10150
1777819053.701807,1,11499
1777819053.704451,0,10474
1777819053.725378,2,31173
1777819054.706742,0,10828
1777819055.676291,1,12217
1777819055.694072,0,11186
1777819055.700597,2,31890
1777819056.692508,0,11530
1777819057.699682,1,12901
1777819057.702966,2,32596
1777819057.707070,0,11887
1777819058.723453,0,12267
1777819059.697451,1,13638
1777819059.715401,0,12655
1777819059.721142,2,33322
1777819060.727552,0,13032
1777819062.726033,0,13784
1777819063.712203,2,34808
1777819063.727910,0,14158
1777819064.713075,0,14531
1777819065.716773,1,15908
1777819065.721102,0,14895
1777819065.728447,2,35550
1777819067.702894,1,16651
1777819067.713683,0,15638
1777819067.723229,2,36292
1777819068.729317,0,16011
1777819069.687302,1,17435
1777819069.696741,0,16387
1777819069.711431,2,37037
1777819070.701999,0,16722
1777819071.691788,1,18139
1777819071.709522,0,17082
1777819071.710098,2,37767
1777819072.726774,0,17462
1777819073.704841,1,18875
1777819073.718477,2,38511
1777819073.720335,0,17847
1777819074.726485,0,18236
1777819075.701935,1,19612
1777819075.718309,0,18624
1777819075.718831,2,39260
1777819076.707398,0,18990
1777819077.713027,2,40014
1777819078.716512,0,19713
1777819079.716529,2,40756
1777819079.718786,1,21114
1777819079.722309,0,20082
1777819080.718883,0,20454
1777819081.712728,1,21879
1777819081.715955,2,41496
1777819081.725586,0,20836
1777819082.712183,0,21210
1777819084.719389,0,21939
1777819085.707844,1,23379
1777819085.720036,2,42973
1777819085.731303,0,22309
1777819086.724473,0,22692
1777819087.710862,1,24123
1777819087.720988,2,43720
1777819087.732692,0,23074
1777819088.720919,0,23460
1777819089.703147,1,24870
1777819089.709377,0,23828
1777819089.713219,2,44470
1777819090.725527,0,24180
