abs_time,cam_index,frame_in,rtp_seq
1778593700.518260,1,1,1399
1778593700.571248,1,2,1539
1778593700.587487,2,1,30126
1778593700.598660,1,3,1628
1778593700.600739,0,1,1575
1778593700.608682,2,2,30212
1778593700.614676,0,2,1644
1778593700.623288,1,4,1640
1778593700.624093,2,3,30227
1778593700.624922,0,3,1656
1778593700.628781,1,5,1651
1778593700.640602,2,4,30238
1778593700.650310,0,4,1666
1778593700.658462,1,6,1662
1778593700.683242,2,5,30249
1778593700.689867,0,5,1675
1778593700.710771,1,7,1673
1778593700.723701,2,6,30261
1778593700.732096,0,6,1683
1778593700.749672,1,8,1684
1778593700.766719,2,7,30273
1778593700.773061,0,7,1691
1778593700.781214,1,9,1694
1778593700.799168,2,8,30284
1778593700.803997,0,8,1699
1778593700.824579,1,10,1705
1778593700.842404,2,9,30295
1778593700.846895,0,9,1706
1778593700.870467,1,11,1715
1778593700.889745,2,10,30306
1778593700.892636,0,10,1713
1778593700.909789,1,12,1726
1778593700.928447,2,11,30318
1778593700.934511,0,11,1721
1778593700.940607,1,13,1736
1778593700.960743,2,12,30329
1778593700.973428,0,12,1729
1778593700.985409,1,14,1747
1778593701.007163,2,13,30341
1778593701.009849,0,13,1737
1778593701.031613,1,15,1757
1778593701.048239,2,14,30352
1778593701.049358,0,14,1745
1778593701.068191,1,16,1768
1778593701.090492,2,15,30364
1778593701.094663,0,15,1753
1778593701.110740,1,17,1780
1778593701.117672,2,16,30376
1778593701.133689,0,16,1761
1778593701.140415,1,18,1791
1778593701.163820,2,17,30387
1778593701.173387,0,17,1769
1778593701.186816,1,19,1801
1778593701.206655,2,18,30398
1778593701.209843,0,18,1777
1778593701.230580,1,20,1811
1778593701.249088,0,19,1786
1778593701.249891,2,19,30410
1778593701.270346,1,21,1821
1778593701.279064,2,20,30421
1778593701.290565,0,20,1794
1778593701.300373,1,22,1831
1778593701.323766,2,21,30432
1778593701.335921,0,21,1802
1778593701.346734,1,23,1842
1778593701.365486,2,22,30443
